dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
winequalityc,2,4,,,,0.5035897435897436,336,12,42,100,5.0,0.25,10,cpd
winequalityc,2,4,,,,0.5097435897435898,336,14,43,100,5.0,0.25,10,cpd
winequalityc,2,4,,,,0.5005128205128205,336,10,44,100,5.0,0.25,10,cpd
winequalityc,2,4,,,,0.5035897435897436,336,13,45,100,5.0,0.25,10,cpd
winequalityc,2,4,,,,0.47692307692307695,336,11,46,100,5.0,0.25,10,cpd
winequalityc,2,8,,,,0.521025641025641,672,9,42,100,5.0,0.25,10,cpd
winequalityc,2,8,,,,0.5230769230769231,672,9,43,100,5.0,0.25,10,cpd
winequalityc,2,8,,,,0.5230769230769231,672,10,44,100,5.0,0.25,10,cpd
winequalityc,2,8,,,,0.5169230769230769,672,9,45,100,5.0,0.25,10,cpd
winequalityc,2,8,,,,0.521025641025641,672,9,46,100,5.0,0.25,10,cpd
winequalityc,2,12,,,,0.521025641025641,1008,9,42,100,5.0,0.25,10,cpd
winequalityc,2,12,,,,0.5241025641025641,1008,9,43,100,5.0,0.25,10,cpd
winequalityc,2,12,,,,0.5292307692307693,1008,10,44,100,5.0,0.25,10,cpd
winequalityc,2,12,,,,0.521025641025641,1008,9,45,100,5.0,0.25,10,cpd
winequalityc,2,12,,,,0.5251282051282051,1008,10,46,100,5.0,0.25,10,cpd
winequalityc,2,16,,,,0.5261538461538462,1344,10,42,100,5.0,0.25,10,cpd
winequalityc,2,16,,,,0.5251282051282051,1344,9,43,100,5.0,0.25,10,cpd
winequalityc,2,16,,,,0.5343589743589744,1344,10,44,100,5.0,0.25,10,cpd
winequalityc,2,16,,,,0.5148717948717949,1344,9,45,100,5.0,0.25,10,cpd
winequalityc,2,16,,,,0.5302564102564102,1344,10,46,100,5.0,0.25,10,cpd
winequalityc,2,64,,,,0.5312820512820513,5376,9,42,100,5.0,0.25,10,cpd
winequalityc,2,64,,,,0.5405128205128205,5376,9,43,100,5.0,0.25,10,cpd
winequalityc,2,64,,,,0.5302564102564102,5376,9,44,100,5.0,0.25,10,cpd
winequalityc,2,64,,,,0.5302564102564102,5376,9,45,100,5.0,0.25,10,cpd
winequalityc,2,64,,,,0.5271794871794871,5376,9,46,100,5.0,0.25,10,cpd
winequalityc,2,144,,,,0.5353846153846153,12096,8,42,100,5.0,0.25,10,cpd
winequalityc,2,144,,,,0.5374358974358975,12096,9,43,100,5.0,0.25,10,cpd
winequalityc,2,144,,,,0.5394871794871795,12096,9,44,100,5.0,0.25,10,cpd
winequalityc,2,144,,,,0.5353846153846153,12096,9,45,100,5.0,0.25,10,cpd
winequalityc,2,144,,,,0.5364102564102564,12096,8,46,100,5.0,0.25,10,cpd
winequalityc,2,256,,,,0.5456410256410257,21504,7,42,100,5.0,0.25,10,cpd
winequalityc,2,256,,,,0.5405128205128205,21504,7,43,100,5.0,0.25,10,cpd
winequalityc,2,256,,,,0.5446153846153846,21504,7,44,100,5.0,0.25,10,cpd
winequalityc,2,256,,,,0.5394871794871795,21504,7,45,100,5.0,0.25,10,cpd
winequalityc,2,256,,,,0.5405128205128205,21504,7,46,100,5.0,0.25,10,cpd
winequalityc,3,4,,,,0.40512820512820513,384,12,42,100,5.0,0.25,10,cpd
winequalityc,3,4,,,,0.4728205128205128,384,14,43,100,5.0,0.25,10,cpd
winequalityc,3,4,,,,0.5056410256410256,384,15,44,100,5.0,0.25,10,cpd
winequalityc,3,4,,,,0.4533333333333333,384,15,45,100,5.0,0.25,10,cpd
winequalityc,3,4,,,,0.48102564102564105,384,16,46,100,5.0,0.25,10,cpd
winequalityc,3,8,,,,0.48307692307692307,768,14,42,100,5.0,0.25,10,cpd
winequalityc,3,8,,,,0.4512820512820513,768,12,43,100,5.0,0.25,10,cpd
winequalityc,3,8,,,,0.4358974358974359,768,13,44,100,5.0,0.25,10,cpd
winequalityc,3,8,,,,0.5015384615384615,768,13,45,100,5.0,0.25,10,cpd
winequalityc,3,8,,,,0.47794871794871796,768,14,46,100,5.0,0.25,10,cpd
winequalityc,3,12,,,,0.5169230769230769,1152,13,42,100,5.0,0.25,10,cpd
winequalityc,3,12,,,,0.49846153846153846,1152,14,43,100,5.0,0.25,10,cpd
winequalityc,3,12,,,,0.5097435897435898,1152,11,44,100,5.0,0.25,10,cpd
winequalityc,3,12,,,,0.48717948717948717,1152,13,45,100,5.0,0.25,10,cpd
winequalityc,3,12,,,,0.4646153846153846,1152,14,46,100,5.0,0.25,10,cpd
winequalityc,3,16,,,,0.4758974358974359,1536,10,42,100,5.0,0.25,10,cpd
winequalityc,3,16,,,,0.5158974358974359,1536,11,43,100,5.0,0.25,10,cpd
winequalityc,3,16,,,,0.47794871794871796,1536,13,44,100,5.0,0.25,10,cpd
winequalityc,3,16,,,,0.4584615384615385,1536,12,45,100,5.0,0.25,10,cpd
winequalityc,3,16,,,,0.46564102564102566,1536,11,46,100,5.0,0.25,10,cpd
winequalityc,3,64,,,,0.5261538461538462,6144,9,42,100,5.0,0.25,10,cpd
winequalityc,3,64,,,,0.5230769230769231,6144,10,43,100,5.0,0.25,10,cpd
winequalityc,3,64,,,,0.5312820512820513,6144,10,44,100,5.0,0.25,10,cpd
winequalityc,3,64,,,,0.5261538461538462,6144,10,45,100,5.0,0.25,10,cpd
winequalityc,3,64,,,,0.5241025641025641,6144,10,46,100,5.0,0.25,10,cpd
winequalityc,3,144,,,,0.52,13824,9,42,100,5.0,0.25,10,cpd
winequalityc,3,144,,,,0.5241025641025641,13824,9,43,100,5.0,0.25,10,cpd
winequalityc,3,144,,,,0.5312820512820513,13824,9,44,100,5.0,0.25,10,cpd
winequalityc,3,144,,,,0.5271794871794871,13824,9,45,100,5.0,0.25,10,cpd
winequalityc,3,144,,,,0.5374358974358975,13824,9,46,100,5.0,0.25,10,cpd
winequalityc,3,256,,,,0.5323076923076923,24576,7,42,100,5.0,0.25,10,cpd
winequalityc,3,256,,,,0.5374358974358975,24576,10,43,100,5.0,0.25,10,cpd
winequalityc,3,256,,,,0.5374358974358975,24576,10,44,100,5.0,0.25,10,cpd
winequalityc,3,256,,,,0.5353846153846153,24576,9,45,100,5.0,0.25,10,cpd
winequalityc,3,256,,,,0.5343589743589744,24576,8,46,100,5.0,0.25,10,cpd
winequalityc,4,4,,,,0.40615384615384614,432,20,42,100,5.0,0.25,10,cpd
winequalityc,4,4,,,,0.37846153846153846,432,17,43,100,5.0,0.25,10,cpd
winequalityc,4,4,,,,0.38666666666666666,432,21,44,100,5.0,0.25,10,cpd
winequalityc,4,4,,,,0.442051282051282,432,16,45,100,5.0,0.25,10,cpd
winequalityc,4,4,,,,0.3958974358974359,432,15,46,100,5.0,0.25,10,cpd
winequalityc,4,8,,,,0.4276923076923077,864,12,42,100,5.0,0.25,10,cpd
winequalityc,4,8,,,,0.40205128205128204,864,12,43,100,5.0,0.25,10,cpd
winequalityc,4,8,,,,0.38769230769230767,864,11,44,100,5.0,0.25,10,cpd
winequalityc,4,8,,,,0.4553846153846154,864,13,45,100,5.0,0.25,10,cpd
winequalityc,4,8,,,,0.4451282051282051,864,11,46,100,5.0,0.25,10,cpd
winequalityc,4,12,,,,0.4492307692307692,1296,11,42,100,5.0,0.25,10,cpd
winequalityc,4,12,,,,0.41846153846153844,1296,11,43,100,5.0,0.25,10,cpd
winequalityc,4,12,,,,0.4728205128205128,1296,11,44,100,5.0,0.25,10,cpd
winequalityc,4,12,,,,0.4717948717948718,1296,14,45,100,5.0,0.25,10,cpd
winequalityc,4,12,,,,0.4451282051282051,1296,10,46,100,5.0,0.25,10,cpd
winequalityc,4,16,,,,0.47384615384615386,1728,14,42,100,5.0,0.25,10,cpd
winequalityc,4,16,,,,0.35384615384615387,1728,13,43,100,5.0,0.25,10,cpd
winequalityc,4,16,,,,0.4564102564102564,1728,12,44,100,5.0,0.25,10,cpd
winequalityc,4,16,,,,0.4717948717948718,1728,12,45,100,5.0,0.25,10,cpd
winequalityc,4,16,,,,0.4492307692307692,1728,14,46,100,5.0,0.25,10,cpd
winequalityc,4,64,,,,0.48307692307692307,6912,11,42,100,5.0,0.25,10,cpd
winequalityc,4,64,,,,0.4482051282051282,6912,11,43,100,5.0,0.25,10,cpd
winequalityc,4,64,,,,0.48615384615384616,6912,10,44,100,5.0,0.25,10,cpd
winequalityc,4,64,,,,0.49025641025641026,6912,11,45,100,5.0,0.25,10,cpd
winequalityc,4,64,,,,0.4605128205128205,6912,11,46,100,5.0,0.25,10,cpd
winequalityc,4,144,,,,0.5066666666666667,15552,10,42,100,5.0,0.25,10,cpd
winequalityc,4,144,,,,0.5076923076923077,15552,10,43,100,5.0,0.25,10,cpd
winequalityc,4,144,,,,0.4882051282051282,15552,11,44,100,5.0,0.25,10,cpd
winequalityc,4,144,,,,0.49948717948717947,15552,10,45,100,5.0,0.25,10,cpd
winequalityc,4,144,,,,0.5087179487179487,15552,11,46,100,5.0,0.25,10,cpd
winequalityc,4,256,,,,0.49743589743589745,27648,8,42,100,5.0,0.25,10,cpd
winequalityc,4,256,,,,0.4841025641025641,27648,9,43,100,5.0,0.25,10,cpd
winequalityc,4,256,,,,0.48512820512820515,27648,8,44,100,5.0,0.25,10,cpd
winequalityc,4,256,,,,0.517948717948718,27648,9,45,100,5.0,0.25,10,cpd
winequalityc,4,256,,,,0.49641025641025643,27648,11,46,100,5.0,0.25,10,cpd
winequalityc,5,4,,,,0.3035897435897436,480,27,42,100,5.0,0.25,10,cpd
winequalityc,5,4,,,,0.40512820512820513,480,23,43,100,5.0,0.25,10,cpd
winequalityc,5,4,,,,0.4082051282051282,480,17,44,100,5.0,0.25,10,cpd
winequalityc,5,4,,,,0.318974358974359,480,16,45,100,5.0,0.25,10,cpd
winequalityc,5,4,,,,0.29128205128205126,480,11,46,100,5.0,0.25,10,cpd
winequalityc,5,8,,,,0.3425641025641026,960,16,42,100,5.0,0.25,10,cpd
winequalityc,5,8,,,,0.39076923076923076,960,18,43,100,5.0,0.25,10,cpd
winequalityc,5,8,,,,0.3569230769230769,960,12,44,100,5.0,0.25,10,cpd
winequalityc,5,8,,,,0.3446153846153846,960,19,45,100,5.0,0.25,10,cpd
winequalityc,5,8,,,,0.3230769230769231,960,12,46,100,5.0,0.25,10,cpd
winequalityc,5,12,,,,0.36102564102564105,1440,12,42,100,5.0,0.25,10,cpd
winequalityc,5,12,,,,0.3241025641025641,1440,14,43,100,5.0,0.25,10,cpd
winequalityc,5,12,,,,0.4041025641025641,1440,18,44,100,5.0,0.25,10,cpd
winequalityc,5,12,,,,0.4297435897435897,1440,20,45,100,5.0,0.25,10,cpd
winequalityc,5,12,,,,0.3312820512820513,1440,19,46,100,5.0,0.25,10,cpd
winequalityc,5,16,,,,0.4276923076923077,1920,18,42,100,5.0,0.25,10,cpd
