dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
winequalityc,2,4,,,,0.5476923076923077,380,23,2582264110,100,5.0,0.25,10,cpd_type1
winequalityc,2,4,,,,0.5497435897435897,380,33,1011906602,100,5.0,0.25,10,cpd_type1
winequalityc,2,4,,,,0.518974358974359,380,14,1729841207,100,5.0,0.25,10,cpd_type1
winequalityc,2,4,,,,0.5476923076923077,380,33,3653141251,100,5.0,0.25,10,cpd_type1
winequalityc,2,4,,,,0.5466666666666666,380,21,826749499,100,5.0,0.25,10,cpd_type1
winequalityc,2,4,,,,0.5456410256410257,380,21,1399498030,100,5.0,0.25,10,cpd_type1
winequalityc,2,4,,,,0.5394871794871795,380,21,358916519,100,5.0,0.25,10,cpd_type1
winequalityc,2,4,,,,0.5292307692307693,380,16,328531638,100,5.0,0.25,10,cpd_type1
winequalityc,2,4,,,,0.5435897435897435,380,25,787755760,100,5.0,0.25,10,cpd_type1
winequalityc,2,4,,,,0.5251282051282051,380,17,4192420569,100,5.0,0.25,10,cpd_type1
winequalityc,2,8,,,,0.52,688,14,2582264110,100,5.0,0.25,10,cpd_type1
winequalityc,2,8,,,,0.5405128205128205,688,17,1011906602,100,5.0,0.25,10,cpd_type1
winequalityc,2,8,,,,0.5148717948717949,688,14,1729841207,100,5.0,0.25,10,cpd_type1
winequalityc,2,8,,,,0.5374358974358975,688,21,3653141251,100,5.0,0.25,10,cpd_type1
winequalityc,2,8,,,,0.522051282051282,688,15,826749499,100,5.0,0.25,10,cpd_type1
winequalityc,2,8,,,,0.5138461538461538,688,14,1399498030,100,5.0,0.25,10,cpd_type1
winequalityc,2,8,,,,0.5128205128205128,688,14,358916519,100,5.0,0.25,10,cpd_type1
winequalityc,2,8,,,,0.5425641025641026,688,21,328531638,100,5.0,0.25,10,cpd_type1
winequalityc,2,8,,,,0.5425641025641026,688,20,787755760,100,5.0,0.25,10,cpd_type1
winequalityc,2,8,,,,0.522051282051282,688,12,4192420569,100,5.0,0.25,10,cpd_type1
winequalityc,2,12,,,,0.5435897435897435,996,20,2582264110,100,5.0,0.25,10,cpd_type1
winequalityc,2,12,,,,0.5353846153846153,996,15,1011906602,100,5.0,0.25,10,cpd_type1
winequalityc,2,12,,,,0.5261538461538462,996,14,1729841207,100,5.0,0.25,10,cpd_type1
winequalityc,2,12,,,,0.5169230769230769,996,14,3653141251,100,5.0,0.25,10,cpd_type1
winequalityc,2,12,,,,0.5405128205128205,996,15,826749499,100,5.0,0.25,10,cpd_type1
winequalityc,2,12,,,,0.5394871794871795,996,17,1399498030,100,5.0,0.25,10,cpd_type1
winequalityc,2,12,,,,0.5251282051282051,996,14,358916519,100,5.0,0.25,10,cpd_type1
winequalityc,2,12,,,,0.5282051282051282,996,15,328531638,100,5.0,0.25,10,cpd_type1
winequalityc,2,12,,,,0.521025641025641,996,12,787755760,100,5.0,0.25,10,cpd_type1
winequalityc,2,12,,,,0.48512820512820515,996,12,4192420569,100,5.0,0.25,10,cpd_type1
winequalityc,2,16,,,,0.5456410256410257,1304,18,2582264110,100,5.0,0.25,10,cpd_type1
winequalityc,2,16,,,,0.5415384615384615,1304,19,1011906602,100,5.0,0.25,10,cpd_type1
winequalityc,2,16,,,,0.5271794871794871,1304,15,1729841207,100,5.0,0.25,10,cpd_type1
winequalityc,2,16,,,,0.5312820512820513,1304,15,3653141251,100,5.0,0.25,10,cpd_type1
winequalityc,2,16,,,,0.5282051282051282,1304,15,826749499,100,5.0,0.25,10,cpd_type1
winequalityc,2,16,,,,0.5435897435897435,1304,19,1399498030,100,5.0,0.25,10,cpd_type1
winequalityc,2,16,,,,0.5446153846153846,1304,19,358916519,100,5.0,0.25,10,cpd_type1
winequalityc,2,16,,,,0.5476923076923077,1304,20,328531638,100,5.0,0.25,10,cpd_type1
winequalityc,2,16,,,,0.5394871794871795,1304,19,787755760,100,5.0,0.25,10,cpd_type1
winequalityc,2,16,,,,0.5446153846153846,1304,19,4192420569,100,5.0,0.25,10,cpd_type1
winequalityc,2,64,,,,0.5425641025641026,5000,14,2582264110,100,5.0,0.25,10,cpd_type1
winequalityc,2,64,,,,0.5405128205128205,5000,16,1011906602,100,5.0,0.25,10,cpd_type1
winequalityc,2,64,,,,0.5405128205128205,5000,16,1729841207,100,5.0,0.25,10,cpd_type1
