dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
winequalityc,1,4,,,,0.3384615384615385,284,33,2582264110,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,4,,,,0.40205128205128204,284,29,1011906602,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,4,,,,0.48615384615384616,284,43,1729841207,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,4,,,,0.37435897435897436,284,31,3653141251,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,4,,,,0.37846153846153846,284,33,826749499,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,4,,,,0.34564102564102567,284,27,1399498030,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,4,,,,0.3507692307692308,284,16,358916519,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,4,,,,0.49025641025641026,284,30,328531638,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,4,,,,0.39794871794871794,284,32,787755760,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,4,,,,0.5415384615384615,284,75,4192420569,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,8,,,,0.4492307692307692,828,30,2582264110,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,8,,,,0.438974358974359,828,28,1011906602,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,8,,,,0.4338461538461538,828,30,1729841207,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,8,,,,0.3476923076923077,828,33,3653141251,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,8,,,,0.48512820512820515,828,33,826749499,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,8,,,,0.49641025641025643,828,33,1399498030,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,8,,,,0.3476923076923077,828,30,358916519,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,8,,,,0.4635897435897436,828,33,328531638,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,8,,,,0.4748717948717949,828,33,787755760,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,8,,,,0.5251282051282051,828,35,4192420569,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,12,,,,0.39282051282051283,1436,23,2582264110,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,12,,,,0.3723076923076923,1436,18,1011906602,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,12,,,,0.5251282051282051,1436,51,1729841207,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,12,,,,0.4123076923076923,1436,26,3653141251,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,12,,,,0.49538461538461537,1436,37,826749499,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,12,,,,0.49948717948717947,1436,29,1399498030,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,12,,,,0.47692307692307695,1436,30,358916519,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,12,,,,0.34974358974358977,1436,26,328531638,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,12,,,,0.47794871794871796,1436,33,787755760,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,12,,,,0.5271794871794871,1436,58,4192420569,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,16,,,,0.49128205128205127,2236,39,2582264110,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,16,,,,0.5333333333333333,2236,58,1011906602,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,16,,,,0.4348717948717949,2236,29,1729841207,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,16,,,,0.5035897435897436,2236,33,3653141251,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,16,,,,0.49230769230769234,2236,27,826749499,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,16,,,,0.5415384615384615,2236,52,1399498030,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,16,,,,0.48923076923076925,2236,33,358916519,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,16,,,,0.49743589743589745,2236,44,328531638,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,16,,,,0.4512820512820513,2236,25,787755760,100,5.0,0.25,12,tnml_polynomial
winequalityc,1,16,,,,0.34564102564102567,2236,19,4192420569,100,5.0,0.25,12,tnml_polynomial
winequalityc,2,4,,,,0.3476923076923077,471,23,2582264110,100,5.0,0.25,12,tnml_polynomial
winequalityc,2,4,,,,0.4153846153846154,471,23,1011906602,100,5.0,0.25,12,tnml_polynomial
winequalityc,2,4,,,,0.3251282051282051,471,13,1729841207,100,5.0,0.25,12,tnml_polynomial
