dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
winequalityc,2,4,,,,0.5497435897435897,336,11,42,100,5.0,0.25,10,tt_cumsum
winequalityc,2,4,,,,0.5435897435897435,336,12,43,100,5.0,0.25,10,tt_cumsum
winequalityc,2,4,,,,0.5497435897435897,336,15,44,100,5.0,0.25,10,tt_cumsum
winequalityc,2,4,,,,0.5446153846153846,336,13,45,100,5.0,0.25,10,tt_cumsum
winequalityc,2,4,,,,0.5507692307692308,336,15,46,100,5.0,0.25,10,tt_cumsum
winequalityc,2,8,,,,0.561025641025641,672,17,42,100,5.0,0.25,10,tt_cumsum
winequalityc,2,8,,,,0.558974358974359,672,17,43,100,5.0,0.25,10,tt_cumsum
winequalityc,2,8,,,,0.558974358974359,672,14,44,100,5.0,0.25,10,tt_cumsum
winequalityc,2,8,,,,0.5548717948717948,672,20,45,100,5.0,0.25,10,tt_cumsum
winequalityc,2,8,,,,0.561025641025641,672,17,46,100,5.0,0.25,10,tt_cumsum
winequalityc,2,12,,,,0.5528205128205128,1008,16,42,100,5.0,0.25,10,tt_cumsum
winequalityc,2,12,,,,0.5507692307692308,1008,13,43,100,5.0,0.25,10,tt_cumsum
winequalityc,2,12,,,,0.5476923076923077,1008,16,44,100,5.0,0.25,10,tt_cumsum
winequalityc,2,12,,,,0.5548717948717948,1008,13,45,100,5.0,0.25,10,tt_cumsum
winequalityc,2,12,,,,0.5538461538461539,1008,17,46,100,5.0,0.25,10,tt_cumsum
winequalityc,2,16,,,,0.5323076923076923,1344,9,42,100,5.0,0.25,10,tt_cumsum
winequalityc,2,16,,,,0.5579487179487179,1344,13,43,100,5.0,0.25,10,tt_cumsum
winequalityc,2,16,,,,0.5538461538461539,1344,14,44,100,5.0,0.25,10,tt_cumsum
winequalityc,2,16,,,,0.5517948717948717,1344,14,45,100,5.0,0.25,10,tt_cumsum
winequalityc,2,16,,,,0.5548717948717948,1344,15,46,100,5.0,0.25,10,tt_cumsum
winequalityc,3,4,,,,0.5158974358974359,528,10,42,100,5.0,0.25,10,tt_cumsum
winequalityc,3,4,,,,0.37538461538461537,528,8,43,100,5.0,0.25,10,tt_cumsum
winequalityc,3,4,,,,0.5312820512820513,528,15,44,100,5.0,0.25,10,tt_cumsum
winequalityc,3,4,,,,0.39179487179487177,528,7,45,100,5.0,0.25,10,tt_cumsum
winequalityc,3,4,,,,0.438974358974359,528,8,46,100,5.0,0.25,10,tt_cumsum
winequalityc,3,8,,,,0.4687179487179487,1440,7,42,100,5.0,0.25,10,tt_cumsum
winequalityc,3,8,,,,0.4635897435897436,1440,7,43,100,5.0,0.25,10,tt_cumsum
winequalityc,3,8,,,,0.49128205128205127,1440,7,44,100,5.0,0.25,10,tt_cumsum
winequalityc,3,8,,,,0.5097435897435898,1440,9,45,100,5.0,0.25,10,tt_cumsum
winequalityc,3,8,,,,0.49538461538461537,1440,9,46,100,5.0,0.25,10,tt_cumsum
winequalityc,3,12,,,,0.5117948717948718,2736,10,42,100,5.0,0.25,10,tt_cumsum
winequalityc,3,12,,,,0.5661538461538461,2736,17,43,100,5.0,0.25,10,tt_cumsum
winequalityc,3,12,,,,0.5087179487179487,2736,9,44,100,5.0,0.25,10,tt_cumsum
winequalityc,3,12,,,,0.49538461538461537,2736,7,45,100,5.0,0.25,10,tt_cumsum
winequalityc,3,12,,,,0.5353846153846153,2736,10,46,100,5.0,0.25,10,tt_cumsum
winequalityc,3,16,,,,0.5056410256410256,4416,7,42,100,5.0,0.25,10,tt_cumsum
winequalityc,3,16,,,,0.5097435897435898,4416,7,43,100,5.0,0.25,10,tt_cumsum
winequalityc,3,16,,,,0.5076923076923077,4416,7,44,100,5.0,0.25,10,tt_cumsum
winequalityc,3,16,,,,0.5107692307692308,4416,8,45,100,5.0,0.25,10,tt_cumsum
winequalityc,3,16,,,,0.5025641025641026,4416,8,46,100,5.0,0.25,10,tt_cumsum
winequalityc,4,4,,,,0.442051282051282,720,7,42,100,5.0,0.25,10,tt_cumsum
winequalityc,4,4,,,,0.4523076923076923,720,13,43,100,5.0,0.25,10,tt_cumsum
winequalityc,4,4,,,,0.40102564102564103,720,8,44,100,5.0,0.25,10,tt_cumsum
winequalityc,4,4,,,,0.3671794871794872,720,7,45,100,5.0,0.25,10,tt_cumsum
winequalityc,4,4,,,,0.3282051282051282,720,6,46,100,5.0,0.25,10,tt_cumsum
winequalityc,4,8,,,,0.5271794871794871,2208,14,42,100,5.0,0.25,10,tt_cumsum
winequalityc,4,8,,,,0.42153846153846153,2208,7,43,100,5.0,0.25,10,tt_cumsum
winequalityc,4,8,,,,0.442051282051282,2208,6,44,100,5.0,0.25,10,tt_cumsum
winequalityc,4,8,,,,0.4441025641025641,2208,7,45,100,5.0,0.25,10,tt_cumsum
winequalityc,4,8,,,,0.41846153846153844,2208,6,46,100,5.0,0.25,10,tt_cumsum
winequalityc,4,12,,,,0.48,4464,10,42,100,5.0,0.25,10,tt_cumsum
winequalityc,4,12,,,,0.4841025641025641,4464,10,43,100,5.0,0.25,10,tt_cumsum
winequalityc,4,12,,,,0.3261538461538461,4464,6,44,100,5.0,0.25,10,tt_cumsum
winequalityc,4,12,,,,0.47692307692307695,4464,7,45,100,5.0,0.25,10,tt_cumsum
winequalityc,4,12,,,,0.47384615384615386,4464,7,46,100,5.0,0.25,10,tt_cumsum
winequalityc,4,16,,,,0.47794871794871796,7488,8,42,100,5.0,0.25,10,tt_cumsum
winequalityc,4,16,,,,0.4605128205128205,7488,7,43,100,5.0,0.25,10,tt_cumsum
winequalityc,4,16,,,,0.4666666666666667,7488,7,44,100,5.0,0.25,10,tt_cumsum
winequalityc,4,16,,,,0.4748717948717949,7488,7,45,100,5.0,0.25,10,tt_cumsum
winequalityc,4,16,,,,0.4594871794871795,7488,7,46,100,5.0,0.25,10,tt_cumsum
winequalityc,5,4,,,,0.38358974358974357,912,7,42,100,5.0,0.25,10,tt_cumsum
winequalityc,5,4,,,,0.3261538461538461,912,6,43,100,5.0,0.25,10,tt_cumsum
winequalityc,5,4,,,,0.28512820512820514,912,9,44,100,5.0,0.25,10,tt_cumsum
winequalityc,5,4,,,,0.3405128205128205,912,11,45,100,5.0,0.25,10,tt_cumsum
winequalityc,5,4,,,,0.40307692307692305,912,6,46,100,5.0,0.25,10,tt_cumsum
winequalityc,5,8,,,,0.4512820512820513,2976,6,42,100,5.0,0.25,10,tt_cumsum
winequalityc,5,8,,,,0.38051282051282054,2976,7,43,100,5.0,0.25,10,tt_cumsum
winequalityc,5,8,,,,0.441025641025641,2976,7,44,100,5.0,0.25,10,tt_cumsum
winequalityc,5,8,,,,0.24,2976,6,45,100,5.0,0.25,10,tt_cumsum
winequalityc,5,8,,,,0.3558974358974359,2976,6,46,100,5.0,0.25,10,tt_cumsum
winequalityc,5,12,,,,0.38769230769230767,6192,6,42,100,5.0,0.25,10,tt_cumsum
winequalityc,5,12,,,,0.36615384615384616,6192,5,43,100,5.0,0.25,10,tt_cumsum
winequalityc,5,12,,,,0.4194871794871795,6192,9,44,100,5.0,0.25,10,tt_cumsum
winequalityc,5,12,,,,0.38974358974358975,6192,8,45,100,5.0,0.25,10,tt_cumsum
