dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
winequalityc,2,4,0.25,,,0.5466666666666666,336,12,42,100,5.0,0.25,10,tt_lin
winequalityc,2,4,0.25,,,0.5548717948717948,336,24,43,100,5.0,0.25,10,tt_lin
winequalityc,2,4,0.25,,,0.5507692307692308,336,19,44,100,5.0,0.25,10,tt_lin
winequalityc,2,4,0.25,,,0.5538461538461539,336,13,45,100,5.0,0.25,10,tt_lin
winequalityc,2,4,0.25,,,0.5487179487179488,336,18,46,100,5.0,0.25,10,tt_lin
winequalityc,2,4,0.5,,,0.5456410256410257,336,13,42,100,5.0,0.25,10,tt_lin
winequalityc,2,4,0.5,,,0.5558974358974359,336,19,43,100,5.0,0.25,10,tt_lin
winequalityc,2,4,0.5,,,0.5487179487179488,336,17,44,100,5.0,0.25,10,tt_lin
winequalityc,2,4,0.5,,,0.5446153846153846,336,15,45,100,5.0,0.25,10,tt_lin
winequalityc,2,4,0.5,,,0.5558974358974359,336,17,46,100,5.0,0.25,10,tt_lin
winequalityc,2,4,0.75,,,0.5456410256410257,336,14,42,100,5.0,0.25,10,tt_lin
winequalityc,2,4,0.75,,,0.5548717948717948,336,24,43,100,5.0,0.25,10,tt_lin
winequalityc,2,4,0.75,,,0.5528205128205128,336,13,44,100,5.0,0.25,10,tt_lin
winequalityc,2,4,0.75,,,0.5415384615384615,336,12,45,100,5.0,0.25,10,tt_lin
winequalityc,2,4,0.75,,,0.5394871794871795,336,11,46,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.25,,,0.5476923076923077,672,14,42,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.25,,,0.5517948717948717,672,17,43,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.25,,,0.5343589743589744,672,11,44,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.25,,,0.556923076923077,672,17,45,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.25,,,0.5497435897435897,672,20,46,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.5,,,0.5466666666666666,672,13,42,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.5,,,0.5456410256410257,672,17,43,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.5,,,0.5538461538461539,672,13,44,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.5,,,0.558974358974359,672,17,45,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.5,,,0.5548717948717948,672,13,46,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.75,,,0.5466666666666666,672,15,42,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.75,,,0.5312820512820513,672,10,43,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.75,,,0.5548717948717948,672,16,44,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.75,,,0.558974358974359,672,17,45,100,5.0,0.25,10,tt_lin
winequalityc,2,8,0.75,,,0.5466666666666666,672,14,46,100,5.0,0.25,10,tt_lin
winequalityc,2,12,0.25,,,0.5528205128205128,1008,15,42,100,5.0,0.25,10,tt_lin
