dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
winequalityc,2,4,0.25,,,0.5497435897435897,380,22,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,4,0.25,,,0.5507692307692308,380,18,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,4,0.25,,,0.5528205128205128,380,18,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,4,0.25,,,0.5487179487179488,380,21,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,4,0.25,,,0.5517948717948717,380,24,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,4,0.5,,,0.5487179487179488,380,28,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,4,0.5,,,0.5528205128205128,380,22,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,4,0.5,,,0.5292307692307693,380,13,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,4,0.5,,,0.5456410256410257,380,22,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,4,0.5,,,0.5528205128205128,380,25,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,4,0.75,,,0.558974358974359,380,40,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,4,0.75,,,0.5415384615384615,380,16,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,4,0.75,,,0.5538461538461539,380,17,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,4,0.75,,,0.5538461538461539,380,22,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,4,0.75,,,0.5476923076923077,380,24,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.25,,,0.5343589743589744,688,14,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.25,,,0.5497435897435897,688,22,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.25,,,0.5507692307692308,688,21,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.25,,,0.5538461538461539,688,22,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.25,,,0.5497435897435897,688,21,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.5,,,0.5528205128205128,688,22,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.5,,,0.5507692307692308,688,22,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.5,,,0.5517948717948717,688,22,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.5,,,0.5517948717948717,688,22,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.5,,,0.5517948717948717,688,22,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.75,,,0.5517948717948717,688,22,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.75,,,0.5507692307692308,688,22,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.75,,,0.5528205128205128,688,28,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.75,,,0.5517948717948717,688,22,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,8,0.75,,,0.5558974358974359,688,22,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.25,,,0.5507692307692308,996,22,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.25,,,0.558974358974359,996,22,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.25,,,0.5558974358974359,996,22,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.25,,,0.5497435897435897,996,22,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.25,,,0.5302564102564102,996,13,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.5,,,0.5538461538461539,996,22,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.5,,,0.5507692307692308,996,22,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.5,,,0.5487179487179488,996,22,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.5,,,0.5517948717948717,996,22,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.5,,,0.5487179487179488,996,22,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.75,,,0.5497435897435897,996,22,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.75,,,0.5476923076923077,996,22,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.75,,,0.5528205128205128,996,21,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.75,,,0.5507692307692308,996,22,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,12,0.75,,,0.5507692307692308,996,22,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.25,,,0.5466666666666666,1304,14,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.25,,,0.5538461538461539,1304,22,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.25,,,0.5558974358974359,1304,22,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.25,,,0.558974358974359,1304,22,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.25,,,0.5558974358974359,1304,22,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.5,,,0.5487179487179488,1304,22,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.5,,,0.5323076923076923,1304,13,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.5,,,0.5517948717948717,1304,22,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.5,,,0.5497435897435897,1304,22,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.5,,,0.5312820512820513,1304,13,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.75,,,0.5517948717948717,1304,22,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.75,,,0.5620512820512821,1304,22,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.75,,,0.5384615384615384,1304,13,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.75,,,0.5497435897435897,1304,22,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,2,16,0.75,,,0.5446153846153846,1304,15,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.25,,,0.5302564102564102,864,15,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.25,,,0.5138461538461538,864,12,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.25,,,0.5087179487179487,864,14,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.25,,,0.563076923076923,864,35,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.25,,,0.5107692307692308,864,15,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.5,,,0.5702564102564103,864,32,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.5,,,0.561025641025641,864,29,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.5,,,0.561025641025641,864,31,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.5,,,0.5538461538461539,864,34,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.5,,,0.561025641025641,864,29,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.75,,,0.5671794871794872,864,35,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.75,,,0.5702564102564103,864,37,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.75,,,0.5271794871794871,864,15,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.75,,,0.5702564102564103,864,33,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,4,0.75,,,0.5692307692307692,864,30,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,8,0.25,,,0.5517948717948717,2008,25,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,8,0.25,,,0.5282051282051282,2008,14,43,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,8,0.25,,,0.5302564102564102,2008,13,44,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,8,0.25,,,0.5035897435897436,2008,14,45,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,8,0.25,,,0.5579487179487179,2008,22,46,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,8,0.5,,,0.5230769230769231,2008,15,42,100,5.0,0.25,10,tt_lin_type1
winequalityc,3,8,0.5,,,0.5374358974358975,2008,17,43,100,5.0,0.25,10,tt_lin_type1
