dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
winequalityc,3,8,,,,0.5292307692307693,2008,15,2582264110,100,5.0,0.25,10,tt_type1
winequalityc,3,8,,,,0.561025641025641,2008,24,1011906602,100,5.0,0.25,10,tt_type1
winequalityc,3,8,,,,0.558974358974359,2008,24,1729841207,100,5.0,0.25,10,tt_type1
winequalityc,3,8,,,,0.561025641025641,2008,29,3653141251,100,5.0,0.25,10,tt_type1
winequalityc,3,8,,,,0.5651282051282052,2008,34,826749499,100,5.0,0.25,10,tt_type1
winequalityc,3,8,,,,0.5538461538461539,2008,25,1399498030,100,5.0,0.25,10,tt_type1
winequalityc,3,8,,,,0.56,2008,22,358916519,100,5.0,0.25,10,tt_type1
winequalityc,3,8,,,,0.558974358974359,2008,26,328531638,100,5.0,0.25,10,tt_type1
winequalityc,3,8,,,,0.5435897435897435,2008,22,787755760,100,5.0,0.25,10,tt_type1
winequalityc,3,8,,,,0.5671794871794872,2008,25,4192420569,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5394871794871795,3504,15,2582264110,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5651282051282052,3504,24,1011906602,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5333333333333333,3504,15,1729841207,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5343589743589744,3504,15,3653141251,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5384615384615384,3504,14,826749499,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5620512820512821,3504,26,1399498030,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5302564102564102,3504,15,358916519,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5548717948717948,3504,21,328531638,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5517948717948717,3504,22,787755760,100,5.0,0.25,10,tt_type1
winequalityc,3,12,,,,0.5507692307692308,3504,22,4192420569,100,5.0,0.25,10,tt_type1
winequalityc,3,16,,,,0.5712820512820512,5352,22,2582264110,100,5.0,0.25,10,tt_type1
