dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,2,4,,2.179036746230319,0.5267366881159086,,100,27,42,100,5.0,0.25,10,cpd_type1
abalone,2,4,,2.1773915797536008,0.5274510432248759,,100,25,43,100,5.0,0.25,10,cpd_type1
abalone,2,4,,2.1951434103882987,0.5197144427555902,,100,25,44,100,5.0,0.25,10,cpd_type1
abalone,2,4,,2.181646003080018,0.5256026045566914,,100,26,45,100,5.0,0.25,10,cpd_type1
abalone,2,4,,2.2111117361819193,0.5127014602290201,,100,30,46,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.1701475098444933,0.5305901049738122,,188,23,42,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.1721967711846264,0.529703162749055,,188,23,43,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.173590950496305,0.5290992685289502,,188,23,44,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.1654937382042885,0.5326011979008343,,188,23,45,100,5.0,0.25,10,cpd_type1
abalone,2,8,,2.1727198692944567,0.5294766261741594,,188,23,46,100,5.0,0.25,10,cpd_type1
abalone,2,12,,2.1778263709774595,0.5272623030324761,,276,23,42,100,5.0,0.25,10,cpd_type1
abalone,2,12,,2.1801074999765047,0.5262714614783033,,276,23,43,100,5.0,0.25,10,cpd_type1
abalone,2,12,,2.180345063420289,0.5261682127029738,,276,23,44,100,5.0,0.25,10,cpd_type1
abalone,2,12,,2.175995017945293,0.5280570271832382,,276,23,45,100,5.0,0.25,10,cpd_type1
abalone,2,12,,2.1682433667613985,0.5314134881482921,,276,23,46,100,5.0,0.25,10,cpd_type1
abalone,2,16,,2.158999959362731,0.535400221066163,,364,21,42,100,5.0,0.25,10,cpd_type1
abalone,2,16,,2.160558660538707,0.534729138485935,,364,21,43,100,5.0,0.25,10,cpd_type1
abalone,2,16,,2.1634090744993633,0.5335006697408662,,364,21,44,100,5.0,0.25,10,cpd_type1
abalone,2,16,,2.1612143724447788,0.5344466838188036,,364,21,45,100,5.0,0.25,10,cpd_type1
abalone,2,16,,2.159170307880262,0.5353269028564684,,364,21,46,100,5.0,0.25,10,cpd_type1
abalone,2,64,,2.162078962718871,0.5340741216272116,,1420,19,42,100,5.0,0.25,10,cpd_type1
abalone,2,64,,2.1620020468627343,0.5341072716194162,,1420,19,43,100,5.0,0.25,10,cpd_type1
abalone,2,64,,2.1627639323838714,0.5337788542918257,,1420,19,44,100,5.0,0.25,10,cpd_type1
abalone,2,64,,2.1618083779945434,0.5341907358106273,,1420,19,45,100,5.0,0.25,10,cpd_type1
abalone,2,64,,2.1630971402331824,0.5336351858036624,,1420,19,46,100,5.0,0.25,10,cpd_type1
abalone,2,144,,2.157798175708348,0.5359173058567107,,3180,19,42,100,5.0,0.25,10,cpd_type1
abalone,2,144,,2.1559798184492562,0.5366991329850659,,3180,19,43,100,5.0,0.25,10,cpd_type1
abalone,2,144,,2.1590202913709144,0.5353914704490585,,3180,19,44,100,5.0,0.25,10,cpd_type1
abalone,2,144,,2.159414998998766,0.5352215773782967,,3180,17,45,100,5.0,0.25,10,cpd_type1
abalone,2,144,,2.1587160521177804,0.5355224022362642,,3180,19,46,100,5.0,0.25,10,cpd_type1
abalone,2,256,,2.1576882009527245,0.5359646097064048,,5644,17,42,100,5.0,0.25,10,cpd_type1
abalone,2,256,,2.159224134747047,0.5353037345046501,,5644,17,43,100,5.0,0.25,10,cpd_type1
abalone,2,256,,2.158455913874363,0.5356343401689976,,5644,17,44,100,5.0,0.25,10,cpd_type1
abalone,2,256,,2.156486566148098,0.536481316252728,,5644,17,45,100,5.0,0.25,10,cpd_type1
abalone,2,256,,2.158123960012989,0.5357771608951428,,5644,17,46,100,5.0,0.25,10,cpd_type1
abalone,3,4,,2.190670749519547,0.5216696370702405,,232,44,42,100,5.0,0.25,10,cpd_type1
abalone,3,4,,2.159754378392412,0.5350754742768145,,232,80,43,100,5.0,0.25,10,cpd_type1
abalone,3,4,,2.155617161658867,0.5368549833068043,,232,64,44,100,5.0,0.25,10,cpd_type1
abalone,3,4,,2.1682991951729913,0.5313893572985511,,232,44,45,100,5.0,0.25,10,cpd_type1
abalone,3,4,,2.2013755742083303,0.5169834437368408,,232,45,46,100,5.0,0.25,10,cpd_type1
abalone,3,8,,2.1919531261593783,0.521109462320217,,452,41,42,100,5.0,0.25,10,cpd_type1
abalone,3,8,,2.1699583336581867,0.5306719402434082,,452,45,43,100,5.0,0.25,10,cpd_type1
abalone,3,8,,2.1777267924501427,0.527305532784935,,452,47,44,100,5.0,0.25,10,cpd_type1
abalone,3,8,,2.177961005392946,0.5272038514206336,,452,45,45,100,5.0,0.25,10,cpd_type1
abalone,3,8,,2.158015109509455,0.5358239882474147,,452,45,46,100,5.0,0.25,10,cpd_type1
abalone,3,12,,2.167295105099717,0.5318232626842714,,672,66,42,100,5.0,0.25,10,cpd_type1
abalone,3,12,,2.1816164781350316,0.5256154448270236,,672,44,43,100,5.0,0.25,10,cpd_type1
abalone,3,12,,2.157428041224657,0.5360765035777164,,672,40,44,100,5.0,0.25,10,cpd_type1
abalone,3,12,,2.160791202703375,0.5346289783580757,,672,55,45,100,5.0,0.25,10,cpd_type1
abalone,3,12,,2.167820614708644,0.5315961951275867,,672,40,46,100,5.0,0.25,10,cpd_type1
abalone,3,16,,2.186364233245658,0.5235484339959231,,892,40,42,100,5.0,0.25,10,cpd_type1
abalone,3,16,,2.165919885761058,0.5324172209606661,,892,55,43,100,5.0,0.25,10,cpd_type1
abalone,3,16,,2.153202383970559,0.5378920559807329,,892,46,44,100,5.0,0.25,10,cpd_type1
abalone,3,16,,2.148746194156868,0.5398028005193889,,892,46,45,100,5.0,0.25,10,cpd_type1
abalone,3,16,,2.1626890249854216,0.533811148901346,,892,40,46,100,5.0,0.25,10,cpd_type1
abalone,3,64,,2.217834772457565,0.5097336261315011,,3532,47,42,100,5.0,0.25,10,cpd_type1
abalone,3,64,,2.1922782252979323,0.5209673986558614,,3532,47,43,100,5.0,0.25,10,cpd_type1
abalone,3,64,,2.2176915259810555,0.509796955161681,,3532,38,44,100,5.0,0.25,10,cpd_type1
abalone,3,64,,2.204074079471317,0.5157985286140035,,3532,36,45,100,5.0,0.25,10,cpd_type1
abalone,3,64,,2.1786142193685993,0.5269202068885963,,3532,35,46,100,5.0,0.25,10,cpd_type1
abalone,3,144,,2.213557728197679,0.5116227380732387,,7932,39,42,100,5.0,0.25,10,cpd_type1
abalone,3,144,,2.2344522993092957,0.5023592840734454,,7932,49,43,100,5.0,0.25,10,cpd_type1
abalone,3,144,,2.228298989945184,0.5050963494118017,,7932,39,44,100,5.0,0.25,10,cpd_type1
abalone,3,144,,2.1965032191842893,0.5191192207699964,,7932,39,45,100,5.0,0.25,10,cpd_type1
abalone,3,144,,2.2408928969674924,0.49948634484371035,,7932,36,46,100,5.0,0.25,10,cpd_type1
abalone,3,256,,2.1893802006632948,0.5222330506924511,,14092,28,42,100,5.0,0.25,10,cpd_type1
abalone,3,256,,2.183653300606787,0.5247292320706808,,14092,27,43,100,5.0,0.25,10,cpd_type1
abalone,3,256,,2.179253340033226,0.5266425997576827,,14092,28,44,100,5.0,0.25,10,cpd_type1
abalone,3,256,,2.1774367715786607,0.5274314274868518,,14092,28,45,100,5.0,0.25,10,cpd_type1
abalone,3,256,,2.1953767344795323,0.5196123372200248,,14092,27,46,100,5.0,0.25,10,cpd_type1
abalone,4,4,,7.141100466692304,-4.082811650758348,,408,14,42,100,5.0,0.25,10,cpd_type1
abalone,4,4,,7.073606615442958,-3.9871856803765207,,408,14,43,100,5.0,0.25,10,cpd_type1
abalone,4,4,,2.1938995914113675,0.5202585703425315,,408,73,44,100,5.0,0.25,10,cpd_type1
abalone,4,4,,7.524596881619512,-4.643391854653941,,408,14,45,100,5.0,0.25,10,cpd_type1
abalone,4,4,,7.527021384438481,-4.647029158813582,,408,14,46,100,5.0,0.25,10,cpd_type1
abalone,4,8,,7.223002860146931,-4.200071368503965,,804,12,42,100,5.0,0.25,10,cpd_type1
abalone,4,8,,2.1950376847328856,0.5197607060495975,,804,68,43,100,5.0,0.25,10,cpd_type1
abalone,4,8,,2.1917303056704602,0.5212068195117563,,804,68,44,100,5.0,0.25,10,cpd_type1
abalone,4,8,,2.1617858398857908,0.5342004484245988,,804,69,45,100,5.0,0.25,10,cpd_type1
abalone,4,8,,2.175556648003542,0.5282471606830813,,804,68,46,100,5.0,0.25,10,cpd_type1
abalone,4,12,,2.1612464296423455,0.5344328726527193,,1200,70,42,100,5.0,0.25,10,cpd_type1
abalone,4,12,,3.151652720162659,0.009965237924753456,,1200,31,43,100,5.0,0.25,10,cpd_type1
abalone,4,12,,3.404555345311382,-0.15529934639736598,,1200,31,44,100,5.0,0.25,10,cpd_type1
abalone,4,12,,3.4820417453830945,-0.2084861498461612,,1200,31,45,100,5.0,0.25,10,cpd_type1
abalone,4,12,,2.188563211770308,0.5225895510966261,,1200,71,46,100,5.0,0.25,10,cpd_type1
abalone,4,16,,2.220725998686525,0.5084545453427292,,1596,60,42,100,5.0,0.25,10,cpd_type1
abalone,4,16,,2.16962128926866,0.5308177237841334,,1596,64,43,100,5.0,0.25,10,cpd_type1
abalone,4,16,,2.212543858086006,0.5120700159611312,,1596,68,44,100,5.0,0.25,10,cpd_type1
abalone,4,16,,2.1722160645374187,0.5296948084017747,,1596,74,45,100,5.0,0.25,10,cpd_type1
abalone,4,16,,2.1536573580635667,0.5376967474886039,,1596,73,46,100,5.0,0.25,10,cpd_type1
abalone,4,64,,2.2273953884762787,0.5054976465412286,,6348,62,42,100,5.0,0.25,10,cpd_type1
abalone,4,64,,2.20411776878403,0.5157793326719444,,6348,46,43,100,5.0,0.25,10,cpd_type1
abalone,4,64,,2.181567171804471,0.5256368875486076,,6348,55,44,100,5.0,0.25,10,cpd_type1
abalone,4,64,,2.232782822875167,0.5031026331986441,,6348,61,45,100,5.0,0.25,10,cpd_type1
abalone,4,64,,2.1972145382268238,0.5188077119690673,,6348,63,46,100,5.0,0.25,10,cpd_type1
abalone,4,144,,2.1844518768401158,0.5243815492771966,,14268,62,42,100,5.0,0.25,10,cpd_type1
abalone,4,144,,2.19736585573485,0.5187414323009951,,14268,44,43,100,5.0,0.25,10,cpd_type1
abalone,4,144,,2.2343613061762584,0.5023998138854988,,14268,60,44,100,5.0,0.25,10,cpd_type1
abalone,4,144,,2.2409658016479117,0.4994537771277796,,14268,58,45,100,5.0,0.25,10,cpd_type1
