dataset,num_channels,num_layers,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,early_stopping
abalone,16,1,2.244890252073037,0.4976990971873524,,241,42,mlp,12
abalone,16,1,2.233479448474499,0.5027925220478191,,241,43,mlp,12
abalone,16,1,2.2456808177037675,0.49734525204786617,,241,44,mlp,12
abalone,16,1,2.2478225100157263,0.4963860372371689,,241,45,mlp,12
abalone,16,1,2.2359601536439486,0.5016874210909213,,241,46,mlp,12
abalone,64,1,2.1727436715656783,0.5294663168964066,,961,42,mlp,12
abalone,64,1,2.1708180426915327,0.5302999833314603,,961,43,mlp,12
abalone,64,1,2.1781301794695964,0.5271303992714804,,961,44,mlp,12
abalone,64,1,2.185332241365767,0.5239981103095397,,961,45,mlp,12
abalone,64,1,2.167526914270582,0.5317231069971375,,961,46,mlp,12
abalone,256,1,2.1652315473782524,0.5327143732538863,,3841,42,mlp,12
abalone,256,1,2.1713767610676977,0.5300581723669785,,3841,43,mlp,12
abalone,256,1,2.168026018727812,0.5315074270980061,,3841,44,mlp,12
abalone,256,1,2.173711925234277,0.5290468495787466,,3841,45,mlp,12
abalone,256,1,2.1706468600146787,0.5303740580207155,,3841,46,mlp,12
abalone,16,3,2.175844079571731,0.5281224977689263,,849,42,mlp,12
abalone,16,3,2.2173872398889967,0.5099314659662163,,849,43,mlp,12
abalone,16,3,2.224230616714835,0.5069018653830267,,849,44,mlp,12
abalone,16,3,2.2499154930609717,0.49544775478420044,,849,45,mlp,12
abalone,16,3,2.2129879443593032,0.5118741285413215,,849,46,mlp,12
abalone,64,3,2.2063249736286767,0.5148090493653896,,9537,42,mlp,12
abalone,64,3,2.186894688155487,0.5233172129321982,,9537,43,mlp,12
abalone,64,3,2.1325213811945627,0.5467263021878728,,9537,44,mlp,12
abalone,64,3,2.1527671549050917,0.5380788498311717,,9537,45,mlp,12
abalone,64,3,2.136376468196867,0.5450860007072476,,9537,46,mlp,12
abalone,256,3,2.147462827308499,0.5403523539834383,,136449,42,mlp,12
abalone,256,3,2.1842131189978864,0.5244855125920852,,136449,43,mlp,12
abalone,256,3,2.1468577665045703,0.5406113345724535,,136449,44,mlp,12
abalone,256,3,2.182883674125812,0.5250641904717759,,136449,45,mlp,12
abalone,256,3,2.259318255795928,0.49122173080753617,,136449,46,mlp,12
abalone,16,5,2.195052747986152,0.519754114827055,,1457,42,mlp,12
abalone,16,5,2.247237709203885,0.4966480468416863,,1457,43,mlp,12
abalone,16,5,2.1827629128813597,0.5251167377088202,,1457,44,mlp,12
abalone,16,5,2.2611313389536685,0.49040482292791776,,1457,45,mlp,12
abalone,16,5,2.2393395992077383,0.5001799766480372,,1457,46,mlp,12
abalone,64,5,2.1642348355620435,0.5331444814408237,,18113,42,mlp,12
abalone,64,5,2.1614916193799596,0.5343272310605145,,18113,43,mlp,12
abalone,64,5,2.147073721583215,0.5405189089757398,,18113,44,mlp,12
abalone,64,5,2.188982858317989,0.5224064511951927,,18113,45,mlp,12
abalone,64,5,2.173175134619745,0.5292794213502455,,18113,46,mlp,12
abalone,256,5,2.1872760826361013,0.5231509314570976,,269057,42,mlp,12
abalone,256,5,2.1762377219235844,0.5279517430957794,,269057,43,mlp,12
abalone,256,5,2.196427504516006,0.5191523726459722,,269057,44,mlp,12
abalone,256,5,2.251752872865546,0.4946233392493762,,269057,45,mlp,12
abalone,256,5,2.198423224918083,0.5182781590499062,,269057,46,mlp,12
