dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,1,4,,2.3133899575609855,0.4665773870343124,,264,93,42,100,5.0,0.25,12,tnml_polynomial
abalone,1,4,,2.2283074777227077,0.5050925791456919,,264,148,43,100,5.0,0.25,12,tnml_polynomial
abalone,1,4,,2.303453213505006,0.4711499843441501,,264,93,44,100,5.0,0.25,12,tnml_polynomial
abalone,1,4,,2.290867578951817,0.4769132702350247,,264,109,45,100,5.0,0.25,12,tnml_polynomial
abalone,1,4,,2.29553479034046,0.47477971763092275,,264,99,46,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.275308477644285,0.483994535957882,,808,95,42,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.2917576883058834,0.47650670387563554,,808,97,43,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.280051792873035,0.4818408694812012,,808,97,44,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.2858991018120687,0.47917977063228046,,808,94,45,100,5.0,0.25,12,tnml_polynomial
abalone,1,8,,2.2893116910449214,0.47762355829232794,,808,97,46,100,5.0,0.25,12,tnml_polynomial
abalone,1,12,,2.273916135716225,0.48462586680852326,,1416,103,42,100,5.0,0.25,12,tnml_polynomial
abalone,1,12,,2.2668164933591046,0.48783905477965683,,1416,102,43,100,5.0,0.25,12,tnml_polynomial
abalone,1,12,,2.279377558894512,0.48214727378173905,,1416,95,44,100,5.0,0.25,12,tnml_polynomial
abalone,1,12,,2.269804864023639,0.486487789157277,,1416,95,45,100,5.0,0.25,12,tnml_polynomial
abalone,1,12,,2.2577351299052775,0.4919344925901814,,1416,102,46,100,5.0,0.25,12,tnml_polynomial
abalone,1,16,,2.2838280391901433,0.48012308669633086,,2216,95,42,100,5.0,0.25,12,tnml_polynomial
abalone,1,16,,2.2838280391893564,0.4801230866966891,,2216,95,43,100,5.0,0.25,12,tnml_polynomial
abalone,1,16,,2.274302131082042,0.48445088330036146,,2216,102,44,100,5.0,0.25,12,tnml_polynomial
abalone,1,16,,2.2667842602209523,0.48785362008494715,,2216,84,45,100,5.0,0.25,12,tnml_polynomial
abalone,1,16,,2.278154628127451,0.4827028010052308,,2216,102,46,100,5.0,0.25,12,tnml_polynomial
abalone,2,4,,10.048998404202077,-9.065127600363379,,426,61,42,100,5.0,0.25,12,tnml_polynomial
abalone,2,4,,10.051558873464995,-9.070257411728477,,426,74,43,100,5.0,0.25,12,tnml_polynomial
abalone,2,4,,10.051752464006363,-9.07064531680511,,426,74,44,100,5.0,0.25,12,tnml_polynomial
abalone,2,4,,10.051698196622667,-9.070536578333847,,426,74,45,100,5.0,0.25,12,tnml_polynomial
abalone,2,4,,10.051755064451408,-9.070650527471251,,426,74,46,100,5.0,0.25,12,tnml_polynomial
abalone,2,8,,10.190004236839151,-9.349573655420786,,1506,18,42,100,5.0,0.25,12,tnml_polynomial
abalone,2,8,,10.188707206330498,-9.346939140624762,,1506,17,43,100,5.0,0.25,12,tnml_polynomial
abalone,2,8,,9.928556760949068,-8.825303545678747,,1506,93,44,100,5.0,0.25,12,tnml_polynomial
abalone,2,8,,9.930441823676695,-8.829034817443814,,1506,93,45,100,5.0,0.25,12,tnml_polynomial
abalone,2,8,,10.197602029051762,-9.365012947397291,,1506,15,46,100,5.0,0.25,12,tnml_polynomial
abalone,2,12,,9.963287977405981,-8.894163825942949,,2988,93,42,100,5.0,0.25,12,tnml_polynomial
abalone,2,12,,9.905993079956469,-8.780696236143728,,2988,102,43,100,5.0,0.25,12,tnml_polynomial
abalone,2,12,,9.962065983246156,-8.89173694257186,,2988,93,44,100,5.0,0.25,12,tnml_polynomial
abalone,2,12,,9.933682036892282,-8.835450113955687,,2988,102,45,100,5.0,0.25,12,tnml_polynomial
abalone,2,12,,9.93625746034496,-8.840550686413081,,2988,102,46,100,5.0,0.25,12,tnml_polynomial
