dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,,4,,4.034906829595383,-0.6227094008842589,,264,78,42,100,5.0,0.25,12,tnml_sin-cos
abalone,,4,,4.080033630656025,-0.6592094641031379,,264,59,43,100,5.0,0.25,12,tnml_sin-cos
abalone,,4,,4.088472357502023,-0.666080042375653,,264,59,44,100,5.0,0.25,12,tnml_sin-cos
abalone,,4,,4.102674869008737,-0.6776753857039983,,264,72,45,100,5.0,0.25,12,tnml_sin-cos
abalone,,4,,4.079061465790605,-0.6584188662205659,,264,63,46,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,3.8105869329911854,-0.4472963879882821,,808,57,42,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,3.853817563301285,-0.4803214555800768,,808,55,43,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,3.853649414307485,-0.480192280221424,,808,55,44,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,3.817007526077273,-0.45217769891397763,,808,56,45,100,5.0,0.25,12,tnml_sin-cos
abalone,,8,,3.82213253683586,-0.4560799300042986,,808,57,46,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,3.813343125050501,-0.449390799957307,,1416,55,42,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,3.822580608199924,-0.4564213446237144,,1416,55,43,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,3.8235341812528802,-0.4571480669688808,,1416,55,44,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,3.817260587808859,-0.45237025959539023,,1416,55,45,100,5.0,0.25,12,tnml_sin-cos
abalone,,12,,3.8204553901466745,-0.454802358478978,,1416,55,46,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,3.823922050342379,-0.4574437156195772,,2216,49,42,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,3.823843895130462,-0.4573841403160481,,2216,48,43,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,3.8204118796809974,-0.45476922171324197,,2216,48,44,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,3.8239220503423788,-0.457443715619577,,2216,49,45,100,5.0,0.25,12,tnml_sin-cos
abalone,,16,,3.8115218851308907,-0.44800668216654693,,2216,48,46,100,5.0,0.25,12,tnml_sin-cos
