dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,2,4,,2.1810663732113014,0.52585465128778,,96,18,42,100,5.0,0.25,10,tt
abalone,2,4,,2.1834930041046863,0.5247990063754038,,96,19,43,100,5.0,0.25,10,tt
abalone,2,4,,2.176981895912329,0.5276288499737853,,96,19,44,100,5.0,0.25,10,tt
abalone,2,4,,2.180045185122662,0.5262985426224618,,96,18,45,100,5.0,0.25,10,tt
abalone,2,4,,2.181222827988333,0.5257866249623182,,96,18,46,100,5.0,0.25,10,tt
abalone,2,8,,2.184734259961152,0.5242585753588052,,192,18,42,100,5.0,0.25,10,tt
abalone,2,8,,2.1834319525723744,0.5248255797082891,,192,18,43,100,5.0,0.25,10,tt
abalone,2,8,,2.1855571686745794,0.5239001194119228,,192,18,44,100,5.0,0.25,10,tt
abalone,2,8,,2.184643595700401,0.5242980601148065,,192,19,45,100,5.0,0.25,10,tt
abalone,2,8,,2.1854605947297188,0.5239421936513284,,192,18,46,100,5.0,0.25,10,tt
abalone,2,12,,2.1785867031940573,0.5269321569289829,,288,18,42,100,5.0,0.25,10,tt
abalone,2,12,,2.1841592771671583,0.5245089555929168,,288,19,43,100,5.0,0.25,10,tt
abalone,2,12,,2.183722725762618,0.5246990109072432,,288,18,44,100,5.0,0.25,10,tt
abalone,2,12,,2.177975720694953,0.527197462544432,,288,18,45,100,5.0,0.25,10,tt
abalone,2,12,,2.177476906076769,0.5274140065655919,,288,18,46,100,5.0,0.25,10,tt
abalone,2,16,,2.176111086553584,0.528006678515588,,384,18,42,100,5.0,0.25,10,tt
abalone,2,16,,2.179251820713048,0.5266432597830095,,384,18,43,100,5.0,0.25,10,tt
abalone,2,16,,2.1793947917998144,0.5265811480555751,,384,18,44,100,5.0,0.25,10,tt
abalone,2,16,,2.1769316084189483,0.5276506729267149,,384,18,45,100,5.0,0.25,10,tt
abalone,2,16,,2.1769861813243154,0.5276269902367017,,384,18,46,100,5.0,0.25,10,tt
abalone,3,4,,2.1522474487055407,0.5383018505469604,,288,28,42,100,5.0,0.25,10,tt
abalone,3,4,,2.1602416532958038,0.5348656618909082,,288,27,43,100,5.0,0.25,10,tt
abalone,3,4,,2.153233523283634,0.5378786900025959,,288,29,44,100,5.0,0.25,10,tt
