dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,2,4,,2.1794651231678595,0.5265505921114273,,96,18,42,100,5.0,0.25,10,tt_cumsum
abalone,2,4,,2.180613875051245,0.5260513694111444,,96,18,43,100,5.0,0.25,10,tt_cumsum
abalone,2,4,,2.181248031938416,0.5257756658625578,,96,18,44,100,5.0,0.25,10,tt_cumsum
abalone,2,4,,2.179786424466298,0.5264109880215984,,96,18,45,100,5.0,0.25,10,tt_cumsum
abalone,2,4,,2.1792562091709886,0.5266413533413425,,96,18,46,100,5.0,0.25,10,tt_cumsum
abalone,2,8,,2.1846608639392824,0.5242905398334976,,192,18,42,100,5.0,0.25,10,tt_cumsum
abalone,2,8,,2.182782994773643,0.5251079996105746,,192,18,43,100,5.0,0.25,10,tt_cumsum
abalone,2,8,,2.18565415619106,0.5238578631211817,,192,18,44,100,5.0,0.25,10,tt_cumsum
abalone,2,8,,2.1851242658082213,0.5240887071037694,,192,18,45,100,5.0,0.25,10,tt_cumsum
abalone,2,8,,2.1863686383347405,0.5235465140837015,,192,18,46,100,5.0,0.25,10,tt_cumsum
abalone,2,12,,2.1807139766064485,0.5260078549820271,,288,18,42,100,5.0,0.25,10,tt_cumsum
abalone,2,12,,2.177598251703997,0.5273613329032283,,288,18,43,100,5.0,0.25,10,tt_cumsum
abalone,2,12,,2.1753464009687073,0.5283383372039064,,288,18,44,100,5.0,0.25,10,tt_cumsum
abalone,2,12,,2.1810710574477956,0.5258526146589471,,288,18,45,100,5.0,0.25,10,tt_cumsum
abalone,2,12,,2.1770538518192075,0.5275976228365433,,288,18,46,100,5.0,0.25,10,tt_cumsum
abalone,2,16,,2.1767854251753014,0.5277141083034844,,384,18,42,100,5.0,0.25,10,tt_cumsum
abalone,2,16,,2.1773522447308173,0.52746811645714,,384,18,43,100,5.0,0.25,10,tt_cumsum
abalone,2,16,,2.1769326626865473,0.5276502154178894,,384,18,44,100,5.0,0.25,10,tt_cumsum
abalone,2,16,,2.177573352867567,0.5273721412197527,,384,18,45,100,5.0,0.25,10,tt_cumsum
abalone,2,16,,2.1762393663644644,0.5279510297033623,,384,18,46,100,5.0,0.25,10,tt_cumsum
abalone,3,4,,2.175158701075833,0.528419728401277,,288,29,42,100,5.0,0.25,10,tt_cumsum
abalone,3,4,,2.156408658608803,0.5365148067908391,,288,27,43,100,5.0,0.25,10,tt_cumsum
abalone,3,4,,2.15869080415285,0.5355332670700237,,288,29,44,100,5.0,0.25,10,tt_cumsum
abalone,3,4,,2.152761268594058,0.5380813758896352,,288,28,45,100,5.0,0.25,10,tt_cumsum
abalone,3,4,,2.1719361452547234,0.5298160109025327,,288,28,46,100,5.0,0.25,10,tt_cumsum
abalone,3,8,,2.152494779681903,0.5381957300211782,,960,25,42,100,5.0,0.25,10,tt_cumsum
abalone,3,8,,2.158321392571119,0.5356922196251171,,960,25,43,100,5.0,0.25,10,tt_cumsum
abalone,3,8,,2.1594835010973443,0.5351920890193348,,960,27,44,100,5.0,0.25,10,tt_cumsum
abalone,3,8,,2.1389908754371287,0.5439719103796881,,960,25,45,100,5.0,0.25,10,tt_cumsum
abalone,3,8,,2.168147762368448,0.5314548100239055,,960,27,46,100,5.0,0.25,10,tt_cumsum
abalone,3,12,,2.1586411415330895,0.5355546377724609,,2016,26,42,100,5.0,0.25,10,tt_cumsum
abalone,3,12,,2.146170980169228,0.5409052072247977,,2016,25,43,100,5.0,0.25,10,tt_cumsum
abalone,3,12,,2.1633518205698294,0.5335253609254189,,2016,27,44,100,5.0,0.25,10,tt_cumsum
abalone,3,12,,2.16388336868153,0.5332961017055062,,2016,24,45,100,5.0,0.25,10,tt_cumsum
abalone,3,12,,2.163082181629774,0.5336416359459588,,2016,29,46,100,5.0,0.25,10,tt_cumsum
abalone,3,16,,2.1391690359984175,0.5438959403464185,,3456,25,42,100,5.0,0.25,10,tt_cumsum
abalone,3,16,,2.143869744697495,0.5418892097322809,,3456,25,43,100,5.0,0.25,10,tt_cumsum
abalone,3,16,,2.158003271411502,0.5358290808401391,,3456,25,44,100,5.0,0.25,10,tt_cumsum
abalone,3,16,,2.163956371095981,0.5332646110192552,,3456,28,45,100,5.0,0.25,10,tt_cumsum
abalone,3,16,,2.144693361257229,0.5415371546602168,,3456,25,46,100,5.0,0.25,10,tt_cumsum
abalone,4,4,,2.20451046848861,0.5156067736053016,,480,36,42,100,5.0,0.25,10,tt_cumsum
abalone,4,4,,2.141557552836813,0.5428768339486988,,480,35,43,100,5.0,0.25,10,tt_cumsum
abalone,4,4,,2.162157628316044,0.5340402162936171,,480,35,44,100,5.0,0.25,10,tt_cumsum
abalone,4,4,,2.1789667905029164,0.5267670748891946,,480,35,45,100,5.0,0.25,10,tt_cumsum
abalone,4,4,,2.1686670960522987,0.5312303230713062,,480,36,46,100,5.0,0.25,10,tt_cumsum
abalone,4,8,,2.1522524127589913,0.5382997207761143,,1728,32,42,100,5.0,0.25,10,tt_cumsum
abalone,4,8,,2.197711093172919,0.5185901952853911,,1728,31,43,100,5.0,0.25,10,tt_cumsum
abalone,4,8,,2.1538142383633154,0.5376293933070326,,1728,32,44,100,5.0,0.25,10,tt_cumsum
abalone,4,8,,2.1618168372428737,0.5341870903404828,,1728,32,45,100,5.0,0.25,10,tt_cumsum
abalone,4,8,,2.1499652436655516,0.5392804844742569,,1728,32,46,100,5.0,0.25,10,tt_cumsum
abalone,4,12,,2.177753020641908,0.5272941466038632,,3744,29,42,100,5.0,0.25,10,tt_cumsum
abalone,4,12,,2.1642384312516567,0.5331429301591368,,3744,32,43,100,5.0,0.25,10,tt_cumsum
abalone,4,12,,2.1807251041385043,0.5260030176890109,,3744,29,44,100,5.0,0.25,10,tt_cumsum
abalone,4,12,,2.1610003471445483,0.53453888684674,,3744,29,45,100,5.0,0.25,10,tt_cumsum
abalone,4,12,,2.1647720032557287,0.5329127036133021,,3744,31,46,100,5.0,0.25,10,tt_cumsum
abalone,4,16,,2.1644003602074573,0.5330730667791541,,6528,29,42,100,5.0,0.25,10,tt_cumsum
abalone,4,16,,2.1676312758479153,0.5316780129396159,,6528,25,43,100,5.0,0.25,10,tt_cumsum
abalone,4,16,,2.1728638404239837,0.5294142674440296,,6528,25,44,100,5.0,0.25,10,tt_cumsum
abalone,4,16,,2.1736202863077994,0.5290865574451931,,6528,27,45,100,5.0,0.25,10,tt_cumsum
abalone,4,16,,2.1570617694387804,0.5362340130382924,,6528,29,46,100,5.0,0.25,10,tt_cumsum
abalone,5,4,,10.242015410021695,-9.455494559259325,,672,11,42,100,5.0,0.25,10,tt_cumsum
abalone,5,4,,10.242123363270473,-9.45571496715923,,672,11,43,100,5.0,0.25,10,tt_cumsum
abalone,5,4,,2.189622655705329,0.5221272276657165,,672,39,44,100,5.0,0.25,10,tt_cumsum
abalone,5,4,,10.241857565488667,-9.455172292620754,,672,11,45,100,5.0,0.25,10,tt_cumsum
abalone,5,4,,10.242121956396817,-9.455712094733578,,672,11,46,100,5.0,0.25,10,tt_cumsum
abalone,5,8,,10.242106652070133,-9.455680847787924,,2496,11,42,100,5.0,0.25,10,tt_cumsum
abalone,5,8,,10.242109481188587,-9.455686624014387,,2496,11,43,100,5.0,0.25,10,tt_cumsum
abalone,5,8,,10.242077365766322,-9.455621053876682,,2496,11,44,100,5.0,0.25,10,tt_cumsum
abalone,5,8,,10.242105920574787,-9.455679354290181,,2496,11,45,100,5.0,0.25,10,tt_cumsum
abalone,5,8,,2.1522491425570167,0.538301123819743,,2496,37,46,100,5.0,0.25,10,tt_cumsum
abalone,5,12,,2.1505120140512832,0.539046118062948,,5472,38,42,100,5.0,0.25,10,tt_cumsum
abalone,5,12,,2.2047166273054106,0.5155161715371938,,5472,36,43,100,5.0,0.25,10,tt_cumsum
