dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,2,4,,2.1714997592388445,0.530004930918065,,100,25,42,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,4,,2.16727697503807,0.5318310955240051,,100,25,43,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,4,,2.1842283441984627,0.5244788833592346,,100,27,44,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,4,,2.185674734334581,0.5238488972311972,,100,27,45,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,4,,2.1791920825689797,0.5266692109514794,,100,25,46,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,8,,2.1792030006184575,0.5266644680360095,,188,22,42,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,8,,2.1721463018951126,0.5297250164520098,,188,21,43,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,8,,2.1773219659211716,0.5274812586609379,,188,22,44,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,8,,2.179697919513431,0.526449445112426,,188,22,45,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,8,,2.17876451933597,0.5268549302283032,,188,22,46,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,12,,2.16762901461095,0.5316789900305521,,276,21,42,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,12,,2.1701163749768044,0.5306035740214847,,276,21,43,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,12,,2.1699539598447712,0.5306738322164137,,276,21,44,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,12,,2.166177811696353,0.5323058512768108,,276,21,45,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,12,,2.171914691816633,0.5298252994014653,,276,21,46,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,16,,2.166748423589762,0.5320594199895691,,364,21,42,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,16,,2.1656589738475356,0.5325298664655438,,364,21,43,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,16,,2.165383634844075,0.5326487259721278,,364,21,44,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,16,,2.1647680540666827,0.5329144078245069,,364,21,45,100,5.0,0.25,10,tt_cumsum_type1
abalone,2,16,,2.1717613275927596,0.5298916974349177,,364,21,46,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,4,,2.1434200927704254,0.5420813564782392,,364,47,42,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,4,,2.163087016443814,0.5336395511814453,,364,56,43,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,4,,2.172778608661837,0.5294511846809359,,364,45,44,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,4,,2.1691688018158755,0.5310134048976862,,364,46,45,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,4,,2.149067244858288,0.5396652713205254,,364,54,46,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,8,,2.171149832794994,0.53015639347402,,1068,46,42,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,8,,2.1888052343616615,0.5224839562460017,,1068,50,43,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,8,,2.173496609826184,0.5291401447816446,,1068,46,44,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,8,,2.184692261709557,0.5242768660190165,,1068,53,45,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,8,,2.2023278985132686,0.5165654433664686,,1068,37,46,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.1716412776908074,0.529943668979926,,2124,36,42,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.1691224001097007,0.5310334693070667,,2124,46,43,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.1585702564304565,0.5355851400324129,,2124,46,44,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.1785585905062823,0.5269443658741142,,2124,36,45,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,12,,2.1579651997181357,0.5358454585882682,,2124,46,46,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.1474780783424388,0.5403458252308535,,3532,37,42,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.1647572703161506,0.5329190613687498,,3532,46,43,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.1605481592237727,0.5347336613383449,,3532,46,44,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.179111172342099,0.5267043584640612,,3532,46,45,100,5.0,0.25,10,tt_cumsum_type1
abalone,3,16,,2.1779274943148694,0.5272184006129463,,3532,36,46,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,4,,7.210938446178462,-4.182714758854917,,804,14,42,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,4,,7.340494387157586,-4.370619103814122,,804,12,43,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,4,,7.130888838037138,-4.0682854094138206,,804,12,44,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,4,,7.230267343900684,-4.210536498061524,,804,13,45,100,5.0,0.25,10,tt_cumsum_type1
abalone,4,4,,2.2123132832217745,0.5121717075296195,,804,51,46,100,5.0,0.25,10,tt_cumsum_type1
