dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
abalone,2,4,0.25,2.1824007901964655,0.5252742919134168,,100,25,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.25,2.184845934430454,0.5242099382957626,,100,25,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.25,2.1835857983786586,0.5247586152515414,,100,25,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.25,2.1785074761420757,0.5269665637203577,,100,26,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.25,2.1902698492811545,0.5218446932350713,,100,25,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.5,2.1673365589179903,0.5318053528952924,,100,25,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.5,2.176091707773726,0.5280150849007231,,100,25,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.5,2.1863482871574207,0.5235553839001437,,100,25,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.5,2.172363786660824,0.5296308397708445,,100,24,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.5,2.177069438519491,0.5275908584465689,,100,25,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.75,2.175603828721879,0.5282266989045252,,100,25,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.75,2.1752864773673566,0.5283643222848627,,100,23,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.75,2.1804429924445827,0.5261256479480222,,100,25,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.75,2.1629868787108126,0.5336827294694959,,100,25,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,4,0.75,2.184985952601947,0.5241489533191221,,100,26,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.25,2.1769764168421144,0.5276312277165182,,188,22,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.25,2.1764123138859865,0.5278759984869452,,188,21,43,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.25,2.1694893795747916,0.5308747731957799,,188,21,44,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.25,2.174818757027504,0.5285671184556102,,188,22,45,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.25,2.1753664473163212,0.5283296442093472,,188,22,46,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.5,2.170076239645752,0.5306209364145396,,188,22,42,100,5.0,0.25,10,tt_lin_type1
abalone,2,8,0.5,2.1778230386744037,0.5272637497080128,,188,22,43,100,5.0,0.25,10,tt_lin_type1
