dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
adult,2,4,,,,0.5631995631995632,768,21,42,100,5.0,0.25,10,tt_cumsum
adult,2,4,,,,0.5483210483210483,768,7,43,100,5.0,0.25,10,tt_cumsum
adult,2,4,,,,0.542997542997543,768,7,44,100,5.0,0.25,10,tt_cumsum
adult,2,4,,,,0.562926562926563,768,19,45,100,5.0,0.25,10,tt_cumsum
adult,2,4,,,,0.5638820638820639,768,19,46,100,5.0,0.25,10,tt_cumsum
adult,2,8,,,,0.5634725634725635,1536,17,42,100,5.0,0.25,10,tt_cumsum
adult,2,8,,,,0.562926562926563,1536,17,43,100,5.0,0.25,10,tt_cumsum
adult,2,8,,,,0.5633360633360633,1536,17,44,100,5.0,0.25,10,tt_cumsum
adult,2,8,,,,0.5631995631995632,1536,17,45,100,5.0,0.25,10,tt_cumsum
adult,2,8,,,,0.5626535626535627,1536,17,46,100,5.0,0.25,10,tt_cumsum
adult,2,12,,,,0.5634725634725635,2304,17,42,100,5.0,0.25,10,tt_cumsum
adult,2,12,,,,0.5623805623805623,2304,16,43,100,5.0,0.25,10,tt_cumsum
adult,2,12,,,,0.5637455637455637,2304,17,44,100,5.0,0.25,10,tt_cumsum
adult,2,12,,,,0.5631995631995632,2304,17,45,100,5.0,0.25,10,tt_cumsum
adult,2,12,,,,0.5627900627900628,2304,17,46,100,5.0,0.25,10,tt_cumsum
adult,2,16,,,,0.5630630630630631,3072,16,42,100,5.0,0.25,10,tt_cumsum
adult,2,16,,,,0.5630630630630631,3072,16,43,100,5.0,0.25,10,tt_cumsum
adult,2,16,,,,0.555965055965056,3072,8,44,100,5.0,0.25,10,tt_cumsum
adult,2,16,,,,0.5630630630630631,3072,16,45,100,5.0,0.25,10,tt_cumsum
adult,2,16,,,,0.5634725634725635,3072,16,46,100,5.0,0.25,10,tt_cumsum
adult,3,4,,,,0.527982527982528,1536,8,42,100,5.0,0.25,10,tt_cumsum
adult,3,4,,,,0.5621075621075621,1536,23,43,100,5.0,0.25,10,tt_cumsum
adult,3,4,,,,0.5614250614250614,1536,19,44,100,5.0,0.25,10,tt_cumsum
adult,3,4,,,,0.5622440622440622,1536,20,45,100,5.0,0.25,10,tt_cumsum
adult,3,4,,,,0.5627900627900628,1536,22,46,100,5.0,0.25,10,tt_cumsum
adult,4,4,,,,0.5616980616980617,2304,29,42,100,5.0,0.25,10,tt_cumsum
adult,4,4,,,,0.5621075621075621,2304,28,43,100,5.0,0.25,10,tt_cumsum
adult,4,4,,,,0.5603330603330603,2304,30,44,100,5.0,0.25,10,tt_cumsum
adult,4,4,,,,0.5622440622440622,2304,26,45,100,5.0,0.25,10,tt_cumsum
adult,4,4,,,,0.5621075621075621,2304,25,46,100,5.0,0.25,10,tt_cumsum
adult,5,4,,,,0.4013104013104013,3072,12,42,100,5.0,0.25,10,tt_cumsum
adult,5,4,,,,0.3052143052143052,3072,5,43,100,5.0,0.25,10,tt_cumsum
adult,5,4,,,,0.36855036855036855,3072,11,44,100,5.0,0.25,10,tt_cumsum
adult,5,4,,,,0.37305487305487306,3072,6,45,100,5.0,0.25,10,tt_cumsum
adult,5,4,,,,0.3822003822003822,3072,11,46,100,5.0,0.25,10,tt_cumsum
adult,6,4,,,,0.39298389298389297,3840,15,42,100,5.0,0.25,10,tt_cumsum
adult,6,4,,,,0.3174993174993175,3840,5,43,100,5.0,0.25,10,tt_cumsum
adult,6,4,,,,0.4135954135954136,3840,15,44,100,5.0,0.25,10,tt_cumsum
adult,6,4,,,,0.33988533988533987,3840,11,45,100,5.0,0.25,10,tt_cumsum
adult,6,4,,,,0.5485940485940486,3840,29,46,100,5.0,0.25,10,tt_cumsum
