dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
adult,2,4,,,,0.5644280644280645,896,36,42,100,5.0,0.25,10,tt_cumsum_type1
adult,2,4,,,,0.5636090636090636,896,22,43,100,5.0,0.25,10,tt_cumsum_type1
adult,2,4,,,,0.5637455637455637,896,23,44,100,5.0,0.25,10,tt_cumsum_type1
adult,2,4,,,,0.5637455637455637,896,32,45,100,5.0,0.25,10,tt_cumsum_type1
adult,2,4,,,,0.5645645645645646,896,23,46,100,5.0,0.25,10,tt_cumsum_type1
adult,2,8,,,,0.564018564018564,1648,22,42,100,5.0,0.25,10,tt_cumsum_type1
adult,2,8,,,,0.5634725634725635,1648,24,43,100,5.0,0.25,10,tt_cumsum_type1
adult,2,8,,,,0.5634725634725635,1648,22,44,100,5.0,0.25,10,tt_cumsum_type1
adult,2,8,,,,0.564018564018564,1648,22,45,100,5.0,0.25,10,tt_cumsum_type1
adult,2,8,,,,0.5644280644280645,1648,23,46,100,5.0,0.25,10,tt_cumsum_type1
adult,2,12,,,,0.564018564018564,2400,20,42,100,5.0,0.25,10,tt_cumsum_type1
adult,2,12,,,,0.5641550641550641,2400,20,43,100,5.0,0.25,10,tt_cumsum_type1
adult,2,12,,,,0.564018564018564,2400,20,44,100,5.0,0.25,10,tt_cumsum_type1
adult,2,12,,,,0.5638820638820639,2400,20,45,100,5.0,0.25,10,tt_cumsum_type1
adult,2,12,,,,0.564018564018564,2400,20,46,100,5.0,0.25,10,tt_cumsum_type1
adult,2,16,,,,0.564018564018564,3152,20,42,100,5.0,0.25,10,tt_cumsum_type1
adult,2,16,,,,0.564018564018564,3152,19,43,100,5.0,0.25,10,tt_cumsum_type1
adult,2,16,,,,0.5634725634725635,3152,18,44,100,5.0,0.25,10,tt_cumsum_type1
adult,2,16,,,,0.5637455637455637,3152,18,45,100,5.0,0.25,10,tt_cumsum_type1
adult,2,16,,,,0.564018564018564,3152,20,46,100,5.0,0.25,10,tt_cumsum_type1
adult,3,4,,,,0.5626535626535627,2400,32,42,100,5.0,0.25,10,tt_cumsum_type1
adult,3,4,,,,0.5630630630630631,2400,27,43,100,5.0,0.25,10,tt_cumsum_type1
adult,3,4,,,,0.5633360633360633,2400,31,44,100,5.0,0.25,10,tt_cumsum_type1
adult,3,4,,,,0.5623805623805623,2400,29,45,100,5.0,0.25,10,tt_cumsum_type1
adult,3,4,,,,0.5604695604695604,2400,23,46,100,5.0,0.25,10,tt_cumsum_type1
adult,4,4,,,,0.5454545454545454,4656,10,42,100,5.0,0.25,10,tt_cumsum_type1
adult,4,4,,,,0.5466830466830467,4656,15,43,100,5.0,0.25,10,tt_cumsum_type1
adult,4,4,,,,0.5601965601965602,4656,31,44,100,5.0,0.25,10,tt_cumsum_type1
adult,4,4,,,,0.5623805623805623,4656,44,45,100,5.0,0.25,10,tt_cumsum_type1
adult,4,4,,,,0.5616980616980617,4656,45,46,100,5.0,0.25,10,tt_cumsum_type1
adult,5,4,,,,0.5611520611520612,7664,50,42,100,5.0,0.25,10,tt_cumsum_type1
adult,5,4,,,,0.5476385476385477,7664,13,43,100,5.0,0.25,10,tt_cumsum_type1
adult,5,4,,,,0.5481845481845482,7664,13,44,100,5.0,0.25,10,tt_cumsum_type1
adult,5,4,,,,0.5623805623805623,7664,38,45,100,5.0,0.25,10,tt_cumsum_type1
adult,5,4,,,,0.5461370461370462,7664,16,46,100,5.0,0.25,10,tt_cumsum_type1
adult,6,4,,,,0.5473655473655473,11424,16,42,100,5.0,0.25,10,tt_cumsum_type1
adult,6,4,,,,0.5470925470925471,11424,19,43,100,5.0,0.25,10,tt_cumsum_type1
adult,6,4,,,,0.5484575484575485,11424,13,44,100,5.0,0.25,10,tt_cumsum_type1
adult,6,4,,,,0.5491400491400491,11424,9,45,100,5.0,0.25,10,tt_cumsum_type1
adult,6,4,,,,0.5485940485940486,11424,25,46,100,5.0,0.25,10,tt_cumsum_type1
