dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
adult,2,4,,,,0.564018564018564,896,30,42,100,5.0,0.25,10,tt_type1
adult,2,4,,,,0.5638820638820639,896,24,43,100,5.0,0.25,10,tt_type1
adult,2,4,,,,0.5648375648375649,896,29,44,100,5.0,0.25,10,tt_type1
adult,2,4,,,,0.5636090636090636,896,22,45,100,5.0,0.25,10,tt_type1
adult,2,4,,,,0.5645645645645646,896,24,46,100,5.0,0.25,10,tt_type1
adult,2,8,,,,0.5634725634725635,1648,26,42,100,5.0,0.25,10,tt_type1
adult,2,8,,,,0.5637455637455637,1648,22,43,100,5.0,0.25,10,tt_type1
adult,2,8,,,,0.5634725634725635,1648,21,44,100,5.0,0.25,10,tt_type1
adult,2,8,,,,0.564018564018564,1648,24,45,100,5.0,0.25,10,tt_type1
adult,2,8,,,,0.5638820638820639,1648,22,46,100,5.0,0.25,10,tt_type1
adult,2,12,,,,0.5636090636090636,2400,20,42,100,5.0,0.25,10,tt_type1
adult,2,12,,,,0.5634725634725635,2400,20,43,100,5.0,0.25,10,tt_type1
adult,2,12,,,,0.564018564018564,2400,20,44,100,5.0,0.25,10,tt_type1
adult,2,12,,,,0.5641550641550641,2400,20,45,100,5.0,0.25,10,tt_type1
adult,2,12,,,,0.564018564018564,2400,20,46,100,5.0,0.25,10,tt_type1
adult,2,16,,,,0.5636090636090636,3152,20,42,100,5.0,0.25,10,tt_type1
adult,2,16,,,,0.5637455637455637,3152,18,43,100,5.0,0.25,10,tt_type1
adult,2,16,,,,0.5634725634725635,3152,18,44,100,5.0,0.25,10,tt_type1
adult,2,16,,,,0.5634725634725635,3152,20,45,100,5.0,0.25,10,tt_type1
adult,2,16,,,,0.5637455637455637,3152,20,46,100,5.0,0.25,10,tt_type1
adult,3,4,,,,0.5621075621075621,2400,27,42,100,5.0,0.25,10,tt_type1
adult,3,4,,,,0.562926562926563,2400,32,43,100,5.0,0.25,10,tt_type1
adult,3,4,,,,0.5625170625170626,2400,30,44,100,5.0,0.25,10,tt_type1
adult,3,4,,,,0.5634725634725635,2400,32,45,100,5.0,0.25,10,tt_type1
adult,3,4,,,,0.5446355446355446,2400,11,46,100,5.0,0.25,10,tt_type1
adult,3,8,,,,0.5618345618345618,6160,19,42,100,5.0,0.25,10,tt_type1
adult,3,8,,,,0.5627900627900628,6160,25,43,100,5.0,0.25,10,tt_type1
adult,3,8,,,,0.561971061971062,6160,23,44,100,5.0,0.25,10,tt_type1
adult,3,8,,,,0.5625170625170626,6160,26,45,100,5.0,0.25,10,tt_type1
adult,3,8,,,,0.5627900627900628,6160,24,46,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.5627900627900628,11424,24,42,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.5626535626535627,11424,24,43,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.5627900627900628,11424,20,44,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.5626535626535627,11424,24,45,100,5.0,0.25,10,tt_type1
adult,3,12,,,,0.5625170625170626,11424,24,46,100,5.0,0.25,10,tt_type1
adult,4,4,,,,0.5612885612885613,4656,31,42,100,5.0,0.25,10,tt_type1
adult,4,4,,,,0.561971061971062,4656,50,43,100,5.0,0.25,10,tt_type1
adult,4,4,,,,0.561971061971062,4656,33,44,100,5.0,0.25,10,tt_type1
adult,4,4,,,,0.5604695604695604,4656,28,45,100,5.0,0.25,10,tt_type1
adult,4,4,,,,0.5608790608790609,4656,35,46,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.5480480480480481,13680,13,42,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.5616980616980617,13680,27,43,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.5618345618345618,13680,27,44,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.5626535626535627,13680,35,45,100,5.0,0.25,10,tt_type1
adult,4,8,,,,0.5622440622440622,13680,29,46,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.5622440622440622,27216,35,42,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.5626535626535627,27216,27,43,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.5513240513240514,27216,13,44,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.562926562926563,27216,27,45,100,5.0,0.25,10,tt_type1
adult,4,12,,,,0.5618345618345618,27216,27,46,100,5.0,0.25,10,tt_type1
adult,5,4,,,,0.547911547911548,7664,16,42,100,5.0,0.25,10,tt_type1
adult,5,4,,,,0.5597870597870598,7664,38,43,100,5.0,0.25,10,tt_type1
adult,5,4,,,,0.5470925470925471,7664,21,44,100,5.0,0.25,10,tt_type1
adult,5,4,,,,0.5611520611520612,7664,44,45,100,5.0,0.25,10,tt_type1
adult,5,4,,,,0.5469560469560469,7664,13,46,100,5.0,0.25,10,tt_type1
adult,5,8,,,,0.5472290472290472,24208,19,42,100,5.0,0.25,10,tt_type1
adult,5,8,,,,0.5495495495495496,24208,15,43,100,5.0,0.25,10,tt_type1
adult,5,8,,,,0.5476385476385477,24208,16,44,100,5.0,0.25,10,tt_type1
adult,5,8,,,,0.549003549003549,24208,13,45,100,5.0,0.25,10,tt_type1
adult,5,8,,,,0.5500955500955501,24208,10,46,100,5.0,0.25,10,tt_type1
adult,5,12,,,,0.5505050505050505,49776,15,42,100,5.0,0.25,10,tt_type1
adult,5,12,,,,0.5505050505050505,49776,17,43,100,5.0,0.25,10,tt_type1
adult,5,12,,,,0.5517335517335518,49776,15,44,100,5.0,0.25,10,tt_type1
adult,5,12,,,,0.5495495495495496,49776,13,45,100,5.0,0.25,10,tt_type1
adult,5,12,,,,0.5506415506415506,49776,10,46,100,5.0,0.25,10,tt_type1
adult,6,4,,,,0.5444990444990445,11424,13,42,100,5.0,0.25,10,tt_type1
adult,6,4,,,,0.5443625443625444,11424,32,43,100,5.0,0.25,10,tt_type1
adult,6,4,,,,0.5476385476385477,11424,13,44,100,5.0,0.25,10,tt_type1
adult,6,4,,,,0.5485940485940486,11424,13,45,100,5.0,0.25,10,tt_type1
adult,6,4,,,,0.5488670488670488,11424,18,46,100,5.0,0.25,10,tt_type1
adult,6,8,,,,0.5480480480480481,37744,15,42,100,5.0,0.25,10,tt_type1
adult,6,8,,,,0.5509145509145509,37744,16,43,100,5.0,0.25,10,tt_type1
adult,6,8,,,,0.5477750477750478,37744,27,44,100,5.0,0.25,10,tt_type1
adult,6,8,,,,0.5509145509145509,37744,15,45,100,5.0,0.25,10,tt_type1
adult,6,8,,,,0.5500955500955501,37744,15,46,100,5.0,0.25,10,tt_type1
adult,6,12,,,,0.5498225498225499,79104,13,42,100,5.0,0.25,10,tt_type1
adult,6,12,,,,0.5494130494130494,79104,17,43,100,5.0,0.25,10,tt_type1
adult,6,12,,,,0.5498225498225499,79104,17,44,100,5.0,0.25,10,tt_type1
adult,6,12,,,,0.5507780507780508,79104,27,45,100,5.0,0.25,10,tt_type1
adult,6,12,,,,0.5514605514605515,79104,21,46,100,5.0,0.25,10,tt_type1
