dataset,n_estimators,max_depth,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,learning_rate
adult,50,3,,,0.5641550641550641,,42,xgboost,0.1
adult,50,3,,,0.5641550641550641,,43,xgboost,0.1
adult,50,3,,,0.5641550641550641,,44,xgboost,0.1
adult,50,3,,,0.5641550641550641,,45,xgboost,0.1
adult,50,3,,,0.5641550641550641,,46,xgboost,0.1
adult,50,6,,,0.5662025662025661,,42,xgboost,0.1
adult,50,6,,,0.5662025662025661,,43,xgboost,0.1
adult,50,6,,,0.5662025662025661,,44,xgboost,0.1
adult,50,6,,,0.5662025662025661,,45,xgboost,0.1
adult,50,6,,,0.5662025662025661,,46,xgboost,0.1
adult,50,9,,,0.5657930657930658,,42,xgboost,0.1
adult,50,9,,,0.5657930657930658,,43,xgboost,0.1
adult,50,9,,,0.5657930657930658,,44,xgboost,0.1
adult,50,9,,,0.5657930657930658,,45,xgboost,0.1
adult,50,9,,,0.5657930657930658,,46,xgboost,0.1
adult,100,3,,,0.5645645645645646,,42,xgboost,0.1
adult,100,3,,,0.5645645645645646,,43,xgboost,0.1
adult,100,3,,,0.5645645645645646,,44,xgboost,0.1
adult,100,3,,,0.5645645645645646,,45,xgboost,0.1
adult,100,3,,,0.5645645645645646,,46,xgboost,0.1
adult,100,6,,,0.5687960687960688,,42,xgboost,0.1
adult,100,6,,,0.5687960687960688,,43,xgboost,0.1
adult,100,6,,,0.5687960687960688,,44,xgboost,0.1
adult,100,6,,,0.5687960687960688,,45,xgboost,0.1
adult,100,6,,,0.5687960687960688,,46,xgboost,0.1
adult,100,9,,,0.5642915642915642,,42,xgboost,0.1
adult,100,9,,,0.5642915642915642,,43,xgboost,0.1
adult,100,9,,,0.5642915642915642,,44,xgboost,0.1
adult,100,9,,,0.5642915642915642,,45,xgboost,0.1
adult,100,9,,,0.5642915642915642,,46,xgboost,0.1
adult,200,3,,,0.5692055692055692,,42,xgboost,0.1
adult,200,3,,,0.5692055692055692,,43,xgboost,0.1
adult,200,3,,,0.5692055692055692,,44,xgboost,0.1
adult,200,3,,,0.5692055692055692,,45,xgboost,0.1
adult,200,3,,,0.5692055692055692,,46,xgboost,0.1
adult,200,6,,,0.5659295659295659,,42,xgboost,0.1
adult,200,6,,,0.5659295659295659,,43,xgboost,0.1
adult,200,6,,,0.5659295659295659,,44,xgboost,0.1
adult,200,6,,,0.5659295659295659,,45,xgboost,0.1
adult,200,6,,,0.5659295659295659,,46,xgboost,0.1
adult,200,9,,,0.5612885612885613,,42,xgboost,0.1
adult,200,9,,,0.5612885612885613,,43,xgboost,0.1
adult,200,9,,,0.5612885612885613,,44,xgboost,0.1
adult,200,9,,,0.5612885612885613,,45,xgboost,0.1
adult,200,9,,,0.5612885612885613,,46,xgboost,0.1
adult,500,3,,,0.5697515697515697,,42,xgboost,0.1
adult,500,3,,,0.5697515697515697,,43,xgboost,0.1
adult,500,3,,,0.5697515697515697,,44,xgboost,0.1
adult,500,3,,,0.5697515697515697,,45,xgboost,0.1
adult,500,3,,,0.5697515697515697,,46,xgboost,0.1
adult,500,6,,,0.555009555009555,,42,xgboost,0.1
adult,500,6,,,0.555009555009555,,43,xgboost,0.1
adult,500,6,,,0.555009555009555,,44,xgboost,0.1
adult,500,6,,,0.555009555009555,,45,xgboost,0.1
adult,500,6,,,0.555009555009555,,46,xgboost,0.1
adult,500,9,,,0.5413595413595413,,42,xgboost,0.1
adult,500,9,,,0.5413595413595413,,43,xgboost,0.1
adult,500,9,,,0.5413595413595413,,44,xgboost,0.1
adult,500,9,,,0.5413595413595413,,45,xgboost,0.1
adult,500,9,,,0.5413595413595413,,46,xgboost,0.1
