dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
ai4i,2,4,,0.14818800080182165,0.31849257850080603,,80,19,42,100,5.0,0.25,10,cpd
ai4i,2,4,,0.14823540035707206,0.31805653354761043,,80,19,43,100,5.0,0.25,10,cpd
ai4i,2,4,,0.1481968573812509,0.3184111143478985,,80,19,44,100,5.0,0.25,10,cpd
ai4i,2,4,,0.14819622054402626,0.31841697223516197,,80,20,45,100,5.0,0.25,10,cpd
ai4i,2,4,,0.14817919512696875,0.3185735695990116,,80,20,46,100,5.0,0.25,10,cpd
ai4i,2,8,,0.14813227049760833,0.3190050825345191,,160,18,42,100,5.0,0.25,10,cpd
ai4i,2,8,,0.14817376064986984,0.3186235513581922,,160,18,43,100,5.0,0.25,10,cpd
ai4i,2,8,,0.1481211467472843,0.3191073550911212,,160,17,44,100,5.0,0.25,10,cpd
ai4i,2,8,,0.14818565506749728,0.3185141541032771,,160,18,45,100,5.0,0.25,10,cpd
ai4i,2,8,,0.148171554341524,0.31864384260741807,,160,19,46,100,5.0,0.25,10,cpd
ai4i,2,12,,0.1481647150241328,0.31870674136675026,,240,17,42,100,5.0,0.25,10,cpd
ai4i,2,12,,0.14817639531993382,0.3185993201031595,,240,18,43,100,5.0,0.25,10,cpd
ai4i,2,12,,0.14818423574184691,0.31852720861531925,,240,17,44,100,5.0,0.25,10,cpd
ai4i,2,12,,0.1481352074869023,0.31897807836314374,,240,17,45,100,5.0,0.25,10,cpd
ai4i,2,12,,0.14809287431800724,0.31936725926233833,,240,17,46,100,5.0,0.25,10,cpd
ai4i,2,16,,0.14814775979169942,0.31886266006313213,,320,17,42,100,5.0,0.25,10,cpd
ai4i,2,16,,0.14815325160664142,0.31881215981176825,,320,17,43,100,5.0,0.25,10,cpd
ai4i,2,16,,0.14816459301590174,0.3187078634065166,,320,18,44,100,5.0,0.25,10,cpd
ai4i,2,16,,0.14815605085527786,0.3187864184645339,,320,17,45,100,5.0,0.25,10,cpd
ai4i,2,16,,0.14808795879188277,0.31941244188856066,,320,17,46,100,5.0,0.25,10,cpd
ai4i,2,64,,0.14816118889113872,0.31873916881820274,,1280,17,42,100,5.0,0.25,10,cpd
ai4i,2,64,,0.14814115272728254,0.31892341316443973,,1280,16,43,100,5.0,0.25,10,cpd
ai4i,2,64,,0.14813431291752863,0.31898630354505286,,1280,16,44,100,5.0,0.25,10,cpd
ai4i,2,64,,0.14815042355255828,0.3188381655544078,,1280,16,45,100,5.0,0.25,10,cpd
ai4i,2,64,,0.1481448970618329,0.31888898369258734,,1280,17,46,100,5.0,0.25,10,cpd
ai4i,2,144,,0.14803862645799426,0.3198658127168066,,2880,15,42,100,5.0,0.25,10,cpd
ai4i,2,144,,0.14802809953441362,0.3199625370140261,,2880,15,43,100,5.0,0.25,10,cpd
ai4i,2,144,,0.14803773789360422,0.3198739773589683,,2880,15,44,100,5.0,0.25,10,cpd
ai4i,2,144,,0.14805556356489707,0.3197101754390568,,2880,15,45,100,5.0,0.25,10,cpd
ai4i,2,144,,0.14806750524701862,0.3196004310666104,,2880,15,46,100,5.0,0.25,10,cpd
ai4i,2,256,,0.1478234210598208,0.32184181267427003,,5120,14,42,100,5.0,0.25,10,cpd
ai4i,2,256,,0.14781021354833676,0.321962989438468,,5120,14,43,100,5.0,0.25,10,cpd
ai4i,2,256,,0.1478191029735597,0.32188143160285976,,5120,14,44,100,5.0,0.25,10,cpd
ai4i,2,256,,0.1478079970220169,0.3219833246450169,,5120,14,45,100,5.0,0.25,10,cpd
ai4i,2,256,,0.14780389420157947,0.3220209645849471,,5120,14,46,100,5.0,0.25,10,cpd
ai4i,3,4,,0.14691347198472945,0.33016512325699643,,120,21,42,100,5.0,0.25,10,cpd
ai4i,3,4,,0.1438299122765108,0.3579883000371755,,120,34,43,100,5.0,0.25,10,cpd
ai4i,3,4,,0.14891547575936304,0.31178493004918273,,120,19,44,100,5.0,0.25,10,cpd
ai4i,3,4,,0.14477672012298512,0.34950797170302583,,120,29,45,100,5.0,0.25,10,cpd
ai4i,3,4,,0.1487185466457964,0.31360394811054704,,120,19,46,100,5.0,0.25,10,cpd
ai4i,3,8,,0.14443113004607247,0.35260978642251906,,240,36,42,100,5.0,0.25,10,cpd
ai4i,3,8,,0.14481284542599668,0.34918330412633614,,240,29,43,100,5.0,0.25,10,cpd
ai4i,3,8,,0.14669265711939486,0.3321771693974649,,240,22,44,100,5.0,0.25,10,cpd
ai4i,3,8,,0.1474352100429713,0.3253990674353944,,240,21,45,100,5.0,0.25,10,cpd
ai4i,3,8,,0.14333372681146803,0.3624102925000656,,240,31,46,100,5.0,0.25,10,cpd
ai4i,3,12,,0.14514959095425883,0.34615298693897256,,360,24,42,100,5.0,0.25,10,cpd
ai4i,3,12,,0.14390678326352252,0.35730186060934466,,360,34,43,100,5.0,0.25,10,cpd
ai4i,3,12,,0.14373856619355993,0.3588035217157802,,360,30,44,100,5.0,0.25,10,cpd
ai4i,3,12,,0.14348983489255485,0.3610207087674693,,360,22,45,100,5.0,0.25,10,cpd
ai4i,3,12,,0.14342112442143864,0.36163251595590307,,360,26,46,100,5.0,0.25,10,cpd
ai4i,3,16,,0.14720270996949128,0.32752503309910497,,480,22,42,100,5.0,0.25,10,cpd
ai4i,3,16,,0.14776106911738485,0.32241378648133356,,480,17,43,100,5.0,0.25,10,cpd
ai4i,3,16,,0.1438982404021921,0.35737816442198744,,480,24,44,100,5.0,0.25,10,cpd
