dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
ai4i,1,4,,0.16250657529040624,0.18042936857397118,,200,33,42,100,5.0,0.25,10,tnml_polynomial
ai4i,1,4,,0.16192984932917834,0.1862362588485047,,200,39,43,100,5.0,0.25,10,tnml_polynomial
ai4i,1,4,,0.1626794221559966,0.17868500159627343,,200,41,44,100,5.0,0.25,10,tnml_polynomial
ai4i,1,4,,0.1626578292121545,0.17890301849622814,,200,40,45,100,5.0,0.25,10,tnml_polynomial
ai4i,1,4,,0.1627317308316386,0.17815673801673093,,200,41,46,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.16237132228288992,0.18179304586535505,,552,31,42,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.16238658222788974,0.18163924555552824,,552,30,43,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.16238658222788974,0.18163924555552824,,552,30,44,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.16238658222788974,0.18163924555552824,,552,30,45,100,5.0,0.25,10,tnml_polynomial
ai4i,1,8,,0.16238658222788974,0.18163924555552824,,552,30,46,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.1623845733184245,0.18165949356461686,,840,30,42,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.1623845733184245,0.18165949356461686,,840,30,43,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.16238457331842449,0.18165949356461697,,840,30,44,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.16218218145553703,0.1836981384996872,,840,33,45,100,5.0,0.25,10,tnml_polynomial
ai4i,1,12,,0.1623845733184245,0.18165949356461686,,840,30,46,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.16225817177672472,0.18293300422439296,,1192,23,42,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.16225817177672475,0.18293300422439285,,1192,23,43,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.16225817177672475,0.18293300422439285,,1192,23,44,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.16225817177672475,0.18293300422439285,,1192,23,45,100,5.0,0.25,10,tnml_polynomial
ai4i,1,16,,0.16225817177672475,0.18293300422439285,,1192,23,46,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.14962160647079348,0.30524266859962423,,330,85,42,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.149684913007743,0.3046546253819987,,330,85,43,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.16652681055802768,0.1393772147873682,,330,46,44,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.1496339728321503,0.3051278192076059,,330,83,45,100,5.0,0.25,10,tnml_polynomial
ai4i,2,4,,0.14998261846538016,0.30188595663590956,,330,83,46,100,5.0,0.25,10,tnml_polynomial
ai4i,2,8,,0.14784150022313342,0.3216759217446866,,1122,75,42,100,5.0,0.25,10,tnml_polynomial
ai4i,2,8,,0.14800924986201594,0.32013571585362066,,1122,75,43,100,5.0,0.25,10,tnml_polynomial
ai4i,2,8,,0.14780873425585667,0.32197656103149586,,1122,75,44,100,5.0,0.25,10,tnml_polynomial
