dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
ai4i,,4,,0.178214589190592,0.014331178609161,,200,56,42,100,5.0,0.25,10,tnml_sin-cos
ai4i,,4,,0.17817844799807292,0.01473091731373144,,200,62,43,100,5.0,0.25,10,tnml_sin-cos
ai4i,,4,,0.1781103899928291,0.015483450998002968,,200,57,44,100,5.0,0.25,10,tnml_sin-cos
ai4i,,4,,0.17821127663434158,0.014367820424908584,,200,56,45,100,5.0,0.25,10,tnml_sin-cos
ai4i,,4,,0.1781927839928103,0.01457236412422347,,200,45,46,100,5.0,0.25,10,tnml_sin-cos
ai4i,,8,,0.17841456801185174,0.012117852725168632,,552,40,42,100,5.0,0.25,10,tnml_sin-cos
ai4i,,8,,0.17841456801185174,0.012117852725168632,,552,40,43,100,5.0,0.25,10,tnml_sin-cos
ai4i,,8,,0.17841456801185174,0.012117852725168632,,552,40,44,100,5.0,0.25,10,tnml_sin-cos
ai4i,,8,,0.17841456801185174,0.012117852725168632,,552,40,45,100,5.0,0.25,10,tnml_sin-cos
ai4i,,8,,0.17841456801185174,0.012117852725168632,,552,40,46,100,5.0,0.25,10,tnml_sin-cos
ai4i,,12,,0.17842532865292013,0.011998685709920243,,840,40,42,100,5.0,0.25,10,tnml_sin-cos
ai4i,,12,,0.17839836066889442,0.012297324813308586,,840,33,43,100,5.0,0.25,10,tnml_sin-cos
ai4i,,12,,0.17842532865292013,0.011998685709920243,,840,40,44,100,5.0,0.25,10,tnml_sin-cos
ai4i,,12,,0.17841979275528763,0.01205999302910965,,840,31,45,100,5.0,0.25,10,tnml_sin-cos
ai4i,,12,,0.17841953507956448,0.012062846613546618,,840,32,46,100,5.0,0.25,10,tnml_sin-cos
ai4i,,16,,0.17841447437044292,0.012118889710575953,,1192,31,42,100,5.0,0.25,10,tnml_sin-cos
ai4i,,16,,0.17841453853690226,0.012118179130958362,,1192,31,43,100,5.0,0.25,10,tnml_sin-cos
ai4i,,16,,0.17841453853690226,0.012118179130958362,,1192,31,44,100,5.0,0.25,10,tnml_sin-cos
ai4i,,16,,0.1784028358662315,0.012247770324062213,,1192,33,45,100,5.0,0.25,10,tnml_sin-cos
ai4i,,16,,0.17841453853690226,0.012118179130958362,,1192,31,46,100,5.0,0.25,10,tnml_sin-cos
