dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
ai4i,2,4,,0.14784551317217723,0.32163909694379345,,80,19,42,100,5.0,0.25,10,tt_cumsum
ai4i,2,4,,0.14787572336985969,0.3213618411743676,,80,19,43,100,5.0,0.25,10,tt_cumsum
ai4i,2,4,,0.14786343163694743,0.3214746560721101,,80,18,44,100,5.0,0.25,10,tt_cumsum
ai4i,2,4,,0.14793307543059275,0.3208353335959274,,80,18,45,100,5.0,0.25,10,tt_cumsum
ai4i,2,4,,0.1479345326473807,0.3208219532883084,,80,18,46,100,5.0,0.25,10,tt_cumsum
ai4i,2,8,,0.1479451303002236,0.32072464063465067,,160,17,42,100,5.0,0.25,10,tt_cumsum
ai4i,2,8,,0.14805164218935107,0.3197462110528525,,160,18,43,100,5.0,0.25,10,tt_cumsum
ai4i,2,8,,0.1479177691259084,0.32097586962527613,,160,17,44,100,5.0,0.25,10,tt_cumsum
ai4i,2,8,,0.1480321588815747,0.3199252394197999,,160,17,45,100,5.0,0.25,10,tt_cumsum
ai4i,2,8,,0.1478341979032544,0.3217429288714231,,160,17,46,100,5.0,0.25,10,tt_cumsum
ai4i,2,12,,0.1479615576670209,0.3205737830163434,,240,17,42,100,5.0,0.25,10,tt_cumsum
ai4i,2,12,,0.14797443980274166,0.3204554706399414,,240,17,43,100,5.0,0.25,10,tt_cumsum
ai4i,2,12,,0.1479189668304766,0.3209648733318593,,240,17,44,100,5.0,0.25,10,tt_cumsum
ai4i,2,12,,0.14799695684853262,0.32024864438676603,,240,17,45,100,5.0,0.25,10,tt_cumsum
ai4i,2,12,,0.14801597304669364,0.3200739500253934,,240,17,46,100,5.0,0.25,10,tt_cumsum
ai4i,2,16,,0.14773730105307778,0.32263175482058737,,320,17,42,100,5.0,0.25,10,tt_cumsum
ai4i,2,16,,0.14757340139438127,0.3241338648552944,,320,17,43,100,5.0,0.25,10,tt_cumsum
ai4i,2,16,,0.14763260502842046,0.32359146687138474,,320,17,44,100,5.0,0.25,10,tt_cumsum
ai4i,2,16,,0.14763163372233284,0.3236003673112916,,320,17,45,100,5.0,0.25,10,tt_cumsum
ai4i,2,16,,0.1478464433719091,0.3216305608292822,,320,17,46,100,5.0,0.25,10,tt_cumsum
ai4i,3,4,,0.14295879091270394,0.36574157554137965,,240,20,42,100,5.0,0.25,10,tt_cumsum
ai4i,3,4,,0.14396008875794805,0.3568256400111498,,240,23,43,100,5.0,0.25,10,tt_cumsum
ai4i,3,4,,0.142762064319746,0.36748598938097343,,240,24,44,100,5.0,0.25,10,tt_cumsum
ai4i,3,4,,0.14287869836807646,0.3664520619786138,,240,24,45,100,5.0,0.25,10,tt_cumsum
ai4i,3,4,,0.1430830184830916,0.36463878757208745,,240,22,46,100,5.0,0.25,10,tt_cumsum
ai4i,3,8,,0.14288229823820794,0.36642013672934526,,800,23,42,100,5.0,0.25,10,tt_cumsum
ai4i,3,8,,0.14271814950961526,0.3678750627757238,,800,25,43,100,5.0,0.25,10,tt_cumsum
ai4i,3,8,,0.14239779126392904,0.37070972892548426,,800,25,44,100,5.0,0.25,10,tt_cumsum
ai4i,3,8,,0.1428692756749276,0.3665356228037716,,800,25,45,100,5.0,0.25,10,tt_cumsum
ai4i,3,8,,0.14276648514045182,0.3674468154681736,,800,21,46,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.14245320293987793,0.3702198784466536,,1680,21,42,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.14109169322986684,0.38220071349573204,,1680,25,43,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.14108321631967013,0.38227494708991183,,1680,25,44,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.14160574674431986,0.37769073241673046,,1680,25,45,100,5.0,0.25,10,tt_cumsum
ai4i,3,12,,0.14149919305198358,0.3786269147956459,,1680,25,46,100,5.0,0.25,10,tt_cumsum
