dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
appliances,2,4,,81.01341652332843,0.23233353535790346,,244,57,42,100,5.0,0.25,10,cpd_type1
appliances,2,4,,81.33340941555932,0.2262571849960906,,244,55,43,100,5.0,0.25,10,cpd_type1
appliances,2,4,,81.33647425472638,0.22619887090396817,,244,57,44,100,5.0,0.25,10,cpd_type1
appliances,2,4,,81.10483038079789,0.23060012012862907,,244,57,45,100,5.0,0.25,10,cpd_type1
appliances,2,4,,81.38714157432696,0.2252345153427292,,244,57,46,100,5.0,0.25,10,cpd_type1
appliances,2,8,,80.63519455814345,0.23948471022063622,,460,55,42,100,5.0,0.25,10,cpd_type1
appliances,2,8,,80.607479578165,0.24000741110481905,,460,55,43,100,5.0,0.25,10,cpd_type1
appliances,2,8,,80.66949341624105,0.23883758947282951,,460,55,44,100,5.0,0.25,10,cpd_type1
appliances,2,8,,80.72564358821182,0.23777760327821518,,460,53,45,100,5.0,0.25,10,cpd_type1
appliances,2,8,,80.6584795417107,0.23904541958651937,,460,55,46,100,5.0,0.25,10,cpd_type1
appliances,2,12,,80.58687329907198,0.24039592635819407,,676,53,42,100,5.0,0.25,10,cpd_type1
appliances,2,12,,80.63369229853207,0.23951304724561495,,676,53,43,100,5.0,0.25,10,cpd_type1
appliances,2,12,,80.62423519888512,0.23969142377610775,,676,53,44,100,5.0,0.25,10,cpd_type1
appliances,2,12,,80.57597658256468,0.24060133526167804,,676,53,45,100,5.0,0.25,10,cpd_type1
appliances,2,12,,80.56843682838769,0.24074344738025577,,676,53,46,100,5.0,0.25,10,cpd_type1
appliances,2,16,,80.5428035544879,0.2412264934944337,,892,53,42,100,5.0,0.25,10,cpd_type1
appliances,2,16,,80.53242310510716,0.2414220640995718,,892,53,43,100,5.0,0.25,10,cpd_type1
appliances,2,16,,80.53038032383908,0.24146054770864323,,892,51,44,100,5.0,0.25,10,cpd_type1
appliances,2,16,,80.56850029522846,0.24074225118890347,,892,51,45,100,5.0,0.25,10,cpd_type1
appliances,2,16,,80.51856710018491,0.24168307587558968,,892,53,46,100,5.0,0.25,10,cpd_type1
appliances,2,64,,80.66296823411341,0.23896072207905505,,3484,49,42,100,5.0,0.25,10,cpd_type1
appliances,2,64,,80.66346159959423,0.23895141243757378,,3484,49,43,100,5.0,0.25,10,cpd_type1
appliances,2,64,,80.66246613713705,0.23897019642247275,,3484,49,44,100,5.0,0.25,10,cpd_type1
appliances,2,64,,80.66442959198733,0.2389331465796698,,3484,49,45,100,5.0,0.25,10,cpd_type1
appliances,2,64,,80.66430361396807,0.23893552377666571,,3484,49,46,100,5.0,0.25,10,cpd_type1
appliances,2,144,,80.68259339763262,0.23859035789598237,,7804,49,42,100,5.0,0.25,10,cpd_type1
appliances,2,144,,80.682133886683,0.23859903077216593,,7804,49,43,100,5.0,0.25,10,cpd_type1
appliances,2,144,,80.68387710738311,0.23856612871057126,,7804,49,44,100,5.0,0.25,10,cpd_type1
appliances,2,144,,80.68413789855833,0.23856120639988931,,7804,49,45,100,5.0,0.25,10,cpd_type1
appliances,2,144,,80.68288033852804,0.2385849421069307,,7804,49,46,100,5.0,0.25,10,cpd_type1
appliances,2,256,,80.69381411551548,0.2383785611127056,,13852,47,42,100,5.0,0.25,10,cpd_type1
appliances,2,256,,80.69292099955531,0.2383954202116546,,13852,47,43,100,5.0,0.25,10,cpd_type1
appliances,2,256,,80.69374243423357,0.23837991422700344,,13852,49,44,100,5.0,0.25,10,cpd_type1
appliances,2,256,,80.69369564622154,0.23838079743500284,,13852,47,45,100,5.0,0.25,10,cpd_type1
appliances,2,256,,80.69250345916488,0.23840330194023562,,13852,47,46,100,5.0,0.25,10,cpd_type1
appliances,3,4,,80.71945610745341,0.2378944448531608,,568,141,42,100,5.0,0.25,10,cpd_type1
appliances,3,4,,79.32577409972842,0.26398390558272167,,568,141,43,100,5.0,0.25,10,cpd_type1
