dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
appliances,2,4,,80.93892351990637,0.23374464703436637,,224,24,42,100,5.0,0.25,10,tt
appliances,2,4,,80.7000519078931,0.23826080685650264,,224,22,43,100,5.0,0.25,10,tt
appliances,2,4,,80.77232292684845,0.2368958432126157,,224,23,44,100,5.0,0.25,10,tt
appliances,2,4,,80.96678618210576,0.23321700006528556,,224,22,45,100,5.0,0.25,10,tt
appliances,2,4,,81.0426783001555,0.2317788780539144,,224,30,46,100,5.0,0.25,10,tt
appliances,2,8,,80.36074637963216,0.2446528464490223,,448,27,42,100,5.0,0.25,10,tt
appliances,2,8,,80.27295366538132,0.2463023521185458,,448,28,43,100,5.0,0.25,10,tt
appliances,2,8,,80.36477724056148,0.24457706876335084,,448,27,44,100,5.0,0.25,10,tt
appliances,2,8,,80.5097515597775,0.24184911478503046,,448,27,45,100,5.0,0.25,10,tt
appliances,2,8,,80.55674811643154,0.24096373432460705,,448,28,46,100,5.0,0.25,10,tt
appliances,2,12,,80.08089231170885,0.24990463686882736,,672,27,42,100,5.0,0.25,10,tt
appliances,2,12,,80.08926948251754,0.24974769541968778,,672,27,43,100,5.0,0.25,10,tt
appliances,2,12,,80.05823396973574,0.25032904554661095,,672,27,44,100,5.0,0.25,10,tt
appliances,2,12,,80.07935023759651,0.24993352494614207,,672,27,45,100,5.0,0.25,10,tt
appliances,2,12,,80.13197008160306,0.24894746928864542,,672,27,46,100,5.0,0.25,10,tt
appliances,2,16,,79.93749955804257,0.252588471668852,,896,27,42,100,5.0,0.25,10,tt
appliances,2,16,,79.93546373007212,0.25262654095866854,,896,24,43,100,5.0,0.25,10,tt
appliances,2,16,,79.9359833556275,0.25261682422987586,,896,27,44,100,5.0,0.25,10,tt
appliances,2,16,,79.9322774436094,0.2526861214843307,,896,24,46,100,5.0,0.25,10,tt
appliances,3,4,,80.67520533655795,0.23872979524292726,,672,28,42,100,5.0,0.25,10,tt
appliances,3,4,,78.82867188783067,0.2731796263277264,,672,48,43,100,5.0,0.25,10,tt
appliances,3,4,,78.6515937420339,0.27644136961958743,,672,51,44,100,5.0,0.25,10,tt
appliances,3,4,,78.45549683899192,0.2800448751628124,,672,32,45,100,5.0,0.25,10,tt
appliances,3,4,,78.4647388304024,0.2798752449583035,,672,43,46,100,5.0,0.25,10,tt
appliances,3,8,,75.97922554558515,0.3247751790018819,,2240,30,42,100,5.0,0.25,10,tt
appliances,3,8,,76.45210182381636,0.31634415291363494,,2240,33,43,100,5.0,0.25,10,tt
appliances,3,8,,76.23618291378365,0.3202003131235449,,2240,32,44,100,5.0,0.25,10,tt
appliances,3,8,,77.2159317958536,0.30261515297452024,,2240,28,45,100,5.0,0.25,10,tt
appliances,3,8,,76.802147744219,0.31006940591028387,,2240,30,46,100,5.0,0.25,10,tt
appliances,3,12,,75.04424481192066,0.34129121348441216,,4704,28,42,100,5.0,0.25,10,tt
appliances,3,12,,75.14389759455621,0.3395406262815962,,4704,30,43,100,5.0,0.25,10,tt
appliances,3,12,,74.99644426364073,0.34213009495464,,4704,28,44,100,5.0,0.25,10,tt
appliances,3,12,,75.38641357327704,0.3352706742994963,,4704,28,45,100,5.0,0.25,10,tt
