dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
appliances,2,4,,81.4070246935704,0.22485591410590822,,224,28,42,100,5.0,0.25,10,tt_cumsum
appliances,2,4,,81.2760074856102,0.22734895425151147,,224,30,43,100,5.0,0.25,10,tt_cumsum
appliances,2,4,,80.76867544919342,0.23696476143642398,,224,22,44,100,5.0,0.25,10,tt_cumsum
appliances,2,4,,80.7107539281005,0.2380587576981007,,224,29,45,100,5.0,0.25,10,tt_cumsum
appliances,2,4,,80.95412015300661,0.2334568845066124,,224,28,46,100,5.0,0.25,10,tt_cumsum
appliances,2,8,,80.35325078352173,0.24479374890182304,,448,27,42,100,5.0,0.25,10,tt_cumsum
appliances,2,8,,80.41226396574355,0.24368406163438794,,448,28,43,100,5.0,0.25,10,tt_cumsum
appliances,2,8,,80.60023638514215,0.24014398715764496,,448,23,44,100,5.0,0.25,10,tt_cumsum
appliances,2,8,,80.3679556703192,0.24451731357487794,,448,28,45,100,5.0,0.25,10,tt_cumsum
appliances,2,8,,80.54500558223664,0.24118500342746685,,448,28,46,100,5.0,0.25,10,tt_cumsum
appliances,2,12,,80.12637679064434,0.24905231405193617,,672,27,42,100,5.0,0.25,10,tt_cumsum
appliances,2,12,,79.99593311915602,0.25149537068193717,,672,27,43,100,5.0,0.25,10,tt_cumsum
appliances,2,12,,80.07717478598718,0.24997427730368305,,672,22,44,100,5.0,0.25,10,tt_cumsum
appliances,2,12,,80.01709310585825,0.2510993394810501,,672,27,45,100,5.0,0.25,10,tt_cumsum
appliances,2,12,,79.95228609805561,0.25231193931105655,,672,27,46,100,5.0,0.25,10,tt_cumsum
appliances,2,16,,79.93800962362639,0.25257893346423155,,896,27,42,100,5.0,0.25,10,tt_cumsum
appliances,2,16,,79.93731445552483,0.252591933062973,,896,27,43,100,5.0,0.25,10,tt_cumsum
appliances,2,16,,79.93766573983345,0.25258536408314847,,896,27,44,100,5.0,0.25,10,tt_cumsum
appliances,2,16,,79.93456621304553,0.2526433239135085,,896,24,45,100,5.0,0.25,10,tt_cumsum
appliances,2,16,,79.93691224258983,0.252599454367335,,896,26,46,100,5.0,0.25,10,tt_cumsum
appliances,3,4,,78.12151497148508,0.2861614678725082,,672,53,42,100,5.0,0.25,10,tt_cumsum
appliances,3,4,,78.70726500852962,0.2754167068138208,,672,51,43,100,5.0,0.25,10,tt_cumsum
appliances,3,4,,78.19115850416428,0.28488815931705636,,672,49,44,100,5.0,0.25,10,tt_cumsum
appliances,3,4,,79.35621548632899,0.26341890259920453,,672,49,45,100,5.0,0.25,10,tt_cumsum
appliances,3,4,,78.9966885559512,0.2700780117343833,,672,49,46,100,5.0,0.25,10,tt_cumsum
appliances,3,8,,76.61747529445529,0.31338332343041597,,2240,30,42,100,5.0,0.25,10,tt_cumsum
appliances,3,8,,76.54332498031813,0.31471169415434197,,2240,32,43,100,5.0,0.25,10,tt_cumsum
appliances,3,8,,76.52889600353677,0.31497003352162456,,2240,47,44,100,5.0,0.25,10,tt_cumsum
appliances,3,8,,75.42640077800239,0.3345653027089569,,2240,47,45,100,5.0,0.25,10,tt_cumsum
appliances,3,8,,76.3364020372949,0.3184118261639113,,2240,32,46,100,5.0,0.25,10,tt_cumsum
appliances,3,12,,74.89617337947838,0.34388807427419466,,4704,28,42,100,5.0,0.25,10,tt_cumsum
appliances,3,12,,74.81458375621645,0.34531679257566583,,4704,28,43,100,5.0,0.25,10,tt_cumsum
appliances,3,12,,74.91100314072487,0.34362822264067416,,4704,28,44,100,5.0,0.25,10,tt_cumsum
appliances,3,12,,75.33567005523805,0.3361652480205777,,4704,28,45,100,5.0,0.25,10,tt_cumsum
appliances,3,12,,74.59006039246583,0.349240388827358,,4704,30,46,100,5.0,0.25,10,tt_cumsum
appliances,3,16,,75.12745324353945,0.3398296620580171,,8064,28,42,100,5.0,0.25,10,tt_cumsum
appliances,3,16,,74.84312293425715,0.34481721927453046,,8064,28,43,100,5.0,0.25,10,tt_cumsum
appliances,3,16,,74.63585953161899,0.3484409959887591,,8064,28,44,100,5.0,0.25,10,tt_cumsum
appliances,3,16,,75.10002329197516,0.3403116465738175,,8064,28,45,100,5.0,0.25,10,tt_cumsum
appliances,3,16,,74.94099022932598,0.34310262246623235,,8064,28,46,100,5.0,0.25,10,tt_cumsum
appliances,4,4,,80.35952017701433,0.2446758975438016,,1120,35,42,100,5.0,0.25,10,tt_cumsum
appliances,4,4,,80.7815139225633,0.2367221677302026,,1120,30,43,100,5.0,0.25,10,tt_cumsum
appliances,4,4,,79.84212101376104,0.25437097663564134,,1120,48,44,100,5.0,0.25,10,tt_cumsum
appliances,4,4,,80.2630685152885,0.24648796770377124,,1120,38,45,100,5.0,0.25,10,tt_cumsum
appliances,4,4,,81.2493701039508,0.22785532824205945,,1120,30,46,100,5.0,0.25,10,tt_cumsum
appliances,4,8,,77.36206712599284,0.2999729779724418,,4032,37,42,100,5.0,0.25,10,tt_cumsum
appliances,4,8,,78.34963778654371,0.2819864179031465,,4032,31,43,100,5.0,0.25,10,tt_cumsum
appliances,4,8,,78.81251028320912,0.2734776239744052,,4032,31,44,100,5.0,0.25,10,tt_cumsum
appliances,4,8,,77.57162113197461,0.2961754542062156,,4032,34,45,100,5.0,0.25,10,tt_cumsum
