dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bank,1,4,,,,0.8852845768209967,968,119,42,100,5.0,0.25,34,tnml_polynomial
bank,1,4,,,,0.8858743733411973,968,124,43,100,5.0,0.25,34,tnml_polynomial
bank,1,4,,,,0.8920672368033029,968,237,44,100,5.0,0.25,34,tnml_polynomial
bank,1,4,,,,0.8857269242111472,968,110,45,100,5.0,0.25,34,tnml_polynomial
bank,1,4,,,,0.879976408139192,968,64,46,100,5.0,0.25,34,tnml_polynomial
bank,1,8,,,,0.8846947803007962,3624,96,42,100,5.0,0.25,34,tnml_polynomial
bank,1,8,,,,0.8901503981126512,3624,155,43,100,5.0,0.25,34,tnml_polynomial
bank,1,8,,,,0.8908876437629017,3624,137,44,100,5.0,0.25,34,tnml_polynomial
bank,1,8,,,,0.8938366263639045,3624,159,45,100,5.0,0.25,34,tnml_polynomial
bank,1,8,,,,0.8920672368033029,3624,139,46,100,5.0,0.25,34,tnml_polynomial
bank,1,12,,,,0.8902978472427012,7752,87,42,100,5.0,0.25,34,tnml_polynomial
bank,1,12,,,,0.8866116189914479,7752,61,43,100,5.0,0.25,34,tnml_polynomial
bank,1,12,,,,0.8823355942199941,7752,57,44,100,5.0,0.25,34,tnml_polynomial
bank,1,12,,,,0.8857269242111472,7752,87,45,100,5.0,0.25,34,tnml_polynomial
bank,1,12,,,,0.8863167207313477,7752,88,46,100,5.0,0.25,34,tnml_polynomial
bank,1,16,,,,0.8858743733411973,13480,85,42,100,5.0,0.25,34,tnml_polynomial
bank,1,16,,,,0.8838100855204954,13480,56,43,100,5.0,0.25,34,tnml_polynomial
bank,1,16,,,,0.8929519315836036,13480,120,44,100,5.0,0.25,34,tnml_polynomial
bank,1,16,,,,0.8888233559422,13480,88,45,100,5.0,0.25,34,tnml_polynomial
bank,1,16,,,,0.8886759068121498,13480,87,46,100,5.0,0.25,34,tnml_polynomial
bank,2,4,,,,0.8783544677086406,1482,47,42,100,5.0,0.25,34,tnml_polynomial
bank,2,4,,,,0.865526393394279,1482,42,43,100,5.0,0.25,34,tnml_polynomial
bank,2,4,,,,0.6076378649365969,1482,39,44,100,5.0,0.25,34,tnml_polynomial
bank,2,4,,,,0.8810085520495429,1482,108,45,100,5.0,0.25,34,tnml_polynomial
bank,2,4,,,,0.8796815098790917,1482,101,46,100,5.0,0.25,34,tnml_polynomial
bank,2,8,,,,0.7721910940725449,5730,27,42,100,5.0,0.25,34,tnml_polynomial
bank,2,8,,,,0.8776172220583899,5730,39,43,100,5.0,0.25,34,tnml_polynomial
bank,2,8,,,,0.8810085520495429,5730,49,44,100,5.0,0.25,34,tnml_polynomial
bank,2,8,,,,0.8768799764081392,5730,54,45,100,5.0,0.25,34,tnml_polynomial
bank,2,8,,,,0.881156001179593,5730,50,46,100,5.0,0.25,34,tnml_polynomial
bank,2,12,,,,0.8804187555293423,12492,36,42,100,5.0,0.25,34,tnml_polynomial
bank,2,12,,,,0.872309053376585,12492,45,43,100,5.0,0.25,34,tnml_polynomial
bank,2,12,,,,0.8805662046593925,12492,48,44,100,5.0,0.25,34,tnml_polynomial
bank,2,12,,,,0.881156001179593,12492,56,45,100,5.0,0.25,34,tnml_polynomial
bank,2,12,,,,0.7559716897670303,12492,34,46,100,5.0,0.25,34,tnml_polynomial
bank,2,16,,,,0.8323503391329992,21780,27,42,100,5.0,0.25,34,tnml_polynomial
bank,2,16,,,,0.8808611029194928,21780,58,43,100,5.0,0.25,34,tnml_polynomial
bank,2,16,,,,0.6673547626069006,21780,20,44,100,5.0,0.25,34,tnml_polynomial
bank,2,16,,,,0.6073429666764966,21780,22,45,100,5.0,0.25,34,tnml_polynomial
bank,2,16,,,,0.8319079917428487,21780,30,46,100,5.0,0.25,34,tnml_polynomial
bank,3,4,,,,0.6907991742848717,2016,70,42,100,5.0,0.25,34,tnml_polynomial
bank,3,4,,,,0.6815098790917133,2016,62,43,100,5.0,0.25,34,tnml_polynomial
bank,3,4,,,,0.6178118549100561,2016,49,44,100,5.0,0.25,34,tnml_polynomial
bank,3,4,,,,0.6767915069301091,2016,73,45,100,5.0,0.25,34,tnml_polynomial
bank,3,4,,,,0.5342081981716308,2016,36,46,100,5.0,0.25,34,tnml_polynomial
bank,3,8,,,,0.5137127690946623,7712,39,42,100,5.0,0.25,34,tnml_polynomial
bank,3,8,,,,0.5858153936891772,7712,60,43,100,5.0,0.25,34,tnml_polynomial
bank,3,8,,,,0.5548510763786494,7712,44,44,100,5.0,0.25,34,tnml_polynomial
bank,3,8,,,,0.7341492185196107,7712,72,45,100,5.0,0.25,34,tnml_polynomial
bank,3,8,,,,0.84444116779711,7712,72,46,100,5.0,0.25,34,tnml_polynomial
bank,3,12,,,,0.6655853730462991,17120,58,42,100,5.0,0.25,34,tnml_polynomial
bank,3,12,,,,0.529932173400177,17120,19,43,100,5.0,0.25,34,tnml_polynomial
bank,3,12,,,,0.6903568268947213,17120,39,44,100,5.0,0.25,34,tnml_polynomial
