dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bank,,4,,,,0.775582424063698,968,287,42,100,5.0,0.25,34,tnml_sin-cos
bank,,4,,,,0.775582424063698,968,268,43,100,5.0,0.25,34,tnml_sin-cos
bank,,4,,,,0.7658507814803893,968,185,44,100,5.0,0.25,34,tnml_sin-cos
bank,,4,,,,0.7646711884399882,968,187,45,100,5.0,0.25,34,tnml_sin-cos
bank,,4,,,,0.7769094662341492,968,283,46,100,5.0,0.25,34,tnml_sin-cos
bank,,8,,,,0.7792686523149513,3624,206,42,100,5.0,0.25,34,tnml_sin-cos
bank,,8,,,,0.77779416101445,3624,183,43,100,5.0,0.25,34,tnml_sin-cos
bank,,8,,,,0.780005897965202,3624,184,44,100,5.0,0.25,34,tnml_sin-cos
bank,,8,,,,0.7808905927455028,3624,178,45,100,5.0,0.25,34,tnml_sin-cos
bank,,8,,,,0.7823650840460041,3624,181,46,100,5.0,0.25,34,tnml_sin-cos
bank,,12,,,,0.7785314066647007,7752,197,42,100,5.0,0.25,34,tnml_sin-cos
bank,,12,,,,0.7705691536419935,7752,118,43,100,5.0,0.25,34,tnml_sin-cos
bank,,12,,,,0.7776467118843999,7752,181,44,100,5.0,0.25,34,tnml_sin-cos
bank,,12,,,,0.7783839575346505,7752,175,45,100,5.0,0.25,34,tnml_sin-cos
bank,,12,,,,0.7776467118843999,7752,177,46,100,5.0,0.25,34,tnml_sin-cos
bank,,16,,,,0.7776467118843999,13480,169,42,100,5.0,0.25,34,tnml_sin-cos
bank,,16,,,,0.7813329401356532,13480,159,43,100,5.0,0.25,34,tnml_sin-cos
bank,,16,,,,0.77779416101445,13480,125,44,100,5.0,0.25,34,tnml_sin-cos
bank,,16,,,,0.7779416101445001,13480,161,45,100,5.0,0.25,34,tnml_sin-cos
bank,,16,,,,0.7770569153641993,13480,167,46,100,5.0,0.25,34,tnml_sin-cos
