dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bank,2,4,0.25,,,0.8972279563550575,298,25,42,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.25,,,0.8959009141846063,298,26,43,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.25,,,0.8972279563550575,298,33,44,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.25,,,0.8973754054851076,298,38,45,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.25,,,0.8832202890002949,298,15,46,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.5,,,0.8969330580949573,298,30,42,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.5,,,0.8972279563550575,298,24,43,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.5,,,0.8829253907401946,298,15,44,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.5,,,0.8841049837805957,298,11,45,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.5,,,0.8967856089649071,298,31,46,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.75,,,0.8960483633146564,298,25,42,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.75,,,0.8972279563550575,298,46,43,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.75,,,0.8963432615747567,298,23,44,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.75,,,0.8835151872603951,298,15,45,100,5.0,0.25,10,tt_lin_type1
bank,2,4,0.75,,,0.897670303745208,298,53,46,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.25,,,0.8975228546151578,562,25,42,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.25,,,0.896638159834857,562,25,43,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.25,,,0.8975228546151578,562,27,44,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.25,,,0.8839575346505456,562,15,45,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.25,,,0.897670303745208,562,26,46,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.5,,,0.8972279563550575,562,22,42,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.5,,,0.8961958124447066,562,23,43,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.5,,,0.8981126511353583,562,25,44,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.5,,,0.8845473311707461,562,11,45,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.5,,,0.896638159834857,562,25,46,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.75,,,0.884399882040696,562,12,42,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.75,,,0.8975228546151578,562,23,43,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.75,,,0.8972279563550575,562,29,44,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.75,,,0.8973754054851076,562,25,45,100,5.0,0.25,10,tt_lin_type1
bank,2,8,0.75,,,0.8849896785608965,562,15,46,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.25,,,0.8849896785608965,826,15,42,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.25,,,0.885579475081097,826,15,43,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.25,,,0.8973754054851076,826,22,44,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.25,,,0.8848422294308463,826,14,45,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.25,,,0.8973754054851076,826,25,46,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.5,,,0.8985549985255087,826,22,42,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.5,,,0.8832202890002949,826,14,43,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.5,,,0.8969330580949573,826,25,44,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.5,,,0.8972279563550575,826,21,45,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.5,,,0.8858743733411973,826,14,46,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.75,,,0.8866116189914479,826,14,42,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.75,,,0.897670303745208,826,24,43,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.75,,,0.8972279563550575,826,23,44,100,5.0,0.25,10,tt_lin_type1
bank,2,12,0.75,,,0.8851371276909467,826,14,45,100,5.0,0.25,10,tt_lin_type1
