dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bike,2,4,,121.91793131449414,0.5408450459100971,,109,30,42,100,5.0,0.25,10,tt_cumsum_type1
bike,2,4,,121.91766164913213,0.5408470770805516,,109,57,43,100,5.0,0.25,10,tt_cumsum_type1
bike,2,4,,121.9185746340754,0.5408402002873256,,109,62,44,100,5.0,0.25,10,tt_cumsum_type1
bike,2,4,,121.95673837719787,0.5405526969380987,,109,62,45,100,5.0,0.25,10,tt_cumsum_type1
bike,2,4,,121.93791118412308,0.5406945412595094,,109,57,46,100,5.0,0.25,10,tt_cumsum_type1
bike,2,8,,121.7818362605566,0.5418695685539185,,205,25,42,100,5.0,0.25,10,tt_cumsum_type1
bike,2,8,,121.77978868934093,0.5418849739185821,,205,25,43,100,5.0,0.25,10,tt_cumsum_type1
bike,2,8,,121.7603536465427,0.5420311849569339,,205,25,44,100,5.0,0.25,10,tt_cumsum_type1
bike,2,8,,121.7750955622985,0.5419202827430198,,205,25,45,100,5.0,0.25,10,tt_cumsum_type1
bike,2,8,,121.76599658673406,0.541988735170293,,205,25,46,100,5.0,0.25,10,tt_cumsum_type1
bike,2,12,,121.78745651857575,0.5418272819416576,,301,25,42,100,5.0,0.25,10,tt_cumsum_type1
bike,2,12,,121.78341564271575,0.541857685538452,,301,25,43,100,5.0,0.25,10,tt_cumsum_type1
bike,2,12,,121.79277224357328,0.5417872848287784,,301,25,44,100,5.0,0.25,10,tt_cumsum_type1
bike,2,12,,121.7898910940452,0.5418089636806276,,301,25,45,100,5.0,0.25,10,tt_cumsum_type1
bike,2,12,,121.78472404902362,0.5418478411846694,,301,25,46,100,5.0,0.25,10,tt_cumsum_type1
bike,2,16,,121.81645292607426,0.5416090830437561,,397,25,42,100,5.0,0.25,10,tt_cumsum_type1
bike,2,16,,121.79572722948053,0.5417650498715356,,397,25,43,100,5.0,0.25,10,tt_cumsum_type1
bike,2,16,,121.79942611921435,0.5417372166079408,,397,25,44,100,5.0,0.25,10,tt_cumsum_type1
bike,2,16,,121.7957970833834,0.5417645242453974,,397,25,45,100,5.0,0.25,10,tt_cumsum_type1
bike,2,16,,121.79254971590309,0.5417889592288749,,397,25,46,100,5.0,0.25,10,tt_cumsum_type1
bike,3,4,,109.46571303626132,0.6298478083779675,,397,136,42,100,5.0,0.25,10,tt_cumsum_type1
bike,3,4,,109.78549009160689,0.6276820331162594,,397,95,43,100,5.0,0.25,10,tt_cumsum_type1
bike,3,4,,109.45138879319914,0.62994467529468,,397,134,44,100,5.0,0.25,10,tt_cumsum_type1
bike,3,4,,109.5498008005309,0.6292789138073136,,397,85,45,100,5.0,0.25,10,tt_cumsum_type1
bike,3,4,,109.63998766444261,0.6286682703511889,,397,63,46,100,5.0,0.25,10,tt_cumsum_type1
bike,3,8,,109.04755580347981,0.6326703576469404,,1165,49,42,100,5.0,0.25,10,tt_cumsum_type1
bike,3,8,,109.0818655023329,0.6324391749862005,,1165,49,43,100,5.0,0.25,10,tt_cumsum_type1
bike,3,8,,109.10275846044887,0.6322983602261025,,1165,49,44,100,5.0,0.25,10,tt_cumsum_type1
bike,3,8,,109.02191273860505,0.6328430960501837,,1165,50,45,100,5.0,0.25,10,tt_cumsum_type1
bike,3,8,,109.24401460665511,0.6313456118089658,,1165,50,46,100,5.0,0.25,10,tt_cumsum_type1
bike,3,12,,109.08977530831444,0.6323858674963068,,2317,47,42,100,5.0,0.25,10,tt_cumsum_type1
bike,3,12,,109.07984990730651,0.6324527583058971,,2317,47,43,100,5.0,0.25,10,tt_cumsum_type1
bike,3,12,,108.97367116077253,0.6331679538541525,,2317,39,44,100,5.0,0.25,10,tt_cumsum_type1
bike,3,12,,109.12700760520853,0.6321348915604006,,2317,47,45,100,5.0,0.25,10,tt_cumsum_type1
bike,3,12,,109.06197774285685,0.6325731898359193,,2317,39,46,100,5.0,0.25,10,tt_cumsum_type1
bike,3,16,,109.00917908578622,0.6329288581762604,,3853,39,42,100,5.0,0.25,10,tt_cumsum_type1
bike,3,16,,108.90551203764124,0.6336266909254296,,3853,39,43,100,5.0,0.25,10,tt_cumsum_type1
bike,3,16,,108.93398362153641,0.6334351011381174,,3853,39,44,100,5.0,0.25,10,tt_cumsum_type1
