dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
bike,2,4,,121.87648037916526,0.541157209456263,,109,59,42,100,5.0,0.25,10,tt_type1
bike,2,4,,121.83119885013895,0.5414980995664881,,109,41,43,100,5.0,0.25,10,tt_type1
bike,2,4,,121.9674669740591,0.5404718577524603,,109,29,44,100,5.0,0.25,10,tt_type1
bike,2,4,,121.76471523254324,0.5419983745044621,,109,29,45,100,5.0,0.25,10,tt_type1
bike,2,4,,121.8789566183022,0.5411385640865477,,109,28,46,100,5.0,0.25,10,tt_type1
bike,2,8,,121.7635130660303,0.5420074180356365,,205,25,42,100,5.0,0.25,10,tt_type1
bike,2,8,,121.75974239569683,0.5420357830566362,,205,25,43,100,5.0,0.25,10,tt_type1
bike,2,8,,121.78013606096025,0.5418823604079641,,205,25,44,100,5.0,0.25,10,tt_type1
bike,2,8,,121.76535527253309,0.5419935596428562,,205,25,45,100,5.0,0.25,10,tt_type1
bike,2,8,,121.75859876782269,0.5420443858702417,,205,25,46,100,5.0,0.25,10,tt_type1
bike,2,12,,121.78345783299577,0.5418573681035078,,301,25,42,100,5.0,0.25,10,tt_type1
bike,2,12,,121.78569428714002,0.5418405411154406,,301,25,43,100,5.0,0.25,10,tt_type1
bike,2,12,,121.77262490627386,0.5419388702206489,,301,25,44,100,5.0,0.25,10,tt_type1
bike,2,12,,121.7838652146451,0.5418543030039203,,301,25,45,100,5.0,0.25,10,tt_type1
bike,2,12,,121.77080239331613,0.5419525812841643,,301,25,46,100,5.0,0.25,10,tt_type1
bike,2,16,,121.80951776349012,0.5416612750911711,,397,25,42,100,5.0,0.25,10,tt_type1
bike,2,16,,121.80308228889396,0.5417097039718856,,397,25,43,100,5.0,0.25,10,tt_type1
bike,2,16,,121.80213093476307,0.5417168629805967,,397,25,44,100,5.0,0.25,10,tt_type1
bike,2,16,,121.8062437870017,0.5416859130680769,,397,25,45,100,5.0,0.25,10,tt_type1
bike,2,16,,121.80056459612308,0.5417286496704443,,397,25,46,100,5.0,0.25,10,tt_type1
bike,3,4,,109.49596134042747,0.6296432142139641,,397,96,42,100,5.0,0.25,10,tt_type1
bike,3,4,,109.52151030719634,0.6294703614983003,,397,66,43,100,5.0,0.25,10,tt_type1
bike,3,4,,109.6618758247143,0.6285199927038467,,397,66,44,100,5.0,0.25,10,tt_type1
bike,3,4,,109.80086012379928,0.6275777763568018,,397,63,45,100,5.0,0.25,10,tt_type1
bike,3,4,,109.5123023295973,0.6295326631443873,,397,59,46,100,5.0,0.25,10,tt_type1
bike,3,8,,109.15707177940105,0.6319321720983597,,1165,49,42,100,5.0,0.25,10,tt_type1
bike,3,8,,109.0672390555492,0.6325377385446667,,1165,50,43,100,5.0,0.25,10,tt_type1
bike,3,8,,109.06551779661113,0.6325493367608952,,1165,49,44,100,5.0,0.25,10,tt_type1
bike,3,8,,109.05101025149081,0.632647084475126,,1165,49,45,100,5.0,0.25,10,tt_type1
bike,3,8,,109.12190744619043,0.6321692758388497,,1165,49,46,100,5.0,0.25,10,tt_type1
bike,3,12,,109.10765056016731,0.6322653844619135,,2317,47,42,100,5.0,0.25,10,tt_type1
bike,3,12,,109.11813417861197,0.6321947134394598,,2317,39,43,100,5.0,0.25,10,tt_type1
bike,3,12,,109.09467808724274,0.6323528236786216,,2317,47,44,100,5.0,0.25,10,tt_type1
bike,3,12,,109.07383898076162,0.6324932651199591,,2317,45,45,100,5.0,0.25,10,tt_type1
bike,3,12,,109.1791575942311,0.631783214268327,,2317,50,46,100,5.0,0.25,10,tt_type1
bike,3,16,,108.9743952924447,0.6331630786291054,,3853,39,42,100,5.0,0.25,10,tt_type1
bike,3,16,,108.86181276951244,0.6339206527836501,,3853,39,43,100,5.0,0.25,10,tt_type1
bike,3,16,,108.96897048259261,0.6331996004378775,,3853,39,44,100,5.0,0.25,10,tt_type1
bike,3,16,,108.9576840753657,0.6332755788429263,,3853,39,45,100,5.0,0.25,10,tt_type1
bike,3,16,,108.94833379874073,0.6333385175458213,,3853,39,46,100,5.0,0.25,10,tt_type1
bike,4,4,,105.44701407031481,0.6565269415432253,,877,95,42,100,5.0,0.25,10,tt_type1
bike,4,4,,105.22271214316177,0.6579866268630763,,877,99,43,100,5.0,0.25,10,tt_type1
bike,4,4,,104.5817543484332,0.6621406438434951,,877,100,44,100,5.0,0.25,10,tt_type1
bike,4,4,,104.70359373259272,0.6613529623816274,,877,115,45,100,5.0,0.25,10,tt_type1
bike,4,4,,104.68339200022127,0.6614836283233629,,877,95,46,100,5.0,0.25,10,tt_type1
bike,4,8,,103.99606241393658,0.665914292519681,,2893,74,42,100,5.0,0.25,10,tt_type1
bike,4,8,,104.1703329325995,0.6647936717945553,,2893,63,43,100,5.0,0.25,10,tt_type1
bike,4,8,,104.15113678651154,0.6649172017206955,,2893,76,44,100,5.0,0.25,10,tt_type1
bike,4,8,,103.9754059279981,0.6660469966084811,,2893,74,45,100,5.0,0.25,10,tt_type1
bike,4,8,,104.41616240566839,0.6632097116784141,,2893,64,46,100,5.0,0.25,10,tt_type1
bike,4,12,,104.10466728803564,0.6652161452819467,,6061,69,42,100,5.0,0.25,10,tt_type1
bike,4,12,,103.97048512566407,0.666078605580191,,6061,76,43,100,5.0,0.25,10,tt_type1
bike,4,12,,104.00244762652362,0.665873266471136,,6061,72,44,100,5.0,0.25,10,tt_type1
bike,4,12,,104.05807694678258,0.6655157323071421,,6061,69,45,100,5.0,0.25,10,tt_type1
bike,4,12,,104.11889308357861,0.6651246432927987,,6061,70,46,100,5.0,0.25,10,tt_type1
bike,4,16,,104.1478152845212,0.6649385737473227,,10381,69,42,100,5.0,0.25,10,tt_type1
bike,4,16,,104.09047453969549,0.6653074222483364,,10381,69,43,100,5.0,0.25,10,tt_type1
bike,4,16,,104.01883118624635,0.6657679878629051,,10381,69,44,100,5.0,0.25,10,tt_type1
bike,4,16,,104.10506781242165,0.6652135692330665,,10381,64,45,100,5.0,0.25,10,tt_type1
bike,4,16,,104.51515861958438,0.6625707920356496,,10381,69,46,100,5.0,0.25,10,tt_type1
bike,5,4,,184.3672391968742,-0.050005585513059,,1549,19,42,100,5.0,0.25,10,tt_type1
bike,5,4,,187.17929881937727,-0.08228025831056351,,1549,19,43,100,5.0,0.25,10,tt_type1
bike,5,4,,99.09696345493896,0.6966494417924562,,1549,149,44,100,5.0,0.25,10,tt_type1
bike,5,4,,98.44670262360097,0.7006174705295622,,1549,128,45,100,5.0,0.25,10,tt_type1
bike,5,4,,98.60814482667593,0.6996347539058458,,1549,121,46,100,5.0,0.25,10,tt_type1
bike,5,8,,164.25496333635635,0.16658539334365385,,5389,19,42,100,5.0,0.25,10,tt_type1
bike,5,8,,99.85273019560735,0.6920047686704445,,5389,89,43,100,5.0,0.25,10,tt_type1
bike,5,8,,98.32997551623035,0.7013269983891183,,5389,90,44,100,5.0,0.25,10,tt_type1
bike,5,8,,99.73141992000448,0.6927526759200224,,5389,94,45,100,5.0,0.25,10,tt_type1
bike,5,8,,173.5357447376334,0.06974504414174343,,5389,15,46,100,5.0,0.25,10,tt_type1
bike,5,12,,98.27583551623191,0.7016558036108766,,11533,83,42,100,5.0,0.25,10,tt_type1
bike,5,12,,110.47660070753881,0.6229797212827,,11533,47,43,100,5.0,0.25,10,tt_type1
bike,5,12,,98.4317594060005,0.7007083501350796,,11533,83,44,100,5.0,0.25,10,tt_type1
bike,5,12,,98.84473222613252,0.6981917112089664,,11533,81,45,100,5.0,0.25,10,tt_type1
bike,5,12,,98.74751895428105,0.6987850729958788,,11533,83,46,100,5.0,0.25,10,tt_type1
bike,5,16,,150.33527942325665,0.30185453259478234,,19981,19,42,100,5.0,0.25,10,tt_type1
bike,5,16,,98.80262021700156,0.6984488224516738,,19981,81,43,100,5.0,0.25,10,tt_type1
bike,5,16,,98.73305621814754,0.6988732994755398,,19981,82,44,100,5.0,0.25,10,tt_type1
bike,5,16,,98.48970807042694,0.7003558489356903,,19981,82,45,100,5.0,0.25,10,tt_type1
bike,5,16,,98.698866317346,0.6990818154441566,,19981,81,46,100,5.0,0.25,10,tt_type1
bike,6,4,,174.028173099469,0.0644581349972767,,2413,19,42,100,5.0,0.25,10,tt_type1
bike,6,4,,92.44403420268098,0.736013399343847,,2413,202,43,100,5.0,0.25,10,tt_type1
bike,6,4,,93.62944870025339,0.7291997649632413,,2413,205,44,100,5.0,0.25,10,tt_type1
bike,6,4,,93.43588867842323,0.7303182574945877,,2413,204,45,100,5.0,0.25,10,tt_type1
bike,6,4,,179.01990014208204,0.010019305414926905,,2413,19,46,100,5.0,0.25,10,tt_type1
bike,6,8,,162.307697625101,0.18622875656956794,,8653,24,42,100,5.0,0.25,10,tt_type1
bike,6,8,,96.73633858470954,0.710929751606032,,8653,130,43,100,5.0,0.25,10,tt_type1
bike,6,8,,98.82574689863976,0.6983076380528875,,8653,114,44,100,5.0,0.25,10,tt_type1
bike,6,8,,93.47293582753227,0.730104358519321,,8653,154,45,100,5.0,0.25,10,tt_type1
bike,6,8,,163.34499133582588,0.17579404334867044,,8653,19,46,100,5.0,0.25,10,tt_type1
bike,6,12,,156.75149653199242,0.24099000292752237,,18733,24,42,100,5.0,0.25,10,tt_type1
bike,6,12,,158.0028074282047,0.22882363325610255,,18733,24,43,100,5.0,0.25,10,tt_type1
bike,6,12,,159.54674215490877,0.21367879842876936,,18733,19,44,100,5.0,0.25,10,tt_type1
bike,6,12,,157.51460393941346,0.23358189483714087,,18733,19,45,100,5.0,0.25,10,tt_type1
bike,6,12,,157.48086611471984,0.2339101756423584,,18733,19,46,100,5.0,0.25,10,tt_type1
bike,6,16,,149.82246879264466,0.30660931539143277,,32653,19,42,100,5.0,0.25,10,tt_type1
bike,6,16,,144.41468164275994,0.35576131606089356,,32653,19,43,100,5.0,0.25,10,tt_type1
bike,6,16,,92.45776998649589,0.7359349446918634,,32653,113,44,100,5.0,0.25,10,tt_type1
bike,6,16,,151.2465887207775,0.29336477807697925,,32653,19,45,100,5.0,0.25,10,tt_type1
bike,6,16,,149.30418926358482,0.3113982982096458,,32653,19,46,100,5.0,0.25,10,tt_type1
