dataset,num_channels,num_layers,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,early_stopping
breast,16,1,,,0.9647058823529412,562,42,mlp,31
breast,16,1,,,0.9764705882352941,562,43,mlp,31
breast,16,1,,,0.9647058823529412,562,44,mlp,31
breast,16,1,,,0.9764705882352941,562,45,mlp,31
breast,16,1,,,0.9411764705882353,562,46,mlp,31
breast,64,1,,,0.9647058823529412,2242,42,mlp,31
breast,64,1,,,0.9764705882352941,2242,43,mlp,31
breast,64,1,,,0.9647058823529412,2242,44,mlp,31
breast,64,1,,,0.9529411764705882,2242,45,mlp,31
breast,64,1,,,0.9647058823529412,2242,46,mlp,31
breast,256,1,,,0.9647058823529412,8962,42,mlp,31
breast,256,1,,,0.9647058823529412,8962,43,mlp,31
breast,256,1,,,0.9529411764705882,8962,44,mlp,31
breast,256,1,,,0.9529411764705882,8962,45,mlp,31
breast,256,1,,,0.9647058823529412,8962,46,mlp,31
breast,16,3,,,0.9647058823529412,1170,42,mlp,31
breast,16,3,,,0.9647058823529412,1170,43,mlp,31
breast,16,3,,,0.9529411764705882,1170,44,mlp,31
breast,16,3,,,0.9647058823529412,1170,45,mlp,31
breast,16,3,,,0.9764705882352941,1170,46,mlp,31
breast,64,3,,,0.9529411764705882,10818,42,mlp,31
breast,64,3,,,0.9647058823529412,10818,43,mlp,31
breast,64,3,,,0.9647058823529412,10818,44,mlp,31
breast,64,3,,,0.9529411764705882,10818,45,mlp,31
breast,64,3,,,0.9764705882352941,10818,46,mlp,31
breast,256,3,,,0.9529411764705882,141570,42,mlp,31
breast,256,3,,,0.9647058823529412,141570,43,mlp,31
breast,256,3,,,0.9529411764705882,141570,44,mlp,31
breast,256,3,,,0.9411764705882353,141570,45,mlp,31
breast,256,3,,,0.9647058823529412,141570,46,mlp,31
breast,16,5,,,0.9647058823529412,1778,42,mlp,31
breast,16,5,,,0.9647058823529412,1778,43,mlp,31
breast,16,5,,,0.9764705882352941,1778,44,mlp,31
breast,16,5,,,0.9529411764705882,1778,45,mlp,31
breast,16,5,,,0.9647058823529412,1778,46,mlp,31
breast,64,5,,,0.9411764705882353,19394,42,mlp,31
breast,64,5,,,0.9529411764705882,19394,43,mlp,31
breast,64,5,,,0.9529411764705882,19394,44,mlp,31
breast,64,5,,,0.9647058823529412,19394,45,mlp,31
breast,64,5,,,0.9529411764705882,19394,46,mlp,31
breast,256,5,,,0.9411764705882353,274178,42,mlp,31
breast,256,5,,,0.9529411764705882,274178,43,mlp,31
breast,256,5,,,0.9647058823529412,274178,44,mlp,31
breast,256,5,,,0.9411764705882353,274178,45,mlp,31
breast,256,5,,,0.9647058823529412,274178,46,mlp,31
