dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
breast,2,4,,,,0.9647058823529412,248,16,42,100,5.0,0.25,10,tt
breast,2,4,,,,0.9647058823529412,248,17,43,100,5.0,0.25,10,tt
breast,2,4,,,,0.9647058823529412,248,16,44,100,5.0,0.25,10,tt
breast,2,4,,,,0.9529411764705882,248,15,45,100,5.0,0.25,10,tt
breast,2,4,,,,0.9764705882352941,248,13,46,100,5.0,0.25,10,tt
breast,2,8,,,,0.9647058823529412,496,13,42,100,5.0,0.25,10,tt
breast,2,8,,,,0.9647058823529412,496,15,43,100,5.0,0.25,10,tt
breast,2,8,,,,0.9647058823529412,496,13,44,100,5.0,0.25,10,tt
breast,2,8,,,,0.9529411764705882,496,13,45,100,5.0,0.25,10,tt
breast,2,8,,,,0.9529411764705882,496,10,46,100,5.0,0.25,10,tt
breast,2,12,,,,0.9647058823529412,744,13,42,100,5.0,0.25,10,tt
breast,2,12,,,,0.9529411764705882,744,13,43,100,5.0,0.25,10,tt
breast,2,12,,,,0.9647058823529412,744,15,44,100,5.0,0.25,10,tt
breast,2,12,,,,0.9647058823529412,744,15,45,100,5.0,0.25,10,tt
breast,2,12,,,,0.9647058823529412,744,13,46,100,5.0,0.25,10,tt
breast,2,16,,,,0.9647058823529412,992,15,42,100,5.0,0.25,10,tt
breast,2,16,,,,0.9647058823529412,992,15,43,100,5.0,0.25,10,tt
breast,2,16,,,,0.9647058823529412,992,15,44,100,5.0,0.25,10,tt
breast,2,16,,,,0.9647058823529412,992,15,45,100,5.0,0.25,10,tt
breast,2,16,,,,0.9647058823529412,992,13,46,100,5.0,0.25,10,tt
breast,3,4,,,,0.9647058823529412,744,12,42,100,5.0,0.25,10,tt
breast,3,4,,,,0.9764705882352941,744,15,43,100,5.0,0.25,10,tt
breast,3,4,,,,0.9764705882352941,744,12,44,100,5.0,0.25,10,tt
breast,3,4,,,,0.9764705882352941,744,10,45,100,5.0,0.25,10,tt
breast,3,4,,,,0.9647058823529412,744,12,46,100,5.0,0.25,10,tt
breast,3,8,,,,0.9882352941176471,2480,10,42,100,5.0,0.25,10,tt
breast,3,8,,,,0.9764705882352941,2480,10,43,100,5.0,0.25,10,tt
breast,3,8,,,,0.9764705882352941,2480,11,44,100,5.0,0.25,10,tt
breast,3,8,,,,0.9764705882352941,2480,9,45,100,5.0,0.25,10,tt
breast,3,8,,,,0.9764705882352941,2480,10,46,100,5.0,0.25,10,tt
breast,3,12,,,,0.9764705882352941,5208,11,42,100,5.0,0.25,10,tt
breast,3,12,,,,0.9647058823529412,5208,10,43,100,5.0,0.25,10,tt
breast,3,12,,,,0.9764705882352941,5208,11,44,100,5.0,0.25,10,tt
breast,3,12,,,,0.9647058823529412,5208,11,45,100,5.0,0.25,10,tt
breast,3,12,,,,0.9764705882352941,5208,12,46,100,5.0,0.25,10,tt
breast,3,16,,,,0.9764705882352941,8928,10,42,100,5.0,0.25,10,tt
breast,3,16,,,,0.9764705882352941,8928,15,43,100,5.0,0.25,10,tt
breast,3,16,,,,0.9764705882352941,8928,15,44,100,5.0,0.25,10,tt
breast,3,16,,,,0.9764705882352941,8928,13,45,100,5.0,0.25,10,tt
breast,3,16,,,,0.9647058823529412,8928,14,46,100,5.0,0.25,10,tt
breast,4,4,,,,0.9647058823529412,1240,16,42,100,5.0,0.25,10,tt
breast,4,4,,,,0.9764705882352941,1240,16,43,100,5.0,0.25,10,tt
breast,4,4,,,,0.7058823529411765,1240,7,44,100,5.0,0.25,10,tt
breast,4,4,,,,0.9647058823529412,1240,12,45,100,5.0,0.25,10,tt
breast,4,4,,,,0.9764705882352941,1240,15,46,100,5.0,0.25,10,tt
breast,4,8,,,,0.9647058823529412,4464,13,42,100,5.0,0.25,10,tt
breast,4,8,,,,0.9647058823529412,4464,9,43,100,5.0,0.25,10,tt
breast,4,8,,,,0.9647058823529412,4464,14,44,100,5.0,0.25,10,tt
breast,4,8,,,,0.9647058823529412,4464,14,45,100,5.0,0.25,10,tt
breast,4,8,,,,0.9411764705882353,4464,10,46,100,5.0,0.25,10,tt
breast,4,12,,,,0.9529411764705882,9672,10,42,100,5.0,0.25,10,tt
breast,4,12,,,,0.9294117647058824,9672,9,43,100,5.0,0.25,10,tt
breast,4,12,,,,0.9529411764705882,9672,10,44,100,5.0,0.25,10,tt
breast,4,12,,,,0.9529411764705882,9672,10,45,100,5.0,0.25,10,tt
breast,4,12,,,,0.9529411764705882,9672,10,46,100,5.0,0.25,10,tt
breast,4,16,,,,0.9411764705882353,16864,10,42,100,5.0,0.25,10,tt
breast,4,16,,,,0.9294117647058824,16864,9,43,100,5.0,0.25,10,tt
breast,4,16,,,,0.9411764705882353,16864,10,44,100,5.0,0.25,10,tt
breast,4,16,,,,0.9529411764705882,16864,10,45,100,5.0,0.25,10,tt
breast,4,16,,,,0.9411764705882353,16864,9,46,100,5.0,0.25,10,tt
breast,5,4,,,,0.7058823529411765,1736,7,42,100,5.0,0.25,10,tt
breast,5,4,,,,0.9647058823529412,1736,18,43,100,5.0,0.25,10,tt
breast,5,4,,,,0.9764705882352941,1736,20,44,100,5.0,0.25,10,tt
breast,5,4,,,,0.9764705882352941,1736,14,45,100,5.0,0.25,10,tt
breast,5,4,,,,0.9647058823529412,1736,16,46,100,5.0,0.25,10,tt
breast,5,8,,,,0.9529411764705882,6448,11,42,100,5.0,0.25,10,tt
breast,5,8,,,,0.9647058823529412,6448,12,43,100,5.0,0.25,10,tt
breast,5,8,,,,0.9529411764705882,6448,12,44,100,5.0,0.25,10,tt
breast,5,8,,,,0.9176470588235294,6448,10,45,100,5.0,0.25,10,tt
breast,5,8,,,,0.9411764705882353,6448,10,46,100,5.0,0.25,10,tt
breast,5,12,,,,0.9764705882352941,14136,10,42,100,5.0,0.25,10,tt
breast,5,12,,,,0.9176470588235294,14136,10,43,100,5.0,0.25,10,tt
breast,5,12,,,,0.9411764705882353,14136,9,44,100,5.0,0.25,10,tt
breast,5,12,,,,0.9411764705882353,14136,10,45,100,5.0,0.25,10,tt
breast,5,12,,,,0.9411764705882353,14136,10,46,100,5.0,0.25,10,tt
breast,5,16,,,,0.9529411764705882,24800,10,42,100,5.0,0.25,10,tt
breast,5,16,,,,0.9529411764705882,24800,9,43,100,5.0,0.25,10,tt
breast,5,16,,,,0.9529411764705882,24800,11,44,100,5.0,0.25,10,tt
breast,5,16,,,,0.9647058823529412,24800,10,45,100,5.0,0.25,10,tt
breast,5,16,,,,0.9529411764705882,24800,9,46,100,5.0,0.25,10,tt
breast,6,4,,,,0.5647058823529412,2232,5,42,100,5.0,0.25,10,tt
breast,6,4,,,,0.9764705882352941,2232,15,43,100,5.0,0.25,10,tt
breast,6,4,,,,0.9764705882352941,2232,19,44,100,5.0,0.25,10,tt
breast,6,4,,,,0.6,2232,6,45,100,5.0,0.25,10,tt
breast,6,4,,,,0.9882352941176471,2232,24,46,100,5.0,0.25,10,tt
breast,6,8,,,,0.9647058823529412,8432,17,42,100,5.0,0.25,10,tt
breast,6,8,,,,0.9882352941176471,8432,16,43,100,5.0,0.25,10,tt
breast,6,8,,,,0.9294117647058824,8432,11,44,100,5.0,0.25,10,tt
breast,6,8,,,,0.9529411764705882,8432,11,45,100,5.0,0.25,10,tt
breast,6,8,,,,0.9647058823529412,8432,20,46,100,5.0,0.25,10,tt
breast,6,12,,,,0.9294117647058824,18600,11,42,100,5.0,0.25,10,tt
breast,6,12,,,,0.8705882352941177,18600,11,43,100,5.0,0.25,10,tt
breast,6,12,,,,0.9764705882352941,18600,18,44,100,5.0,0.25,10,tt
breast,6,12,,,,0.9294117647058824,18600,12,45,100,5.0,0.25,10,tt
breast,6,12,,,,0.8588235294117647,18600,13,46,100,5.0,0.25,10,tt
breast,6,16,,,,0.8705882352941177,32736,13,42,100,5.0,0.25,10,tt
breast,6,16,,,,0.9294117647058824,32736,11,43,100,5.0,0.25,10,tt
breast,6,16,,,,0.9411764705882353,32736,11,44,100,5.0,0.25,10,tt
breast,6,16,,,,0.9411764705882353,32736,10,45,100,5.0,0.25,10,tt
breast,6,16,,,,0.9294117647058824,32736,11,46,100,5.0,0.25,10,tt
