dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
breast,2,4,0.25,,,0.9647058823529412,248,17,42,100,5.0,0.25,10,tt_lin
breast,2,4,0.25,,,0.9647058823529412,248,13,43,100,5.0,0.25,10,tt_lin
breast,2,4,0.25,,,0.9647058823529412,248,16,44,100,5.0,0.25,10,tt_lin
breast,2,4,0.25,,,0.9647058823529412,248,19,45,100,5.0,0.25,10,tt_lin
breast,2,4,0.25,,,0.9647058823529412,248,12,46,100,5.0,0.25,10,tt_lin
breast,2,4,0.5,,,0.9647058823529412,248,12,42,100,5.0,0.25,10,tt_lin
breast,2,4,0.5,,,0.9647058823529412,248,13,43,100,5.0,0.25,10,tt_lin
breast,2,4,0.5,,,0.9647058823529412,248,17,44,100,5.0,0.25,10,tt_lin
breast,2,4,0.5,,,0.9647058823529412,248,13,45,100,5.0,0.25,10,tt_lin
breast,2,4,0.5,,,0.9647058823529412,248,17,46,100,5.0,0.25,10,tt_lin
breast,2,4,0.75,,,0.9647058823529412,248,17,42,100,5.0,0.25,10,tt_lin
breast,2,4,0.75,,,0.9647058823529412,248,14,43,100,5.0,0.25,10,tt_lin
breast,2,4,0.75,,,0.9647058823529412,248,15,44,100,5.0,0.25,10,tt_lin
breast,2,4,0.75,,,0.9647058823529412,248,16,45,100,5.0,0.25,10,tt_lin
breast,2,4,0.75,,,0.9647058823529412,248,13,46,100,5.0,0.25,10,tt_lin
breast,2,8,0.25,,,0.9647058823529412,496,15,42,100,5.0,0.25,10,tt_lin
breast,2,8,0.25,,,0.9647058823529412,496,13,43,100,5.0,0.25,10,tt_lin
breast,2,8,0.25,,,0.9529411764705882,496,13,44,100,5.0,0.25,10,tt_lin
breast,2,8,0.25,,,0.9647058823529412,496,13,45,100,5.0,0.25,10,tt_lin
breast,2,8,0.25,,,0.9647058823529412,496,13,46,100,5.0,0.25,10,tt_lin
breast,2,8,0.5,,,0.9529411764705882,496,13,42,100,5.0,0.25,10,tt_lin
breast,2,8,0.5,,,0.9647058823529412,496,13,43,100,5.0,0.25,10,tt_lin
breast,2,8,0.5,,,0.9529411764705882,496,13,44,100,5.0,0.25,10,tt_lin
breast,2,8,0.5,,,0.9647058823529412,496,11,45,100,5.0,0.25,10,tt_lin
breast,2,8,0.5,,,0.9647058823529412,496,15,46,100,5.0,0.25,10,tt_lin
breast,2,8,0.75,,,0.9647058823529412,496,15,42,100,5.0,0.25,10,tt_lin
breast,2,8,0.75,,,0.9647058823529412,496,13,43,100,5.0,0.25,10,tt_lin
breast,2,8,0.75,,,0.9647058823529412,496,15,44,100,5.0,0.25,10,tt_lin
