dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,2,4,,9.298221684646151,0.700215794469376,,73,54,42,100,5.0,0.25,10,cpd_type1
concrete,2,4,,9.347077542187499,0.6970571921246907,,73,55,43,100,5.0,0.25,10,cpd_type1
concrete,2,4,,9.35574048661378,0.6964953923870671,,73,54,44,100,5.0,0.25,10,cpd_type1
concrete,2,4,,9.363068883166223,0.6960197329270001,,73,55,45,100,5.0,0.25,10,cpd_type1
concrete,2,4,,9.385065489202976,0.6945897768772904,,73,55,46,100,5.0,0.25,10,cpd_type1
concrete,2,8,,9.403581352882933,0.693383496027253,,137,55,42,100,5.0,0.25,10,cpd_type1
concrete,2,8,,9.403828237272277,0.6933673958162345,,137,54,43,100,5.0,0.25,10,cpd_type1
concrete,2,8,,9.396348516421945,0.6938549874863321,,137,55,44,100,5.0,0.25,10,cpd_type1
concrete,2,8,,9.397259427067823,0.6937956273491717,,137,54,46,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.44742350986865,0.6905177653446943,,201,54,42,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.44792259301998,0.6904850661757443,,201,54,43,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.448463726864682,0.690449609957515,,201,54,44,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.449459296393773,0.6903843728605404,,201,54,45,100,5.0,0.25,10,cpd_type1
concrete,2,12,,9.446998715680541,0.6905455958529468,,201,54,46,100,5.0,0.25,10,cpd_type1
concrete,2,16,,9.740215348819246,0.6710377426522636,,265,51,42,100,5.0,0.25,10,cpd_type1
concrete,2,16,,9.739408988466602,0.6710922078015962,,265,51,43,100,5.0,0.25,10,cpd_type1
concrete,2,16,,9.65917167213926,0.6764892436758945,,265,53,44,100,5.0,0.25,10,cpd_type1
concrete,2,16,,9.740490949668127,0.6710191263164274,,265,50,45,100,5.0,0.25,10,cpd_type1
concrete,2,16,,9.657996142310047,0.6765679819809631,,265,53,46,100,5.0,0.25,10,cpd_type1
concrete,2,64,,9.84058444984273,0.6642231575939429,,1033,50,42,100,5.0,0.25,10,cpd_type1
concrete,2,64,,9.84045608276498,0.6642319177262552,,1033,50,43,100,5.0,0.25,10,cpd_type1
concrete,2,64,,9.840092868934642,0.6642567038458285,,1033,50,44,100,5.0,0.25,10,cpd_type1
concrete,2,64,,10.065114604580778,0.6487256782971427,,1033,49,45,100,5.0,0.25,10,cpd_type1
concrete,2,64,,10.065417601556733,0.6487045286801872,,1033,49,46,100,5.0,0.25,10,cpd_type1
concrete,2,144,,9.86650824234088,0.6624517028929919,,2313,50,42,100,5.0,0.25,10,cpd_type1
concrete,2,144,,9.866640264725861,0.6624426694582068,,2313,50,43,100,5.0,0.25,10,cpd_type1
concrete,2,144,,9.86665453943247,0.662441692725456,,2313,50,44,100,5.0,0.25,10,cpd_type1
concrete,2,144,,9.866734900768945,0.6624361940537287,,2313,50,45,100,5.0,0.25,10,cpd_type1
concrete,2,144,,9.866312908045108,0.6624650681291233,,2313,50,46,100,5.0,0.25,10,cpd_type1
concrete,2,256,,10.11100976824698,0.6455148755593143,,4105,49,42,100,5.0,0.25,10,cpd_type1
concrete,2,256,,10.111221791016572,0.6455000086552943,,4105,49,43,100,5.0,0.25,10,cpd_type1
concrete,2,256,,10.111337104894453,0.6454919227874026,,4105,49,44,100,5.0,0.25,10,cpd_type1
concrete,2,256,,10.111272983843445,0.6454964189995633,,4105,49,45,100,5.0,0.25,10,cpd_type1
concrete,2,256,,10.111054846555541,0.6455117147226012,,4105,49,46,100,5.0,0.25,10,cpd_type1
concrete,3,4,,10.265327218961136,0.6346117726798489,,169,138,42,100,5.0,0.25,10,cpd_type1
concrete,3,4,,9.17093171566202,0.7083675308101541,,169,138,43,100,5.0,0.25,10,cpd_type1
concrete,3,4,,12.66209023570535,0.4440704443381047,,169,44,44,100,5.0,0.25,10,cpd_type1
concrete,3,4,,11.216468209115849,0.563764288955034,,169,92,45,100,5.0,0.25,10,cpd_type1
concrete,3,4,,10.130073573597905,0.6441768872973646,,169,138,46,100,5.0,0.25,10,cpd_type1
concrete,3,8,,11.475525830577356,0.5433808249929937,,329,85,42,100,5.0,0.25,10,cpd_type1
concrete,3,8,,9.997949498643724,0.6533981848611973,,329,138,43,100,5.0,0.25,10,cpd_type1
concrete,3,8,,11.303888062903306,0.55693784879067,,329,95,44,100,5.0,0.25,10,cpd_type1
concrete,3,8,,10.148191103555442,0.6429029773445248,,329,138,45,100,5.0,0.25,10,cpd_type1
concrete,3,8,,10.32500240223118,0.6303512192511973,,329,138,46,100,5.0,0.25,10,cpd_type1
concrete,3,12,,8.983528185272084,0.7201644894412184,,489,131,42,100,5.0,0.25,10,cpd_type1
concrete,3,12,,12.834053120891,0.4288678337680142,,489,56,43,100,5.0,0.25,10,cpd_type1
concrete,3,12,,12.279318967418893,0.47717359069725207,,489,47,44,100,5.0,0.25,10,cpd_type1
concrete,3,12,,9.195399647377437,0.7068093113254836,,489,131,45,100,5.0,0.25,10,cpd_type1
concrete,3,12,,10.106838143869787,0.645807323843181,,489,128,46,100,5.0,0.25,10,cpd_type1
concrete,3,16,,10.429454124562284,0.6228343685163258,,649,128,42,100,5.0,0.25,10,cpd_type1
concrete,3,16,,9.452119066603727,0.690210051284397,,649,129,43,100,5.0,0.25,10,cpd_type1
concrete,3,16,,12.709506032022073,0.4398990639408551,,649,57,44,100,5.0,0.25,10,cpd_type1
concrete,3,16,,9.748123075794231,0.6705033808150331,,649,128,45,100,5.0,0.25,10,cpd_type1
concrete,3,16,,12.281789092023995,0.4769632245888703,,649,54,46,100,5.0,0.25,10,cpd_type1
concrete,3,64,,9.75643338668332,0.6699413471820809,,2569,128,42,100,5.0,0.25,10,cpd_type1
concrete,3,64,,9.671936501682339,0.6756336240727452,,2569,122,43,100,5.0,0.25,10,cpd_type1
concrete,3,64,,9.75407351669575,0.6701009959551676,,2569,122,44,100,5.0,0.25,10,cpd_type1
concrete,3,64,,9.797361806224137,0.6671663343738733,,2569,128,45,100,5.0,0.25,10,cpd_type1
concrete,3,64,,9.85225685651474,0.6634261219446724,,2569,128,46,100,5.0,0.25,10,cpd_type1
concrete,3,144,,10.07180549497975,0.6482584964944995,,5769,121,42,100,5.0,0.25,10,cpd_type1
concrete,3,144,,9.98085992190664,0.6545820708097763,,5769,121,43,100,5.0,0.25,10,cpd_type1
concrete,3,144,,9.934469591931464,0.6577855647994462,,5769,126,44,100,5.0,0.25,10,cpd_type1
concrete,3,144,,9.904066410674387,0.6598769672085658,,5769,128,45,100,5.0,0.25,10,cpd_type1
concrete,3,144,,10.018416408295362,0.6519776677835358,,5769,121,46,100,5.0,0.25,10,cpd_type1
concrete,3,256,,10.126508456115918,0.6444272957405445,,10249,121,42,100,5.0,0.25,10,cpd_type1
concrete,3,256,,10.132550564669463,0.6440028553078512,,10249,121,43,100,5.0,0.25,10,cpd_type1
concrete,3,256,,10.060702498821026,0.6490335773770108,,10249,121,44,100,5.0,0.25,10,cpd_type1
concrete,3,256,,10.10145453274531,0.6461845590867271,,10249,121,45,100,5.0,0.25,10,cpd_type1
concrete,3,256,,10.108049650587754,0.6457224045995902,,10249,121,46,100,5.0,0.25,10,cpd_type1
concrete,4,4,,12.309655738367143,0.47458705350229247,,297,93,42,100,5.0,0.25,10,cpd_type1
concrete,4,4,,13.119858016597188,0.4031472138087596,,297,70,43,100,5.0,0.25,10,cpd_type1
concrete,4,4,,12.22991755768484,0.4813719352775562,,297,86,44,100,5.0,0.25,10,cpd_type1
concrete,4,4,,12.620268123623044,0.44773678233502034,,297,109,45,100,5.0,0.25,10,cpd_type1
concrete,4,4,,12.179067565636009,0.4856757103656375,,297,91,46,100,5.0,0.25,10,cpd_type1
concrete,4,8,,10.238204466679992,0.6365400584061076,,585,93,42,100,5.0,0.25,10,cpd_type1
concrete,4,8,,16.004962174243673,0.11178468035032152,,585,54,43,100,5.0,0.25,10,cpd_type1
concrete,4,8,,15.454145119043353,0.171869218738948,,585,53,44,100,5.0,0.25,10,cpd_type1
concrete,4,8,,12.2489413728085,0.47975721335497523,,585,78,45,100,5.0,0.25,10,cpd_type1
concrete,4,8,,11.370704536767237,0.5516845512344533,,585,102,46,100,5.0,0.25,10,cpd_type1
concrete,4,12,,15.075421241002369,0.21196071626632396,,873,54,42,100,5.0,0.25,10,cpd_type1
concrete,4,12,,12.69824005249714,0.4408915948801082,,873,73,43,100,5.0,0.25,10,cpd_type1
concrete,4,12,,15.320464076361096,0.18613420396404912,,873,60,44,100,5.0,0.25,10,cpd_type1
concrete,4,12,,9.531466273701946,0.6849870655559108,,873,232,45,100,5.0,0.25,10,cpd_type1
concrete,4,12,,14.600589480599092,0.2608208031424697,,873,52,46,100,5.0,0.25,10,cpd_type1
concrete,4,16,,14.271813566907944,0.2937356531503035,,1161,70,42,100,5.0,0.25,10,cpd_type1
concrete,4,16,,9.037911433385565,0.7167661748576907,,1161,162,43,100,5.0,0.25,10,cpd_type1
concrete,4,16,,15.289554236166598,0.1894149250086884,,1161,51,44,100,5.0,0.25,10,cpd_type1
concrete,4,16,,13.062427737388491,0.408361050709658,,1161,57,45,100,5.0,0.25,10,cpd_type1
concrete,4,16,,14.575013918648063,0.26340814602726115,,1161,55,46,100,5.0,0.25,10,cpd_type1
concrete,4,64,,13.484809989150948,0.3694803614483372,,4617,54,42,100,5.0,0.25,10,cpd_type1
concrete,4,64,,15.296491475752463,0.1886791941326933,,4617,36,43,100,5.0,0.25,10,cpd_type1
concrete,4,64,,11.134186083616315,0.5701411168849384,,4617,88,44,100,5.0,0.25,10,cpd_type1
concrete,4,64,,15.4301904218393,0.1744345172145323,,4617,33,45,100,5.0,0.25,10,cpd_type1
concrete,4,64,,8.654133737968353,0.7403094417242404,,4617,232,46,100,5.0,0.25,10,cpd_type1
concrete,4,144,,15.20428156432074,0.1984312775354533,,10377,39,42,100,5.0,0.25,10,cpd_type1
concrete,4,144,,11.16474542026984,0.5677782626449499,,10377,86,43,100,5.0,0.25,10,cpd_type1
concrete,4,144,,11.005996057742623,0.5799822335398332,,10377,77,44,100,5.0,0.25,10,cpd_type1
concrete,4,144,,14.319281971972002,0.28902973475618843,,10377,39,45,100,5.0,0.25,10,cpd_type1
concrete,4,144,,11.045404658668325,0.5769689766827703,,10377,76,46,100,5.0,0.25,10,cpd_type1
concrete,4,256,,11.896392421020991,0.509273491666228,,18441,74,42,100,5.0,0.25,10,cpd_type1
concrete,4,256,,16.314251293740615,0.07712421569013272,,18441,22,43,100,5.0,0.25,10,cpd_type1
concrete,4,256,,16.06625985321581,0.10496806961711891,,18441,21,44,100,5.0,0.25,10,cpd_type1
concrete,4,256,,16.103367143650864,0.10082889046381849,,18441,21,45,100,5.0,0.25,10,cpd_type1
concrete,4,256,,12.66866986580131,0.44349253640572606,,18441,58,46,100,5.0,0.25,10,cpd_type1
concrete,5,4,,14.457029312166135,0.2752852868442974,,457,78,42,100,5.0,0.25,10,cpd_type1
concrete,5,4,,12.910659209311177,0.42202934266647996,,457,107,43,100,5.0,0.25,10,cpd_type1
concrete,5,4,,18.873232366757584,-0.23509831502279188,,457,47,44,100,5.0,0.25,10,cpd_type1
concrete,5,4,,14.095077839304318,0.3111194666322774,,457,85,45,100,5.0,0.25,10,cpd_type1
concrete,5,4,,11.970093774719219,0.5031742912580985,,457,126,46,100,5.0,0.25,10,cpd_type1
concrete,5,8,,14.148293080855563,0.30590798126401364,,905,82,42,100,5.0,0.25,10,cpd_type1
concrete,5,8,,13.018831549907965,0.41230368072213597,,905,99,43,100,5.0,0.25,10,cpd_type1
concrete,5,8,,17.87589302280889,-0.10801196267490099,,905,45,44,100,5.0,0.25,10,cpd_type1
concrete,5,8,,11.6566291130145,0.5288546467193406,,905,139,45,100,5.0,0.25,10,cpd_type1
concrete,5,8,,12.626047119986781,0.4472308885112475,,905,100,46,100,5.0,0.25,10,cpd_type1
concrete,5,12,,14.083968503409592,0.312204950427993,,1353,79,42,100,5.0,0.25,10,cpd_type1
concrete,5,12,,14.053772855412562,0.3151510169068026,,1353,75,43,100,5.0,0.25,10,cpd_type1
concrete,5,12,,14.850544202224668,0.23529541720042113,,1353,74,44,100,5.0,0.25,10,cpd_type1
concrete,5,12,,21.39301194962418,-0.5869119217879217,,1353,19,45,100,5.0,0.25,10,cpd_type1
concrete,5,12,,15.118969080891945,0.20740137775740197,,1353,70,46,100,5.0,0.25,10,cpd_type1
concrete,5,16,,14.492783130954823,0.2716962563825749,,1801,73,42,100,5.0,0.25,10,cpd_type1
concrete,5,16,,14.517746977691399,0.26918508630583593,,1801,71,43,100,5.0,0.25,10,cpd_type1
concrete,5,16,,16.90732980100893,0.008805225447266363,,1801,47,44,100,5.0,0.25,10,cpd_type1
concrete,5,16,,10.914222172162932,0.5869576950770332,,1801,137,45,100,5.0,0.25,10,cpd_type1
concrete,5,16,,14.874202382193968,0.23285699756264655,,1801,70,46,100,5.0,0.25,10,cpd_type1
concrete,5,64,,12.610039070280699,0.44863166673435795,,7177,89,42,100,5.0,0.25,10,cpd_type1
concrete,5,64,,15.300060177075821,0.1883005845168978,,7177,49,43,100,5.0,0.25,10,cpd_type1
concrete,5,64,,15.108289367339863,0.20852073140540006,,7177,49,44,100,5.0,0.25,10,cpd_type1
concrete,5,64,,15.350307928077301,0.18296033833376957,,7177,43,45,100,5.0,0.25,10,cpd_type1
concrete,5,64,,14.922406502057221,0.2278766465423523,,7177,57,46,100,5.0,0.25,10,cpd_type1
concrete,5,144,,14.894135271357273,0.2307995262417033,,16137,49,42,100,5.0,0.25,10,cpd_type1
concrete,5,144,,16.334346922226633,0.07484924876044219,,16137,24,43,100,5.0,0.25,10,cpd_type1
concrete,5,144,,16.426230694774425,0.06441168061877445,,16137,24,44,100,5.0,0.25,10,cpd_type1
concrete,5,144,,16.567691795391458,0.048227901670161666,,16137,24,45,100,5.0,0.25,10,cpd_type1
concrete,5,144,,16.54439602481417,0.05090258641784928,,16137,22,46,100,5.0,0.25,10,cpd_type1
concrete,5,256,,15.725978799519226,0.14247986356240872,,28681,24,42,100,5.0,0.25,10,cpd_type1
