dataset,num_channels,num_layers,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,early_stopping
concrete,16,1,32.48318177349905,-2.658693932227343,,193,42,mlp,10
concrete,16,1,32.13300036309863,-2.580234829541991,,193,43,mlp,10
concrete,16,1,31.976970295280033,-2.5455497391460296,,193,44,mlp,10
concrete,16,1,32.12973238584073,-2.579506635417075,,193,45,mlp,10
concrete,16,1,32.18471477824638,-2.5917680655894517,,193,46,mlp,10
concrete,64,1,20.883872441821527,-0.5122758578554327,,769,42,mlp,10
concrete,64,1,21.16442957396747,-0.5531810777615567,,769,43,mlp,10
concrete,64,1,20.82766718459133,-0.5041467644156312,,769,44,mlp,10
concrete,64,1,20.482788894331737,-0.45474587115224296,,769,45,mlp,10
concrete,64,1,21.022041773510157,-0.5323527243880686,,769,46,mlp,10
concrete,256,1,10.320545344771391,0.6306702875067635,,3073,42,mlp,10
concrete,256,1,10.266089347420035,0.6345575156458605,,3073,43,mlp,10
concrete,256,1,10.021054212704096,0.6517943781977471,,3073,44,mlp,10
concrete,256,1,10.386343696140097,0.625945972760189,,3073,45,mlp,10
concrete,256,1,10.17905277790714,0.6407277385635874,,3073,46,mlp,10
concrete,16,3,32.31915693350982,-2.6218378423892887,,801,42,mlp,10
concrete,16,3,32.04978040158788,-2.5617142319702215,,801,43,mlp,10
concrete,16,3,32.05529766473683,-2.562940612048507,,801,44,mlp,10
concrete,16,3,31.465820956308246,-2.4331050259896614,,801,45,mlp,10
concrete,16,3,31.500201989407984,-2.440611468124246,,801,46,mlp,10
concrete,64,3,21.469945295654483,-0.5983461197718882,,9345,42,mlp,10
concrete,64,3,22.37652044665454,-0.7361772631855819,,9345,43,mlp,10
concrete,64,3,21.858500333071788,-0.6567221567596109,,9345,44,mlp,10
concrete,64,3,22.850782554746147,-0.8105524506433244,,9345,45,mlp,10
concrete,64,3,22.496524581435096,-0.7548492575051726,,9345,46,mlp,10
concrete,256,3,9.552462360212024,0.6835977045918173,,135681,42,mlp,10
concrete,256,3,9.717695180377804,0.6725571589901428,,135681,43,mlp,10
concrete,256,3,9.477803893084557,0.6885241410855722,,135681,44,mlp,10
concrete,256,3,9.51649980806028,0.6859755658830673,,135681,45,mlp,10
concrete,256,3,9.826359296865302,0.66519322692923,,135681,46,mlp,10
concrete,16,5,32.15415790309785,-2.5849510962271207,,1409,42,mlp,10
concrete,16,5,32.367157610057475,-2.6326041980436474,,1409,43,mlp,10
concrete,16,5,31.767526215574083,-2.499256268713932,,1409,44,mlp,10
concrete,16,5,31.111641395429686,-2.356253871138731,,1409,45,mlp,10
concrete,16,5,32.60576027496848,-2.6863589195594924,,1409,46,mlp,10
concrete,64,5,22.673999386920972,-0.782646440905796,,17921,42,mlp,10
concrete,64,5,23.239373850164775,-0.8726551110458332,,17921,43,mlp,10
concrete,64,5,23.19134788414044,-0.8649231350132915,,17921,44,mlp,10
concrete,64,5,22.26053443220957,-0.7182253758890824,,17921,45,mlp,10
concrete,64,5,23.297230292870562,-0.8819909934317729,,17921,46,mlp,10
concrete,256,5,11.152977810007512,0.5686889034758087,,268289,42,mlp,10
concrete,256,5,10.836628452262858,0.5928097955519203,,268289,43,mlp,10
concrete,256,5,11.329206383625356,0.5549508949042061,,268289,44,mlp,10
concrete,256,5,10.213302193448436,0.638305987481887,,268289,45,mlp,10
concrete,256,5,10.900140586255702,0.5880228261517411,,268289,46,mlp,10
