dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,2,4,,8.041049348468688,0.7758006185098144,,72,18,42,100,5.0,0.25,10,tt
concrete,2,4,,8.02793636972935,0.7765312506574409,,72,18,43,100,5.0,0.25,10,tt
concrete,2,4,,8.11462983541687,0.7716787243744418,,72,18,44,100,5.0,0.25,10,tt
concrete,2,4,,8.100743528376867,0.7724594935727828,,72,26,45,100,5.0,0.25,10,tt
concrete,2,4,,8.001812804525072,0.7779832557144708,,72,18,46,100,5.0,0.25,10,tt
concrete,2,8,,8.013209264822164,0.777350397416879,,144,18,42,100,5.0,0.25,10,tt
concrete,2,8,,8.006282351766911,0.7777351640661787,,144,18,43,100,5.0,0.25,10,tt
concrete,2,8,,8.038533365716612,0.7759408970988344,,144,18,44,100,5.0,0.25,10,tt
concrete,2,8,,8.007085888896102,0.777690547350783,,144,18,45,100,5.0,0.25,10,tt
concrete,2,8,,8.02884717783575,0.7764805405657835,,144,18,46,100,5.0,0.25,10,tt
concrete,2,12,,8.009702721529141,0.7775452156533222,,216,18,42,100,5.0,0.25,10,tt
concrete,2,12,,8.018889262522096,0.7770346444148089,,216,18,43,100,5.0,0.25,10,tt
concrete,2,12,,8.028515534087905,0.7764990058070813,,216,18,44,100,5.0,0.25,10,tt
concrete,2,12,,8.019820272286577,0.7769828679238759,,216,16,45,100,5.0,0.25,10,tt
concrete,2,12,,8.000131113424862,0.7780765656576885,,216,18,46,100,5.0,0.25,10,tt
concrete,2,16,,8.004600477010898,0.7778285363296205,,288,16,42,100,5.0,0.25,10,tt
concrete,2,16,,8.014603008356673,0.7772729394545091,,288,18,43,100,5.0,0.25,10,tt
concrete,2,16,,7.970603497903097,0.7797117330783608,,288,16,44,100,5.0,0.25,10,tt
concrete,2,16,,8.006900095513622,0.7777008639994467,,288,16,45,100,5.0,0.25,10,tt
concrete,2,16,,8.040628556984972,0.775824082791114,,288,16,46,100,5.0,0.25,10,tt
concrete,3,4,,6.3043317253800435,0.8621879892181565,,216,52,42,100,5.0,0.25,10,tt
concrete,3,4,,6.071811438941727,0.8721662564124988,,216,51,43,100,5.0,0.25,10,tt
concrete,3,4,,6.403455819193606,0.8578202356133867,,216,41,44,100,5.0,0.25,10,tt
concrete,3,4,,6.473692416490007,0.8546841196444704,,216,51,45,100,5.0,0.25,10,tt
concrete,3,4,,6.441896107400818,0.8561080864511558,,216,32,46,100,5.0,0.25,10,tt
concrete,3,8,,5.492211185975375,0.895406809232791,,720,49,42,100,5.0,0.25,10,tt
concrete,3,8,,5.475540069452704,0.8960408121184602,,720,49,43,100,5.0,0.25,10,tt
concrete,3,8,,5.461160519061411,0.8965861185062339,,720,49,44,100,5.0,0.25,10,tt
concrete,3,8,,5.48227540999007,0.8957848990307775,,720,49,45,100,5.0,0.25,10,tt
concrete,3,8,,5.465366795416609,0.8964267549862469,,720,49,46,100,5.0,0.25,10,tt
concrete,3,12,,5.452419374960597,0.8969169024853663,,1512,45,42,100,5.0,0.25,10,tt
concrete,3,12,,5.45173541177294,0.8969427627932293,,1512,42,43,100,5.0,0.25,10,tt
concrete,3,12,,5.451680695880437,0.8969448314337592,,1512,46,44,100,5.0,0.25,10,tt
concrete,3,12,,5.448822552112107,0.8970528602393899,,1512,45,45,100,5.0,0.25,10,tt
concrete,3,12,,5.452565128088795,0.8969113912127686,,1512,45,46,100,5.0,0.25,10,tt
concrete,3,16,,5.449666109420224,0.8970209823305556,,2592,49,42,100,5.0,0.25,10,tt
concrete,3,16,,5.449601625444016,0.8970234193448992,,2592,45,43,100,5.0,0.25,10,tt
concrete,3,16,,5.450248742716917,0.8969989618211706,,2592,42,44,100,5.0,0.25,10,tt
concrete,3,16,,5.450672889666903,0.8969829297910121,,2592,41,45,100,5.0,0.25,10,tt
concrete,3,16,,5.452366125509519,0.8969189159370751,,2592,41,46,100,5.0,0.25,10,tt
concrete,4,4,,5.059195336628426,0.911249286910853,,360,41,42,100,5.0,0.25,10,tt
concrete,4,4,,4.669996060133604,0.9243790752996881,,360,71,43,100,5.0,0.25,10,tt
concrete,4,4,,5.044778191729596,0.9117543904579672,,360,53,44,100,5.0,0.25,10,tt
concrete,4,4,,4.793883060824883,0.9203136697222379,,360,47,45,100,5.0,0.25,10,tt
concrete,4,4,,4.74224376318434,0.9220211720336582,,360,48,46,100,5.0,0.25,10,tt
concrete,4,8,,4.634503545264794,0.925524163000625,,1296,37,42,100,5.0,0.25,10,tt
concrete,4,8,,4.863525986561597,0.9179815728323225,,1296,42,43,100,5.0,0.25,10,tt
concrete,4,8,,4.625149095817125,0.9258245090217184,,1296,31,44,100,5.0,0.25,10,tt
concrete,4,8,,4.820834074125131,0.9194151645830329,,1296,41,45,100,5.0,0.25,10,tt
concrete,4,8,,4.557734450034066,0.9279710653482866,,1296,34,46,100,5.0,0.25,10,tt
concrete,4,12,,4.498917696695779,0.9298181112596733,,2808,34,42,100,5.0,0.25,10,tt
concrete,4,12,,4.6809853558691,0.9240227587370164,,2808,31,43,100,5.0,0.25,10,tt
concrete,4,12,,4.7274985001325325,0.9225053439987883,,2808,34,44,100,5.0,0.25,10,tt
concrete,4,12,,4.677351757697627,0.9241406670808688,,2808,33,45,100,5.0,0.25,10,tt
concrete,4,12,,5.134839065311027,0.9085754927013195,,2808,39,46,100,5.0,0.25,10,tt
concrete,4,16,,5.300117790694747,0.9025952808674463,,4896,34,42,100,5.0,0.25,10,tt
concrete,4,16,,4.684679097645629,0.9239028049175975,,4896,35,43,100,5.0,0.25,10,tt
concrete,4,16,,4.926368478784717,0.9158483296539465,,4896,35,44,100,5.0,0.25,10,tt
concrete,4,16,,4.840960285029561,0.9187409024587858,,4896,33,45,100,5.0,0.25,10,tt
concrete,4,16,,5.132326736339872,0.9086649335758896,,4896,34,46,100,5.0,0.25,10,tt
concrete,5,4,,4.495040535848341,0.9299390244388314,,504,52,42,100,5.0,0.25,10,tt
concrete,5,4,,4.72285568655712,0.9226574822032992,,504,55,43,100,5.0,0.25,10,tt
concrete,5,4,,4.6580688908252394,0.924764853693792,,504,63,44,100,5.0,0.25,10,tt
concrete,5,4,,4.642179597167716,0.9252772524881436,,504,64,45,100,5.0,0.25,10,tt
concrete,5,4,,4.823219455268699,0.9193353970153664,,504,65,46,100,5.0,0.25,10,tt
concrete,5,8,,4.687107102767921,0.9238239042048589,,1872,46,42,100,5.0,0.25,10,tt
concrete,5,8,,4.462126226397911,0.9309612914897658,,1872,43,43,100,5.0,0.25,10,tt
concrete,5,8,,4.344423521864108,0.9345554828022407,,1872,49,44,100,5.0,0.25,10,tt
concrete,5,8,,4.539679403764649,0.9285406070294442,,1872,43,45,100,5.0,0.25,10,tt
concrete,5,8,,4.2512846148371155,0.9373314974499302,,1872,53,46,100,5.0,0.25,10,tt
concrete,5,12,,4.0178769763493145,0.9440239530512898,,4104,43,42,100,5.0,0.25,10,tt
concrete,5,12,,4.505683997246717,0.9296068476250554,,4104,46,43,100,5.0,0.25,10,tt
concrete,5,12,,4.788093451008981,0.920506029095407,,4104,42,44,100,5.0,0.25,10,tt
concrete,5,12,,4.148507704700222,0.9403249547034432,,4104,41,45,100,5.0,0.25,10,tt
concrete,5,12,,4.557679305932296,0.9279728082961998,,4104,36,46,100,5.0,0.25,10,tt
concrete,5,16,,4.114494263320672,0.9412994895801705,,7200,43,42,100,5.0,0.25,10,tt
concrete,5,16,,4.05931282596059,0.9428634521241271,,7200,44,43,100,5.0,0.25,10,tt
concrete,5,16,,4.743366200693818,0.9219842541846,,7200,42,44,100,5.0,0.25,10,tt
concrete,5,16,,4.520832995402242,0.9291327005540608,,7200,41,45,100,5.0,0.25,10,tt
concrete,5,16,,4.139926741259165,0.940571568582244,,7200,40,46,100,5.0,0.25,10,tt
concrete,6,4,,4.336464941769348,0.9347950397234533,,648,88,42,100,5.0,0.25,10,tt
concrete,6,4,,5.311587180330713,0.9021732595108516,,648,69,43,100,5.0,0.25,10,tt
concrete,6,4,,6.911511324804564,0.8343638973239766,,648,53,44,100,5.0,0.25,10,tt
concrete,6,4,,4.752795599377382,0.9216737688729443,,648,76,45,100,5.0,0.25,10,tt
concrete,6,4,,4.504398293503292,0.9296470154782573,,648,103,46,100,5.0,0.25,10,tt
concrete,6,8,,4.972531383606964,0.9142638414314039,,2448,42,42,100,5.0,0.25,10,tt
concrete,6,8,,4.438318588019645,0.9316960370734726,,2448,57,43,100,5.0,0.25,10,tt
concrete,6,8,,4.80108536363476,0.9200740492708923,,2448,59,44,100,5.0,0.25,10,tt
concrete,6,8,,4.467532185236203,0.9307939064900324,,2448,55,45,100,5.0,0.25,10,tt
concrete,6,8,,4.862672839574245,0.9180103452237648,,2448,52,46,100,5.0,0.25,10,tt
concrete,6,12,,4.298022644484411,0.9359459854843246,,5400,59,42,100,5.0,0.25,10,tt
concrete,6,12,,4.603840057782283,0.9265064188273011,,5400,43,43,100,5.0,0.25,10,tt
concrete,6,12,,4.464336555662834,0.9308928774355129,,5400,55,44,100,5.0,0.25,10,tt
concrete,6,12,,4.44346867067813,0.9315374296459421,,5400,50,45,100,5.0,0.25,10,tt
concrete,6,12,,4.465134324288328,0.9308681766006003,,5400,50,46,100,5.0,0.25,10,tt
concrete,6,16,,4.676553643950968,0.9241665531865527,,9504,49,42,100,5.0,0.25,10,tt
concrete,6,16,,4.359377936023774,0.9341041599383819,,9504,42,43,100,5.0,0.25,10,tt
concrete,6,16,,5.16569125342057,0.9074735614229257,,9504,48,44,100,5.0,0.25,10,tt
concrete,6,16,,4.4857069258044024,0.93022967495043,,9504,50,45,100,5.0,0.25,10,tt
concrete,6,16,,4.119962261164074,0.9411433646594448,,9504,50,46,100,5.0,0.25,10,tt
