dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,2,4,0.25,9.594467532021019,0.6808089463435678,,73,51,42,100,5.0,0.25,10,tt_lin_type1
concrete,2,4,0.25,9.365699836439314,0.6958488765012656,,73,55,43,100,5.0,0.25,10,tt_lin_type1
concrete,2,4,0.25,9.571384871460173,0.6823429378670014,,73,51,44,100,5.0,0.25,10,tt_lin_type1
concrete,2,4,0.25,9.759041728932395,0.669764843950927,,73,49,45,100,5.0,0.25,10,tt_lin_type1
concrete,2,4,0.25,9.647030274891364,0.6773020264089729,,73,51,46,100,5.0,0.25,10,tt_lin_type1
concrete,2,4,0.5,9.554149680606262,0.6834859178761981,,73,51,42,100,5.0,0.25,10,tt_lin_type1
concrete,2,4,0.5,9.571355210016463,0.6823449066839686,,73,51,43,100,5.0,0.25,10,tt_lin_type1
concrete,2,4,0.5,9.79224932357928,0.6675136038540965,,73,49,44,100,5.0,0.25,10,tt_lin_type1
concrete,2,4,0.5,9.576540454676605,0.6820006366196971,,73,51,45,100,5.0,0.25,10,tt_lin_type1
concrete,2,4,0.5,9.5597089597369,0.6831174702137568,,73,51,46,100,5.0,0.25,10,tt_lin_type1
concrete,2,4,0.75,9.460401172096432,0.6896669271281768,,73,53,42,100,5.0,0.25,10,tt_lin_type1
concrete,2,4,0.75,9.581860613408754,0.6816472152496673,,73,51,43,100,5.0,0.25,10,tt_lin_type1
concrete,2,4,0.75,9.564352476041421,0.6828095515167634,,73,51,44,100,5.0,0.25,10,tt_lin_type1
concrete,2,4,0.75,9.357596346708172,0.6963749705013722,,73,55,45,100,5.0,0.25,10,tt_lin_type1
concrete,2,4,0.75,9.57659150717871,0.6819972461037757,,73,51,46,100,5.0,0.25,10,tt_lin_type1
concrete,2,8,0.25,9.628839213631592,0.6785178791238191,,137,53,43,100,5.0,0.25,10,tt_lin_type1
concrete,2,8,0.25,9.616068905560127,0.6793700489874537,,137,53,44,100,5.0,0.25,10,tt_lin_type1
concrete,2,8,0.25,9.617354127557734,0.6792843365808128,,137,53,45,100,5.0,0.25,10,tt_lin_type1
concrete,2,8,0.25,9.626990735727361,0.6786412991007471,,137,53,46,100,5.0,0.25,10,tt_lin_type1
concrete,2,8,0.5,9.618695209196007,0.6791948866407481,,137,53,42,100,5.0,0.25,10,tt_lin_type1
concrete,2,8,0.5,9.614488813168771,0.6794754108202845,,137,53,44,100,5.0,0.25,10,tt_lin_type1
concrete,2,8,0.5,9.61800746637134,0.6792407605399386,,137,53,45,100,5.0,0.25,10,tt_lin_type1
concrete,2,8,0.5,9.631245065197756,0.6783572086894969,,137,53,46,100,5.0,0.25,10,tt_lin_type1
concrete,2,8,0.75,9.624696350227753,0.6787944586708579,,137,53,42,100,5.0,0.25,10,tt_lin_type1
concrete,2,8,0.75,9.609785327822593,0.6797889405308671,,137,53,43,100,5.0,0.25,10,tt_lin_type1
concrete,2,8,0.75,9.440044359465052,0.6910010344766782,,137,55,44,100,5.0,0.25,10,tt_lin_type1
concrete,2,8,0.75,9.614573294503725,0.6794697779749668,,137,53,45,100,5.0,0.25,10,tt_lin_type1
concrete,2,8,0.75,9.61486663285143,0.6794502190747098,,137,53,46,100,5.0,0.25,10,tt_lin_type1
concrete,2,12,0.25,9.754530448319873,0.6700700868548394,,201,51,42,100,5.0,0.25,10,tt_lin_type1
concrete,2,12,0.25,9.653697124285067,0.6768558534182338,,201,53,43,100,5.0,0.25,10,tt_lin_type1
concrete,2,12,0.25,9.661564777728735,0.6763289211698273,,201,53,44,100,5.0,0.25,10,tt_lin_type1
concrete,2,12,0.25,9.670145109402693,0.6757537682879544,,201,53,45,100,5.0,0.25,10,tt_lin_type1
concrete,2,12,0.25,9.667468248848277,0.6759332571796843,,201,53,46,100,5.0,0.25,10,tt_lin_type1
concrete,2,12,0.5,9.664449070735875,0.676135639522353,,201,53,42,100,5.0,0.25,10,tt_lin_type1
concrete,2,12,0.5,9.743721681520299,0.6708008569794809,,201,51,43,100,5.0,0.25,10,tt_lin_type1
concrete,2,12,0.5,9.747055509269508,0.6705755465635423,,201,51,44,100,5.0,0.25,10,tt_lin_type1
concrete,2,12,0.5,9.66431965802535,0.6761443129363904,,201,53,45,100,5.0,0.25,10,tt_lin_type1
concrete,2,12,0.5,9.658445062470001,0.6765379139367056,,201,53,46,100,5.0,0.25,10,tt_lin_type1
concrete,2,12,0.75,9.667520013429236,0.6759297867314502,,201,53,42,100,5.0,0.25,10,tt_lin_type1
