dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
concrete,2,4,,9.60446471035586,0.6801434227281979,,73,53,42,100,5.0,0.25,10,tt_type1
concrete,2,4,,9.544923722245924,0.6840969059643689,,73,51,43,100,5.0,0.25,10,tt_type1
concrete,2,4,,9.788718229433982,0.6677533504226205,,73,49,44,100,5.0,0.25,10,tt_type1
concrete,2,4,,9.744303348957347,0.6707615516414291,,73,49,45,100,5.0,0.25,10,tt_type1
concrete,2,4,,9.548845055965684,0.6838372881925388,,73,51,46,100,5.0,0.25,10,tt_type1
concrete,2,8,,9.605783757551048,0.6800555604879882,,137,53,42,100,5.0,0.25,10,tt_type1
concrete,2,8,,9.609121079520165,0.6798332063066976,,137,53,43,100,5.0,0.25,10,tt_type1
concrete,2,8,,9.610598307319288,0.6797347590837863,,137,53,44,100,5.0,0.25,10,tt_type1
concrete,2,12,,9.748256166263396,0.6704943835632228,,201,51,42,100,5.0,0.25,10,tt_type1
concrete,2,12,,9.660528313295135,0.676398362419728,,201,53,43,100,5.0,0.25,10,tt_type1
concrete,2,12,,9.73455491078376,0.6714199784333751,,201,51,44,100,5.0,0.25,10,tt_type1
concrete,2,12,,9.745539437809844,0.6706780169291569,,201,51,45,100,5.0,0.25,10,tt_type1
concrete,2,12,,9.747810843917515,0.6705244879962555,,201,51,46,100,5.0,0.25,10,tt_type1
concrete,2,16,,9.995845228939324,0.6535440681638995,,265,49,42,100,5.0,0.25,10,tt_type1
concrete,2,16,,10.081788584225073,0.6475608644580626,,265,47,43,100,5.0,0.25,10,tt_type1
concrete,2,16,,10.089229229249948,0.6470404523958995,,265,47,44,100,5.0,0.25,10,tt_type1
concrete,3,4,,11.072889334191279,0.5748610708974154,,265,127,42,100,5.0,0.25,10,tt_type1
concrete,3,4,,9.345599497207605,0.697152992698114,,265,126,43,100,5.0,0.25,10,tt_type1
concrete,3,4,,8.96775182155341,0.7211464889865338,,265,126,44,100,5.0,0.25,10,tt_type1
concrete,3,4,,9.411604503998905,0.6928600614112853,,265,134,45,100,5.0,0.25,10,tt_type1
concrete,3,4,,9.570662961429678,0.6823908538529129,,265,127,46,100,5.0,0.25,10,tt_type1
concrete,3,8,,9.32798233185873,0.6982936957800667,,777,124,42,100,5.0,0.25,10,tt_type1
concrete,3,8,,9.234067225092303,0.7043383343737397,,777,124,43,100,5.0,0.25,10,tt_type1
concrete,3,8,,9.334606033976808,0.697865066706578,,777,124,44,100,5.0,0.25,10,tt_type1
concrete,3,8,,9.204728383884387,0.7062141254357539,,777,124,45,100,5.0,0.25,10,tt_type1
concrete,3,8,,9.32201690605075,0.6986794664652993,,777,124,46,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.489644426450702,0.6877454070962865,,1545,116,42,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.345785767982706,0.6971409202550387,,1545,124,43,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.403518509642673,0.6933875941914562,,1545,124,44,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.410515663029921,0.692931124151561,,1545,124,45,100,5.0,0.25,10,tt_type1
concrete,3,12,,9.320009343215828,0.6988092355428951,,1545,124,46,100,5.0,0.25,10,tt_type1
concrete,3,16,,9.419809993183115,0.6923242692255036,,2569,116,42,100,5.0,0.25,10,tt_type1
concrete,3,16,,9.453003107992608,0.6901521002700757,,2569,116,43,100,5.0,0.25,10,tt_type1
concrete,3,16,,9.43897992724101,0.6910707142154991,,2569,116,44,100,5.0,0.25,10,tt_type1
concrete,3,16,,9.563244113868734,0.6828830623007278,,2569,116,45,100,5.0,0.25,10,tt_type1
concrete,3,16,,9.538010434966376,0.684554350781492,,2569,116,46,100,5.0,0.25,10,tt_type1
concrete,4,4,,12.214844609967967,0.48264952957378315,,585,73,42,100,5.0,0.25,10,tt_type1
concrete,4,4,,10.875734199691335,0.5898656679392058,,585,107,43,100,5.0,0.25,10,tt_type1
concrete,4,4,,14.215548830667597,0.2992933836435885,,585,54,44,100,5.0,0.25,10,tt_type1
concrete,4,4,,12.17902112146986,0.48567963304971606,,585,73,45,100,5.0,0.25,10,tt_type1
concrete,4,4,,12.426977072600042,0.4645240753192351,,585,89,46,100,5.0,0.25,10,tt_type1
concrete,4,8,,11.209431843608808,0.5643114399944275,,1929,76,42,100,5.0,0.25,10,tt_type1
concrete,4,8,,11.112030450699995,0.5718501452718654,,1929,76,43,100,5.0,0.25,10,tt_type1
concrete,4,8,,14.07001585508222,0.31356703937388075,,1929,56,44,100,5.0,0.25,10,tt_type1
concrete,4,8,,10.196747010942383,0.6394776080300731,,1929,94,45,100,5.0,0.25,10,tt_type1
concrete,4,8,,12.035436452060361,0.4977353147439374,,1929,71,46,100,5.0,0.25,10,tt_type1
concrete,4,12,,13.993831145865983,0.32098055101023604,,4041,56,42,100,5.0,0.25,10,tt_type1
concrete,4,12,,12.669359386274992,0.44343195644958766,,4041,74,43,100,5.0,0.25,10,tt_type1
concrete,4,12,,11.488550848380617,0.5423436876558126,,4041,75,44,100,5.0,0.25,10,tt_type1
concrete,4,12,,12.261778010652892,0.47866623457873236,,4041,72,45,100,5.0,0.25,10,tt_type1
concrete,4,12,,14.95246878739493,0.22476251431496075,,4041,50,46,100,5.0,0.25,10,tt_type1
concrete,4,16,,13.387188564429557,0.37857643711424716,,6921,56,42,100,5.0,0.25,10,tt_type1
concrete,4,16,,13.89092102192503,0.3309307976418806,,6921,56,43,100,5.0,0.25,10,tt_type1
concrete,4,16,,11.010472894563131,0.5796404683018102,,6921,88,44,100,5.0,0.25,10,tt_type1
concrete,4,16,,13.030512504758857,0.4112486038759785,,6921,54,45,100,5.0,0.25,10,tt_type1
concrete,4,16,,12.921629294668081,0.421046731162216,,6921,56,46,100,5.0,0.25,10,tt_type1
concrete,5,4,,15.6600462693674,0.1496552453616935,,1033,76,42,100,5.0,0.25,10,tt_type1
concrete,5,4,,23.770501390856985,-0.9592309832496695,,1033,19,43,100,5.0,0.25,10,tt_type1
concrete,5,4,,24.02149367268703,-1.0008243889867123,,1033,19,44,100,5.0,0.25,10,tt_type1
concrete,5,4,,16.203086949478788,0.08965820887870368,,1033,78,45,100,5.0,0.25,10,tt_type1
concrete,5,4,,15.271437658938865,0.19133470981695766,,1033,79,46,100,5.0,0.25,10,tt_type1
concrete,5,8,,21.076669535246527,-0.5403269985617278,,3593,19,42,100,5.0,0.25,10,tt_type1
concrete,5,8,,16.171029422068298,0.09325683643388216,,3593,47,43,100,5.0,0.25,10,tt_type1
concrete,5,8,,21.06815488546774,-0.539082713195201,,3593,19,44,100,5.0,0.25,10,tt_type1
concrete,5,8,,21.330571254482425,-0.5776618659523818,,3593,19,45,100,5.0,0.25,10,tt_type1
concrete,5,8,,21.555513111705643,-0.6111118278549998,,3593,19,46,100,5.0,0.25,10,tt_type1
concrete,5,12,,19.290784918127983,-0.29035364551938825,,7689,19,42,100,5.0,0.25,10,tt_type1
concrete,5,12,,15.936613944358449,0.11935462264433738,,7689,47,43,100,5.0,0.25,10,tt_type1
concrete,5,12,,19.612870132106384,-0.3338016814709146,,7689,19,44,100,5.0,0.25,10,tt_type1
concrete,5,12,,19.792680841992134,-0.35837036664087285,,7689,19,45,100,5.0,0.25,10,tt_type1
concrete,5,12,,15.335972619916262,0.18448565578759424,,7689,47,46,100,5.0,0.25,10,tt_type1
concrete,5,16,,15.881460108938148,0.12543959433987417,,13321,47,42,100,5.0,0.25,10,tt_type1
concrete,5,16,,19.31112727643564,-0.2930764664066243,,13321,19,43,100,5.0,0.25,10,tt_type1
concrete,5,16,,18.713437196021875,-0.21427228685927102,,13321,19,44,100,5.0,0.25,10,tt_type1
concrete,5,16,,18.417306015608418,-0.1761458047454536,,13321,19,45,100,5.0,0.25,10,tt_type1
concrete,5,16,,16.085234268445554,0.10285273773268733,,13321,50,46,100,5.0,0.25,10,tt_type1
concrete,6,4,,14.309052013325857,0.2900452323731232,,1609,119,42,100,5.0,0.25,10,tt_type1
concrete,6,4,,24.35325647975389,-1.0564731356210126,,1609,19,43,100,5.0,0.25,10,tt_type1
concrete,6,4,,15.274259405220679,0.19103584350999714,,1609,101,44,100,5.0,0.25,10,tt_type1
concrete,6,4,,24.984976265921627,-1.1645460901197269,,1609,19,45,100,5.0,0.25,10,tt_type1
concrete,6,4,,17.726244408583504,-0.08953809931089096,,1609,64,46,100,5.0,0.25,10,tt_type1
concrete,6,8,,21.056128554486612,-0.5373261060955856,,5769,19,42,100,5.0,0.25,10,tt_type1
concrete,6,8,,22.431676492312015,-0.7447468433587141,,5769,19,43,100,5.0,0.25,10,tt_type1
concrete,6,8,,21.463125309183415,-0.5973308430728068,,5769,19,44,100,5.0,0.25,10,tt_type1
concrete,6,8,,21.88579575065729,-0.6608623454110125,,5769,19,45,100,5.0,0.25,10,tt_type1
concrete,6,8,,20.82630731210071,-0.5039503544179735,,5769,19,46,100,5.0,0.25,10,tt_type1
concrete,6,12,,19.468726037233658,-0.31426826977444877,,12489,19,42,100,5.0,0.25,10,tt_type1
concrete,6,12,,19.904936283395543,-0.37382222775680995,,12489,19,43,100,5.0,0.25,10,tt_type1
concrete,6,12,,19.541423649018068,-0.3241017379362925,,12489,19,44,100,5.0,0.25,10,tt_type1
concrete,6,12,,19.38914337712648,-0.3035455145684498,,12489,19,45,100,5.0,0.25,10,tt_type1
concrete,6,12,,19.990928789120535,-0.38571813161882096,,12489,19,46,100,5.0,0.25,10,tt_type1
concrete,6,16,,18.657100674785056,-0.20697219491797925,,21769,19,42,100,5.0,0.25,10,tt_type1
concrete,6,16,,19.215393570605215,-0.2802875538581304,,21769,19,43,100,5.0,0.25,10,tt_type1
concrete,6,16,,18.391993757636843,-0.1729150990359416,,21769,19,44,100,5.0,0.25,10,tt_type1
concrete,6,16,,18.651793187929826,-0.20628558471015168,,21769,19,45,100,5.0,0.25,10,tt_type1
concrete,6,16,,19.0349473556539,-0.256354834818191,,21769,19,46,100,5.0,0.25,10,tt_type1
