dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
energy_efficiency,2,4,,1.0527184751346321,0.9891579973694021,,72,27,42,100,5.0,0.25,10,cpd
energy_efficiency,2,4,,1.1248619787929501,0.9876210589805056,,72,27,43,100,5.0,0.25,10,cpd
energy_efficiency,2,4,,1.0612055885744969,0.9889824742178126,,72,28,44,100,5.0,0.25,10,cpd
energy_efficiency,2,4,,1.0633530424362327,0.9889378390079439,,72,27,45,100,5.0,0.25,10,cpd
energy_efficiency,2,4,,1.0602080771881173,0.9890031769775766,,72,27,46,100,5.0,0.25,10,cpd
energy_efficiency,2,8,,0.8453228490804183,0.993009145957503,,144,26,42,100,5.0,0.25,10,cpd
energy_efficiency,2,8,,0.8453228564743038,0.9930091458352075,,144,26,43,100,5.0,0.25,10,cpd
energy_efficiency,2,8,,0.8453228376821337,0.9930091461460315,,144,27,44,100,5.0,0.25,10,cpd
energy_efficiency,2,8,,0.8453228374616657,0.9930091461496781,,144,27,45,100,5.0,0.25,10,cpd
energy_efficiency,2,8,,0.8453228375928099,0.9930091461475089,,144,27,46,100,5.0,0.25,10,cpd
energy_efficiency,2,12,,0.8453228359982599,0.9930091461738829,,216,27,42,100,5.0,0.25,10,cpd
energy_efficiency,2,12,,0.8453228367020567,0.9930091461622421,,216,26,43,100,5.0,0.25,10,cpd
energy_efficiency,2,12,,0.8453228363746306,0.9930091461676577,,216,27,44,100,5.0,0.25,10,cpd
energy_efficiency,2,12,,0.8453228362239692,0.9930091461701497,,216,27,45,100,5.0,0.25,10,cpd
energy_efficiency,2,12,,0.8453228361051592,0.9930091461721148,,216,27,46,100,5.0,0.25,10,cpd
energy_efficiency,2,16,,0.8453228360356406,0.9930091461732646,,288,27,42,100,5.0,0.25,10,cpd
energy_efficiency,2,16,,0.8453228371008822,0.9930091461556455,,288,26,43,100,5.0,0.25,10,cpd
energy_efficiency,2,16,,0.8453228370707638,0.9930091461561437,,288,26,44,100,5.0,0.25,10,cpd
energy_efficiency,2,16,,0.845322836262761,0.9930091461695081,,288,26,45,100,5.0,0.25,10,cpd
energy_efficiency,2,16,,0.8453228369657156,0.9930091461578812,,288,26,46,100,5.0,0.25,10,cpd
energy_efficiency,2,64,,0.8453228369292606,0.9930091461584841,,1152,26,42,100,5.0,0.25,10,cpd
