dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
energy_efficiency,2,4,,0.8483189352056647,0.992959502631372,,72,27,42,100,5.0,0.25,10,tt
energy_efficiency,2,4,,0.9848039069582998,0.9905117844038299,,72,27,43,100,5.0,0.25,10,tt
energy_efficiency,2,4,,0.8455899158058947,0.9930047279545393,,72,27,44,100,5.0,0.25,10,tt
energy_efficiency,2,4,,0.8440824937171251,0.9930296464838126,,72,27,45,100,5.0,0.25,10,tt
energy_efficiency,2,4,,1.005346533338079,0.9901118148872368,,72,27,46,100,5.0,0.25,10,tt
energy_efficiency,2,8,,0.8453228370915021,0.9930091461558006,,144,27,42,100,5.0,0.25,10,tt
energy_efficiency,2,8,,0.8453228637859193,0.9930091457142728,,144,25,43,100,5.0,0.25,10,tt
energy_efficiency,2,8,,0.845322837287395,0.9930091461525605,,144,27,44,100,5.0,0.25,10,tt
energy_efficiency,2,8,,0.8452921765025826,0.9930096532752094,,144,25,45,100,5.0,0.25,10,tt
energy_efficiency,2,8,,0.8453228694436661,0.9930091456206932,,144,25,46,100,5.0,0.25,10,tt
energy_efficiency,2,12,,0.8453228471839016,0.9930091459888715,,216,25,42,100,5.0,0.25,10,tt
energy_efficiency,2,12,,0.8453228538012894,0.9930091458794194,,216,25,43,100,5.0,0.25,10,tt
energy_efficiency,2,12,,0.8453228590063648,0.993009145793327,,216,25,44,100,5.0,0.25,10,tt
energy_efficiency,2,12,,0.8453228448603972,0.9930091460273025,,216,25,45,100,5.0,0.25,10,tt
energy_efficiency,2,12,,0.8453228491852344,0.9930091459557693,,216,25,46,100,5.0,0.25,10,tt
energy_efficiency,2,16,,0.8453228508498843,0.9930091459282359,,288,25,42,100,5.0,0.25,10,tt
energy_efficiency,2,16,,0.8453228422904925,0.9930091460698088,,288,25,43,100,5.0,0.25,10,tt
energy_efficiency,2,16,,0.8453228538995675,0.9930091458777939,,288,25,44,100,5.0,0.25,10,tt
energy_efficiency,2,16,,0.8452882204679721,0.9930097187058134,,288,25,45,100,5.0,0.25,10,tt
energy_efficiency,2,16,,0.8453228491089052,0.9930091459570318,,288,25,46,100,5.0,0.25,10,tt
energy_efficiency,3,4,,0.49745684307656257,0.9975789941573118,,216,39,42,100,5.0,0.25,10,tt
energy_efficiency,3,4,,0.505582815639604,0.997499253745357,,216,53,43,100,5.0,0.25,10,tt
energy_efficiency,3,4,,0.5090678964821698,0.9974646586573362,,216,37,44,100,5.0,0.25,10,tt
energy_efficiency,3,4,,0.5004645149872786,0.9975496303884909,,216,37,45,100,5.0,0.25,10,tt
energy_efficiency,3,4,,0.47822433225975514,0.9977625756639931,,216,36,46,100,5.0,0.25,10,tt
energy_efficiency,3,8,,0.4769559164463377,0.997774428765399,,720,33,42,100,5.0,0.25,10,tt
energy_efficiency,3,8,,0.49900672528246964,0.9975638848297715,,720,33,43,100,5.0,0.25,10,tt
energy_efficiency,3,8,,0.5063564568034902,0.9974915946224446,,720,34,44,100,5.0,0.25,10,tt
energy_efficiency,3,8,,0.4810663071366291,0.9977359036715283,,720,33,45,100,5.0,0.25,10,tt
energy_efficiency,3,8,,0.4847125657917525,0.9977014520083728,,720,33,46,100,5.0,0.25,10,tt
energy_efficiency,3,12,,0.48628013663646935,0.9976865608609898,,1512,30,42,100,5.0,0.25,10,tt
energy_efficiency,3,12,,0.49612285588877536,0.9975919611535963,,1512,32,43,100,5.0,0.25,10,tt
energy_efficiency,3,12,,0.500671784492036,0.9975476003062277,,1512,33,44,100,5.0,0.25,10,tt
energy_efficiency,3,12,,0.48788112964902636,0.9976713025903906,,1512,30,45,100,5.0,0.25,10,tt
energy_efficiency,3,12,,0.5007525682376665,0.9975468088495405,,1512,32,46,100,5.0,0.25,10,tt
energy_efficiency,3,16,,0.502214840363977,0.9975324605630005,,2592,30,42,100,5.0,0.25,10,tt
energy_efficiency,3,16,,0.4983902834317138,0.9975698999622352,,2592,33,43,100,5.0,0.25,10,tt
energy_efficiency,3,16,,0.503442722970607,0.9975203798660414,,2592,33,44,100,5.0,0.25,10,tt
energy_efficiency,3,16,,0.5028164496531933,0.9975265452308575,,2592,30,45,100,5.0,0.25,10,tt
energy_efficiency,3,16,,0.5034630324506769,0.997520179800337,,2592,33,46,100,5.0,0.25,10,tt
energy_efficiency,4,4,,0.43363451355977173,0.9981603606074769,,360,58,42,100,5.0,0.25,10,tt
energy_efficiency,4,4,,0.42798366180261355,0.9982079942490605,,360,57,43,100,5.0,0.25,10,tt
energy_efficiency,4,4,,0.44862196697213874,0.9980309983094531,,360,75,44,100,5.0,0.25,10,tt
energy_efficiency,4,4,,0.4571103638990083,0.9979557822514723,,360,76,45,100,5.0,0.25,10,tt
energy_efficiency,4,4,,0.4373421957265066,0.9981287673753473,,360,66,46,100,5.0,0.25,10,tt
energy_efficiency,4,8,,0.4592399391556985,0.9979366907740335,,1296,48,42,100,5.0,0.25,10,tt
energy_efficiency,4,8,,0.45426417304679245,0.9979811595815037,,1296,47,43,100,5.0,0.25,10,tt
energy_efficiency,4,8,,0.4518124813660768,0.9980028923879773,,1296,47,44,100,5.0,0.25,10,tt
energy_efficiency,4,8,,0.46478453355566457,0.9978865676335265,,1296,47,45,100,5.0,0.25,10,tt
energy_efficiency,4,8,,0.4631620378885498,0.9979012972532859,,1296,46,46,100,5.0,0.25,10,tt
energy_efficiency,4,12,,0.45530005234697,0.9979719417759229,,2808,52,42,100,5.0,0.25,10,tt
energy_efficiency,4,12,,0.44302318216377173,0.998079837768542,,2808,51,43,100,5.0,0.25,10,tt
energy_efficiency,4,12,,0.45669607014038865,0.9979594860522698,,2808,52,44,100,5.0,0.25,10,tt
energy_efficiency,4,12,,0.4592595630127527,0.997936514435057,,2808,51,45,100,5.0,0.25,10,tt
energy_efficiency,4,12,,0.4592425478861283,0.9979366673325494,,2808,51,46,100,5.0,0.25,10,tt
energy_efficiency,4,16,,0.4489221595163459,0.9980283623378371,,4896,50,42,100,5.0,0.25,10,tt
energy_efficiency,4,16,,0.4695765395680008,0.997842763296704,,4896,46,43,100,5.0,0.25,10,tt
energy_efficiency,4,16,,0.45130409579226244,0.9980073842049414,,4896,51,44,100,5.0,0.25,10,tt
energy_efficiency,4,16,,0.44926577624585184,0.9980253428969196,,4896,52,45,100,5.0,0.25,10,tt
energy_efficiency,4,16,,0.45428361769117565,0.9979809867460634,,4896,47,46,100,5.0,0.25,10,tt
energy_efficiency,5,4,,0.41532866714553734,0.9983124026475929,,504,99,42,100,5.0,0.25,10,tt
energy_efficiency,5,4,,0.4232362821223778,0.998247529160996,,504,79,43,100,5.0,0.25,10,tt
energy_efficiency,5,4,,0.416498622765885,0.9983028815378507,,504,101,44,100,5.0,0.25,10,tt
energy_efficiency,5,4,,0.4275445157559465,0.9982116698496633,,504,97,45,100,5.0,0.25,10,tt
energy_efficiency,5,4,,0.46823625742828806,0.9978550602466028,,504,85,46,100,5.0,0.25,10,tt
energy_efficiency,5,8,,0.46553410625333236,0.9978797453384315,,1872,52,42,100,5.0,0.25,10,tt
energy_efficiency,5,8,,0.42860170834798816,0.9982028148800428,,1872,69,43,100,5.0,0.25,10,tt
energy_efficiency,5,8,,0.4446928780649527,0.9980653368178191,,1872,52,44,100,5.0,0.25,10,tt
energy_efficiency,5,8,,0.4335775905460211,0.9981608435531006,,1872,74,45,100,5.0,0.25,10,tt
