dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
hearth,,4,,,,0.3111111111111111,276,13,42,100,5.0,0.25,12,tnml_sin-cos
hearth,,4,,,,0.37777777777777777,276,13,43,100,5.0,0.25,12,tnml_sin-cos
hearth,,4,,,,0.4,276,16,44,100,5.0,0.25,12,tnml_sin-cos
hearth,,4,,,,0.35555555555555557,276,21,45,100,5.0,0.25,12,tnml_sin-cos
hearth,,4,,,,0.4,276,14,46,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.35555555555555557,820,20,42,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.3111111111111111,820,14,43,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.35555555555555557,820,25,44,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.35555555555555557,820,24,45,100,5.0,0.25,12,tnml_sin-cos
hearth,,8,,,,0.4,820,14,46,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.4,1428,13,42,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.3111111111111111,1428,16,43,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.3111111111111111,1428,18,44,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.28888888888888886,1428,20,45,100,5.0,0.25,12,tnml_sin-cos
hearth,,12,,,,0.4,1428,25,46,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.37777777777777777,2228,17,42,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.3333333333333333,2228,17,43,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.4,2228,19,44,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.37777777777777777,2228,14,45,100,5.0,0.25,12,tnml_sin-cos
hearth,,16,,,,0.4222222222222222,2228,17,46,100,5.0,0.25,12,tnml_sin-cos
