dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
hearth,2,4,0.25,,,0.5333333333333333,268,13,42,100,5.0,0.25,10,tt_lin_type1
hearth,2,4,0.25,,,0.5555555555555556,268,11,43,100,5.0,0.25,10,tt_lin_type1
hearth,2,4,0.25,,,0.5333333333333333,268,13,44,100,5.0,0.25,10,tt_lin_type1
hearth,2,4,0.25,,,0.5111111111111111,268,12,45,100,5.0,0.25,10,tt_lin_type1
hearth,2,4,0.25,,,0.5333333333333333,268,11,46,100,5.0,0.25,10,tt_lin_type1
hearth,2,4,0.5,,,0.5333333333333333,268,11,42,100,5.0,0.25,10,tt_lin_type1
hearth,2,4,0.5,,,0.5333333333333333,268,11,43,100,5.0,0.25,10,tt_lin_type1
hearth,2,4,0.5,,,0.5111111111111111,268,12,44,100,5.0,0.25,10,tt_lin_type1
hearth,2,4,0.5,,,0.5333333333333333,268,13,45,100,5.0,0.25,10,tt_lin_type1
hearth,2,4,0.5,,,0.5333333333333333,268,12,46,100,5.0,0.25,10,tt_lin_type1
hearth,2,4,0.75,,,0.5333333333333333,268,12,42,100,5.0,0.25,10,tt_lin_type1
hearth,2,4,0.75,,,0.5333333333333333,268,12,43,100,5.0,0.25,10,tt_lin_type1
hearth,2,4,0.75,,,0.5333333333333333,268,13,44,100,5.0,0.25,10,tt_lin_type1
hearth,2,4,0.75,,,0.5333333333333333,268,13,45,100,5.0,0.25,10,tt_lin_type1
hearth,2,4,0.75,,,0.5111111111111111,268,13,46,100,5.0,0.25,10,tt_lin_type1
hearth,2,8,0.25,,,0.5333333333333333,488,12,42,100,5.0,0.25,10,tt_lin_type1
hearth,2,8,0.25,,,0.5111111111111111,488,11,43,100,5.0,0.25,10,tt_lin_type1
hearth,2,8,0.25,,,0.5111111111111111,488,13,44,100,5.0,0.25,10,tt_lin_type1
hearth,2,8,0.25,,,0.5333333333333333,488,11,45,100,5.0,0.25,10,tt_lin_type1
hearth,2,8,0.25,,,0.5333333333333333,488,11,46,100,5.0,0.25,10,tt_lin_type1
hearth,2,8,0.5,,,0.5111111111111111,488,11,42,100,5.0,0.25,10,tt_lin_type1
hearth,2,8,0.5,,,0.5111111111111111,488,11,43,100,5.0,0.25,10,tt_lin_type1
hearth,2,8,0.5,,,0.5111111111111111,488,12,44,100,5.0,0.25,10,tt_lin_type1
