dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
hearth,2,4,,,,0.5111111111111111,268,12,42,100,5.0,0.25,10,tt_type1
hearth,2,4,,,,0.5333333333333333,268,13,43,100,5.0,0.25,10,tt_type1
hearth,2,4,,,,0.5555555555555556,268,12,44,100,5.0,0.25,10,tt_type1
hearth,2,4,,,,0.5333333333333333,268,11,45,100,5.0,0.25,10,tt_type1
hearth,2,4,,,,0.5111111111111111,268,12,46,100,5.0,0.25,10,tt_type1
hearth,2,8,,,,0.5111111111111111,488,12,42,100,5.0,0.25,10,tt_type1
hearth,2,8,,,,0.5333333333333333,488,11,43,100,5.0,0.25,10,tt_type1
hearth,2,8,,,,0.5111111111111111,488,12,44,100,5.0,0.25,10,tt_type1
hearth,2,8,,,,0.5333333333333333,488,12,45,100,5.0,0.25,10,tt_type1
hearth,2,8,,,,0.5111111111111111,488,13,46,100,5.0,0.25,10,tt_type1
hearth,2,12,,,,0.5111111111111111,708,12,42,100,5.0,0.25,10,tt_type1
hearth,2,12,,,,0.5111111111111111,708,12,43,100,5.0,0.25,10,tt_type1
hearth,2,12,,,,0.5111111111111111,708,11,44,100,5.0,0.25,10,tt_type1
hearth,2,12,,,,0.5111111111111111,708,12,45,100,5.0,0.25,10,tt_type1
hearth,2,12,,,,0.5333333333333333,708,11,46,100,5.0,0.25,10,tt_type1
hearth,2,16,,,,0.5333333333333333,928,11,42,100,5.0,0.25,10,tt_type1
hearth,2,16,,,,0.5111111111111111,928,12,43,100,5.0,0.25,10,tt_type1
hearth,2,16,,,,0.5111111111111111,928,12,44,100,5.0,0.25,10,tt_type1
hearth,2,16,,,,0.4888888888888889,928,11,45,100,5.0,0.25,10,tt_type1
hearth,2,16,,,,0.5111111111111111,928,12,46,100,5.0,0.25,10,tt_type1
hearth,3,4,,,,0.5555555555555556,664,17,42,100,5.0,0.25,10,tt_type1
hearth,3,4,,,,0.6,664,16,43,100,5.0,0.25,10,tt_type1
hearth,3,4,,,,0.5777777777777777,664,16,44,100,5.0,0.25,10,tt_type1
hearth,3,4,,,,0.5777777777777777,664,16,45,100,5.0,0.25,10,tt_type1
hearth,3,4,,,,0.5333333333333333,664,17,46,100,5.0,0.25,10,tt_type1
hearth,3,8,,,,0.5555555555555556,1632,17,42,100,5.0,0.25,10,tt_type1
hearth,3,8,,,,0.5777777777777777,1632,16,43,100,5.0,0.25,10,tt_type1
hearth,3,8,,,,0.5333333333333333,1632,11,44,100,5.0,0.25,10,tt_type1
hearth,3,8,,,,0.5777777777777777,1632,17,45,100,5.0,0.25,10,tt_type1
hearth,3,8,,,,0.5333333333333333,1632,11,46,100,5.0,0.25,10,tt_type1
hearth,3,12,,,,0.6,2952,16,42,100,5.0,0.25,10,tt_type1
hearth,3,12,,,,0.6,2952,17,43,100,5.0,0.25,10,tt_type1
hearth,3,12,,,,0.5777777777777777,2952,16,44,100,5.0,0.25,10,tt_type1
hearth,3,12,,,,0.5333333333333333,2952,16,45,100,5.0,0.25,10,tt_type1
hearth,3,12,,,,0.6,2952,16,46,100,5.0,0.25,10,tt_type1
hearth,3,16,,,,0.5555555555555556,4624,11,42,100,5.0,0.25,10,tt_type1
hearth,3,16,,,,0.5111111111111111,4624,13,43,100,5.0,0.25,10,tt_type1
hearth,3,16,,,,0.5777777777777777,4624,16,44,100,5.0,0.25,10,tt_type1
hearth,3,16,,,,0.5777777777777777,4624,25,45,100,5.0,0.25,10,tt_type1
hearth,3,16,,,,0.5555555555555556,4624,15,46,100,5.0,0.25,10,tt_type1
hearth,4,4,,,,0.6,1236,20,42,100,5.0,0.25,10,tt_type1
hearth,4,4,,,,0.5555555555555556,1236,16,43,100,5.0,0.25,10,tt_type1
hearth,4,4,,,,0.5333333333333333,1236,13,44,100,5.0,0.25,10,tt_type1
hearth,4,4,,,,0.5777777777777777,1236,17,45,100,5.0,0.25,10,tt_type1
hearth,4,4,,,,0.6222222222222222,1236,11,46,100,5.0,0.25,10,tt_type1
hearth,4,8,,,,0.5777777777777777,3480,17,42,100,5.0,0.25,10,tt_type1
hearth,4,8,,,,0.6,3480,16,43,100,5.0,0.25,10,tt_type1
hearth,4,8,,,,0.5777777777777777,3480,17,44,100,5.0,0.25,10,tt_type1
hearth,4,8,,,,0.6,3480,19,45,100,5.0,0.25,10,tt_type1
hearth,4,8,,,,0.5555555555555556,3480,11,46,100,5.0,0.25,10,tt_type1
hearth,4,12,,,,0.5777777777777777,6780,18,42,100,5.0,0.25,10,tt_type1
hearth,4,12,,,,0.5777777777777777,6780,14,43,100,5.0,0.25,10,tt_type1
