dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
iris,2,4,,,,1.0,58,19,42,100,5.0,0.25,10,tt_cumsum_type1
iris,2,4,,,,1.0,58,19,43,100,5.0,0.25,10,tt_cumsum_type1
iris,2,4,,,,1.0,58,19,44,100,5.0,0.25,10,tt_cumsum_type1
iris,2,4,,,,1.0,58,19,45,100,5.0,0.25,10,tt_cumsum_type1
iris,2,4,,,,1.0,58,19,46,100,5.0,0.25,10,tt_cumsum_type1
iris,2,8,,,,1.0,106,18,42,100,5.0,0.25,10,tt_cumsum_type1
iris,2,8,,,,1.0,106,18,43,100,5.0,0.25,10,tt_cumsum_type1
iris,2,8,,,,1.0,106,18,44,100,5.0,0.25,10,tt_cumsum_type1
iris,2,8,,,,1.0,106,18,45,100,5.0,0.25,10,tt_cumsum_type1
iris,2,8,,,,1.0,106,18,46,100,5.0,0.25,10,tt_cumsum_type1
iris,2,12,,,,1.0,154,15,42,100,5.0,0.25,10,tt_cumsum_type1
iris,2,12,,,,1.0,154,15,43,100,5.0,0.25,10,tt_cumsum_type1
iris,2,12,,,,1.0,154,15,44,100,5.0,0.25,10,tt_cumsum_type1
iris,2,12,,,,1.0,154,15,45,100,5.0,0.25,10,tt_cumsum_type1
iris,2,12,,,,1.0,154,15,46,100,5.0,0.25,10,tt_cumsum_type1
iris,2,16,,,,1.0,202,15,42,100,5.0,0.25,10,tt_cumsum_type1
iris,2,16,,,,1.0,202,15,43,100,5.0,0.25,10,tt_cumsum_type1
iris,2,16,,,,1.0,202,15,44,100,5.0,0.25,10,tt_cumsum_type1
iris,2,16,,,,1.0,202,15,45,100,5.0,0.25,10,tt_cumsum_type1
iris,2,16,,,,1.0,202,15,46,100,5.0,0.25,10,tt_cumsum_type1
iris,3,4,,,,1.0,170,21,42,100,5.0,0.25,10,tt_cumsum_type1
iris,3,4,,,,1.0,170,21,43,100,5.0,0.25,10,tt_cumsum_type1
iris,3,4,,,,1.0,170,21,44,100,5.0,0.25,10,tt_cumsum_type1
iris,3,4,,,,1.0,170,21,45,100,5.0,0.25,10,tt_cumsum_type1
iris,3,4,,,,1.0,170,21,46,100,5.0,0.25,10,tt_cumsum_type1
iris,3,8,,,,1.0,458,21,42,100,5.0,0.25,10,tt_cumsum_type1
iris,3,8,,,,1.0,458,21,43,100,5.0,0.25,10,tt_cumsum_type1
iris,3,8,,,,1.0,458,21,44,100,5.0,0.25,10,tt_cumsum_type1
iris,3,8,,,,1.0,458,21,45,100,5.0,0.25,10,tt_cumsum_type1
iris,3,8,,,,1.0,458,21,46,100,5.0,0.25,10,tt_cumsum_type1
iris,3,12,,,,1.0,874,21,42,100,5.0,0.25,10,tt_cumsum_type1
iris,3,12,,,,1.0,874,21,43,100,5.0,0.25,10,tt_cumsum_type1
iris,3,12,,,,1.0,874,21,44,100,5.0,0.25,10,tt_cumsum_type1
iris,3,12,,,,1.0,874,21,45,100,5.0,0.25,10,tt_cumsum_type1
iris,3,12,,,,1.0,874,21,46,100,5.0,0.25,10,tt_cumsum_type1
iris,3,16,,,,1.0,1418,21,42,100,5.0,0.25,10,tt_cumsum_type1
iris,3,16,,,,1.0,1418,21,43,100,5.0,0.25,10,tt_cumsum_type1
iris,3,16,,,,1.0,1418,21,44,100,5.0,0.25,10,tt_cumsum_type1
iris,3,16,,,,1.0,1418,21,45,100,5.0,0.25,10,tt_cumsum_type1
iris,3,16,,,,1.0,1418,21,46,100,5.0,0.25,10,tt_cumsum_type1
iris,4,4,,,,0.9545454545454546,346,12,42,100,5.0,0.25,10,tt_cumsum_type1
iris,4,4,,,,0.9545454545454546,346,12,43,100,5.0,0.25,10,tt_cumsum_type1
iris,4,4,,,,0.9545454545454546,346,12,44,100,5.0,0.25,10,tt_cumsum_type1
iris,4,4,,,,0.9545454545454546,346,12,45,100,5.0,0.25,10,tt_cumsum_type1
iris,4,4,,,,0.9090909090909091,346,12,46,100,5.0,0.25,10,tt_cumsum_type1
iris,4,8,,,,0.9545454545454546,1066,12,42,100,5.0,0.25,10,tt_cumsum_type1
iris,4,8,,,,0.9545454545454546,1066,12,43,100,5.0,0.25,10,tt_cumsum_type1
iris,4,8,,,,0.9545454545454546,1066,12,44,100,5.0,0.25,10,tt_cumsum_type1
iris,4,8,,,,0.9545454545454546,1066,12,45,100,5.0,0.25,10,tt_cumsum_type1
iris,4,8,,,,0.9545454545454546,1066,12,46,100,5.0,0.25,10,tt_cumsum_type1
iris,4,12,,,,0.9545454545454546,2170,12,42,100,5.0,0.25,10,tt_cumsum_type1
iris,4,12,,,,0.9545454545454546,2170,14,43,100,5.0,0.25,10,tt_cumsum_type1
iris,4,12,,,,0.9545454545454546,2170,12,44,100,5.0,0.25,10,tt_cumsum_type1
iris,4,12,,,,0.9545454545454546,2170,12,45,100,5.0,0.25,10,tt_cumsum_type1
iris,4,12,,,,0.9545454545454546,2170,14,46,100,5.0,0.25,10,tt_cumsum_type1
iris,4,16,,,,0.9545454545454546,3658,12,42,100,5.0,0.25,10,tt_cumsum_type1
iris,4,16,,,,0.9545454545454546,3658,12,43,100,5.0,0.25,10,tt_cumsum_type1
iris,4,16,,,,0.9545454545454546,3658,11,44,100,5.0,0.25,10,tt_cumsum_type1
iris,4,16,,,,0.9545454545454546,3658,12,45,100,5.0,0.25,10,tt_cumsum_type1
iris,4,16,,,,0.9545454545454546,3658,12,46,100,5.0,0.25,10,tt_cumsum_type1
iris,5,4,,,,0.9545454545454546,586,13,42,100,5.0,0.25,10,tt_cumsum_type1
iris,5,4,,,,0.9545454545454546,586,12,43,100,5.0,0.25,10,tt_cumsum_type1
iris,5,4,,,,0.9545454545454546,586,15,44,100,5.0,0.25,10,tt_cumsum_type1
iris,5,4,,,,0.9545454545454546,586,14,45,100,5.0,0.25,10,tt_cumsum_type1
iris,5,4,,,,0.9545454545454546,586,14,46,100,5.0,0.25,10,tt_cumsum_type1
iris,5,8,,,,0.9545454545454546,1930,14,42,100,5.0,0.25,10,tt_cumsum_type1
