dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
iris,2,4,0.25,,,1.0,58,19,42,100,5.0,0.25,10,tt_lin_type1
iris,2,4,0.25,,,1.0,58,19,43,100,5.0,0.25,10,tt_lin_type1
iris,2,4,0.25,,,1.0,58,19,44,100,5.0,0.25,10,tt_lin_type1
iris,2,4,0.25,,,1.0,58,19,45,100,5.0,0.25,10,tt_lin_type1
iris,2,4,0.25,,,1.0,58,19,46,100,5.0,0.25,10,tt_lin_type1
iris,2,4,0.5,,,1.0,58,19,42,100,5.0,0.25,10,tt_lin_type1
iris,2,4,0.5,,,1.0,58,19,43,100,5.0,0.25,10,tt_lin_type1
iris,2,4,0.5,,,1.0,58,19,44,100,5.0,0.25,10,tt_lin_type1
iris,2,4,0.5,,,1.0,58,19,45,100,5.0,0.25,10,tt_lin_type1
iris,2,4,0.5,,,1.0,58,19,46,100,5.0,0.25,10,tt_lin_type1
iris,2,4,0.75,,,1.0,58,19,42,100,5.0,0.25,10,tt_lin_type1
iris,2,4,0.75,,,1.0,58,19,43,100,5.0,0.25,10,tt_lin_type1
iris,2,4,0.75,,,1.0,58,19,44,100,5.0,0.25,10,tt_lin_type1
iris,2,4,0.75,,,1.0,58,19,45,100,5.0,0.25,10,tt_lin_type1
iris,2,4,0.75,,,1.0,58,19,46,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.25,,,1.0,106,18,42,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.25,,,1.0,106,18,43,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.25,,,1.0,106,18,44,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.25,,,1.0,106,18,45,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.25,,,1.0,106,18,46,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.5,,,1.0,106,18,42,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.5,,,1.0,106,18,43,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.5,,,1.0,106,18,44,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.5,,,1.0,106,18,45,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.5,,,1.0,106,18,46,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.75,,,1.0,106,18,42,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.75,,,1.0,106,18,43,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.75,,,1.0,106,18,44,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.75,,,1.0,106,18,45,100,5.0,0.25,10,tt_lin_type1
iris,2,8,0.75,,,1.0,106,18,46,100,5.0,0.25,10,tt_lin_type1
iris,2,12,0.25,,,1.0,154,15,42,100,5.0,0.25,10,tt_lin_type1
iris,2,12,0.25,,,1.0,154,15,43,100,5.0,0.25,10,tt_lin_type1
