dataset,n_estimators,max_depth,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,learning_rate
iris,50,3,,,1.0,,42,xgboost,0.1
iris,50,3,,,1.0,,43,xgboost,0.1
iris,50,3,,,1.0,,44,xgboost,0.1
iris,50,3,,,1.0,,45,xgboost,0.1
iris,50,3,,,1.0,,46,xgboost,0.1
iris,50,6,,,1.0,,42,xgboost,0.1
iris,50,6,,,1.0,,43,xgboost,0.1
iris,50,6,,,1.0,,44,xgboost,0.1
iris,50,6,,,1.0,,45,xgboost,0.1
iris,50,6,,,1.0,,46,xgboost,0.1
iris,50,9,,,1.0,,42,xgboost,0.1
iris,50,9,,,1.0,,43,xgboost,0.1
iris,50,9,,,1.0,,44,xgboost,0.1
iris,50,9,,,1.0,,45,xgboost,0.1
iris,50,9,,,1.0,,46,xgboost,0.1
iris,100,3,,,1.0,,42,xgboost,0.1
iris,100,3,,,1.0,,43,xgboost,0.1
iris,100,3,,,1.0,,44,xgboost,0.1
iris,100,3,,,1.0,,45,xgboost,0.1
iris,100,3,,,1.0,,46,xgboost,0.1
iris,100,6,,,1.0,,42,xgboost,0.1
iris,100,6,,,1.0,,43,xgboost,0.1
iris,100,6,,,1.0,,44,xgboost,0.1
iris,100,6,,,1.0,,45,xgboost,0.1
iris,100,6,,,1.0,,46,xgboost,0.1
iris,100,9,,,1.0,,42,xgboost,0.1
iris,100,9,,,1.0,,43,xgboost,0.1
iris,100,9,,,1.0,,44,xgboost,0.1
iris,100,9,,,1.0,,45,xgboost,0.1
iris,100,9,,,1.0,,46,xgboost,0.1
iris,200,3,,,1.0,,42,xgboost,0.1
iris,200,3,,,1.0,,43,xgboost,0.1
iris,200,3,,,1.0,,44,xgboost,0.1
iris,200,3,,,1.0,,45,xgboost,0.1
iris,200,3,,,1.0,,46,xgboost,0.1
iris,200,6,,,1.0,,42,xgboost,0.1
iris,200,6,,,1.0,,43,xgboost,0.1
iris,200,6,,,1.0,,44,xgboost,0.1
iris,200,6,,,1.0,,45,xgboost,0.1
iris,200,6,,,1.0,,46,xgboost,0.1
iris,200,9,,,1.0,,42,xgboost,0.1
iris,200,9,,,1.0,,43,xgboost,0.1
iris,200,9,,,1.0,,44,xgboost,0.1
iris,200,9,,,1.0,,45,xgboost,0.1
iris,200,9,,,1.0,,46,xgboost,0.1
iris,500,3,,,1.0,,42,xgboost,0.1
iris,500,3,,,1.0,,43,xgboost,0.1
iris,500,3,,,1.0,,44,xgboost,0.1
iris,500,3,,,1.0,,45,xgboost,0.1
iris,500,3,,,1.0,,46,xgboost,0.1
iris,500,6,,,1.0,,42,xgboost,0.1
iris,500,6,,,1.0,,43,xgboost,0.1
iris,500,6,,,1.0,,44,xgboost,0.1
iris,500,6,,,1.0,,45,xgboost,0.1
iris,500,6,,,1.0,,46,xgboost,0.1
iris,500,9,,,1.0,,42,xgboost,0.1
iris,500,9,,,1.0,,43,xgboost,0.1
iris,500,9,,,1.0,,44,xgboost,0.1
iris,500,9,,,1.0,,45,xgboost,0.1
iris,500,9,,,1.0,,46,xgboost,0.1
