dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
mushrooms,2,4,,,,0.9909762100082035,408,18,42,100,5.0,0.25,10,cpd
mushrooms,2,4,,,,0.9909762100082035,408,18,43,100,5.0,0.25,10,cpd
mushrooms,2,4,,,,0.9909762100082035,408,18,44,100,5.0,0.25,10,cpd
mushrooms,2,4,,,,0.9909762100082035,408,18,45,100,5.0,0.25,10,cpd
mushrooms,2,4,,,,0.9909762100082035,408,18,46,100,5.0,0.25,10,cpd
mushrooms,2,8,,,,0.9909762100082035,816,17,42,100,5.0,0.25,10,cpd
mushrooms,2,8,,,,0.9909762100082035,816,17,43,100,5.0,0.25,10,cpd
mushrooms,2,8,,,,0.9909762100082035,816,17,44,100,5.0,0.25,10,cpd
mushrooms,2,8,,,,0.9909762100082035,816,18,45,100,5.0,0.25,10,cpd
mushrooms,2,8,,,,0.9909762100082035,816,18,46,100,5.0,0.25,10,cpd
mushrooms,2,12,,,,0.9909762100082035,1224,17,42,100,5.0,0.25,10,cpd
mushrooms,2,12,,,,0.9909762100082035,1224,17,43,100,5.0,0.25,10,cpd
mushrooms,2,12,,,,0.9909762100082035,1224,17,44,100,5.0,0.25,10,cpd
mushrooms,2,12,,,,0.9909762100082035,1224,17,45,100,5.0,0.25,10,cpd
mushrooms,2,12,,,,0.9909762100082035,1224,17,46,100,5.0,0.25,10,cpd
mushrooms,2,16,,,,0.9909762100082035,1632,17,42,100,5.0,0.25,10,cpd
mushrooms,2,16,,,,0.9909762100082035,1632,17,43,100,5.0,0.25,10,cpd
mushrooms,2,16,,,,0.9909762100082035,1632,17,44,100,5.0,0.25,10,cpd
mushrooms,2,16,,,,0.9909762100082035,1632,17,45,100,5.0,0.25,10,cpd
mushrooms,2,16,,,,0.9909762100082035,1632,17,46,100,5.0,0.25,10,cpd
mushrooms,2,64,,,,0.9909762100082035,6528,16,42,100,5.0,0.25,10,cpd
mushrooms,2,64,,,,0.9909762100082035,6528,16,43,100,5.0,0.25,10,cpd
