dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
mushrooms,2,4,,,,0.9909762100082035,408,18,42,100,5.0,0.25,10,tt
mushrooms,2,4,,,,0.9909762100082035,408,17,43,100,5.0,0.25,10,tt
mushrooms,2,4,,,,0.9909762100082035,408,17,44,100,5.0,0.25,10,tt
mushrooms,2,4,,,,0.9909762100082035,408,17,45,100,5.0,0.25,10,tt
mushrooms,2,4,,,,0.9934372436423298,408,17,46,100,5.0,0.25,10,tt
mushrooms,2,8,,,,0.9909762100082035,816,17,42,100,5.0,0.25,10,tt
mushrooms,2,8,,,,0.9909762100082035,816,16,43,100,5.0,0.25,10,tt
mushrooms,2,8,,,,0.9909762100082035,816,16,44,100,5.0,0.25,10,tt
mushrooms,2,8,,,,0.9909762100082035,816,17,45,100,5.0,0.25,10,tt
mushrooms,2,8,,,,0.9909762100082035,816,16,46,100,5.0,0.25,10,tt
mushrooms,2,12,,,,0.9909762100082035,1224,16,42,100,5.0,0.25,10,tt
mushrooms,2,12,,,,0.9909762100082035,1224,16,43,100,5.0,0.25,10,tt
mushrooms,2,12,,,,0.9909762100082035,1224,16,44,100,5.0,0.25,10,tt
mushrooms,2,12,,,,0.9909762100082035,1224,17,45,100,5.0,0.25,10,tt
mushrooms,2,12,,,,0.9909762100082035,1224,16,46,100,5.0,0.25,10,tt
mushrooms,2,16,,,,0.9909762100082035,1632,15,42,100,5.0,0.25,10,tt
mushrooms,2,16,,,,0.9909762100082035,1632,15,43,100,5.0,0.25,10,tt
mushrooms,2,16,,,,0.9909762100082035,1632,15,44,100,5.0,0.25,10,tt
mushrooms,2,16,,,,0.9909762100082035,1632,15,45,100,5.0,0.25,10,tt
mushrooms,2,16,,,,0.9909762100082035,1632,15,46,100,5.0,0.25,10,tt
mushrooms,3,4,,,,0.9909762100082035,1224,20,42,100,5.0,0.25,10,tt
mushrooms,3,4,,,,0.9909762100082035,1224,19,43,100,5.0,0.25,10,tt
mushrooms,3,4,,,,0.9909762100082035,1224,20,44,100,5.0,0.25,10,tt
mushrooms,3,4,,,,0.9909762100082035,1224,19,45,100,5.0,0.25,10,tt
mushrooms,3,4,,,,0.9909762100082035,1224,20,46,100,5.0,0.25,10,tt
mushrooms,3,8,,,,0.9909762100082035,4080,19,42,100,5.0,0.25,10,tt
mushrooms,3,8,,,,0.9909762100082035,4080,18,43,100,5.0,0.25,10,tt
mushrooms,3,8,,,,0.9909762100082035,4080,18,44,100,5.0,0.25,10,tt
mushrooms,3,8,,,,0.9909762100082035,4080,18,45,100,5.0,0.25,10,tt
mushrooms,3,8,,,,0.9909762100082035,4080,19,46,100,5.0,0.25,10,tt
mushrooms,3,12,,,,0.9909762100082035,8568,17,42,100,5.0,0.25,10,tt
mushrooms,3,12,,,,0.9909762100082035,8568,17,43,100,5.0,0.25,10,tt
mushrooms,3,12,,,,0.9909762100082035,8568,16,44,100,5.0,0.25,10,tt
mushrooms,3,12,,,,0.9909762100082035,8568,18,45,100,5.0,0.25,10,tt
mushrooms,3,12,,,,0.9909762100082035,8568,17,46,100,5.0,0.25,10,tt
mushrooms,3,16,,,,0.9909762100082035,14688,16,42,100,5.0,0.25,10,tt
mushrooms,3,16,,,,0.9909762100082035,14688,16,43,100,5.0,0.25,10,tt
mushrooms,3,16,,,,0.9909762100082035,14688,16,44,100,5.0,0.25,10,tt
mushrooms,3,16,,,,0.9909762100082035,14688,16,45,100,5.0,0.25,10,tt
mushrooms,3,16,,,,0.9909762100082035,14688,16,46,100,5.0,0.25,10,tt
mushrooms,4,4,,,,0.9909762100082035,2040,23,42,100,5.0,0.25,10,tt
mushrooms,4,4,,,,0.9909762100082035,2040,21,43,100,5.0,0.25,10,tt
mushrooms,4,4,,,,0.9909762100082035,2040,23,44,100,5.0,0.25,10,tt
mushrooms,4,4,,,,0.9909762100082035,2040,22,45,100,5.0,0.25,10,tt
mushrooms,4,4,,,,0.9909762100082035,2040,22,46,100,5.0,0.25,10,tt
mushrooms,4,8,,,,0.9909762100082035,7344,18,42,100,5.0,0.25,10,tt
mushrooms,4,8,,,,0.9909762100082035,7344,21,43,100,5.0,0.25,10,tt
