dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
mushrooms,2,4,0.25,,,0.9909762100082035,408,18,42,100,5.0,0.25,10,tt_lin
mushrooms,2,4,0.25,,,0.9909762100082035,408,18,43,100,5.0,0.25,10,tt_lin
mushrooms,2,4,0.25,,,0.9909762100082035,408,17,44,100,5.0,0.25,10,tt_lin
mushrooms,2,4,0.25,,,0.9909762100082035,408,17,45,100,5.0,0.25,10,tt_lin
mushrooms,2,4,0.25,,,0.9909762100082035,408,18,46,100,5.0,0.25,10,tt_lin
mushrooms,2,4,0.5,,,0.9909762100082035,408,18,42,100,5.0,0.25,10,tt_lin
mushrooms,2,4,0.5,,,0.9909762100082035,408,17,43,100,5.0,0.25,10,tt_lin
mushrooms,2,4,0.5,,,0.9909762100082035,408,18,44,100,5.0,0.25,10,tt_lin
mushrooms,2,4,0.5,,,0.9909762100082035,408,17,45,100,5.0,0.25,10,tt_lin
mushrooms,2,4,0.5,,,0.9909762100082035,408,18,46,100,5.0,0.25,10,tt_lin
mushrooms,2,4,0.75,,,0.9909762100082035,408,18,42,100,5.0,0.25,10,tt_lin
mushrooms,2,4,0.75,,,0.9909762100082035,408,18,43,100,5.0,0.25,10,tt_lin
mushrooms,2,4,0.75,,,0.9909762100082035,408,17,44,100,5.0,0.25,10,tt_lin
mushrooms,2,4,0.75,,,0.9909762100082035,408,18,45,100,5.0,0.25,10,tt_lin
mushrooms,2,4,0.75,,,0.9909762100082035,408,18,46,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.25,,,0.9909762100082035,816,16,42,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.25,,,0.9909762100082035,816,17,43,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.25,,,0.9909762100082035,816,17,44,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.25,,,0.9909762100082035,816,17,45,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.25,,,0.9909762100082035,816,17,46,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.5,,,0.9909762100082035,816,17,42,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.5,,,0.9909762100082035,816,16,43,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.5,,,0.9909762100082035,816,17,44,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.5,,,0.9909762100082035,816,17,45,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.5,,,0.9909762100082035,816,16,46,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.75,,,0.9909762100082035,816,16,42,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.75,,,0.9909762100082035,816,17,43,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.75,,,0.9909762100082035,816,17,44,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.75,,,0.9909762100082035,816,16,45,100,5.0,0.25,10,tt_lin
mushrooms,2,8,0.75,,,0.9909762100082035,816,16,46,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.25,,,0.9909762100082035,1224,16,42,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.25,,,0.9909762100082035,1224,16,43,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.25,,,0.9909762100082035,1224,15,44,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.25,,,0.9909762100082035,1224,16,45,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.25,,,0.9909762100082035,1224,16,46,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.5,,,0.9909762100082035,1224,16,42,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.5,,,0.9909762100082035,1224,15,43,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.5,,,0.9909762100082035,1224,16,44,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.5,,,0.9909762100082035,1224,16,45,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.5,,,0.9909762100082035,1224,16,46,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.75,,,0.9909762100082035,1224,16,42,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.75,,,0.9909762100082035,1224,16,43,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.75,,,0.9909762100082035,1224,16,44,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.75,,,0.9909762100082035,1224,16,45,100,5.0,0.25,10,tt_lin
mushrooms,2,12,0.75,,,0.9909762100082035,1224,16,46,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.25,,,0.9909762100082035,1632,15,42,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.25,,,0.9909762100082035,1632,15,43,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.25,,,0.9909762100082035,1632,15,44,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.25,,,0.9909762100082035,1632,15,45,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.25,,,0.9909762100082035,1632,15,46,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.5,,,0.9909762100082035,1632,15,42,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.5,,,0.9909762100082035,1632,15,43,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.5,,,0.9909762100082035,1632,15,44,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.5,,,0.9909762100082035,1632,15,45,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.5,,,0.9909762100082035,1632,15,46,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.75,,,0.9909762100082035,1632,15,42,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.75,,,0.9909762100082035,1632,15,43,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.75,,,0.9909762100082035,1632,15,44,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.75,,,0.9909762100082035,1632,15,45,100,5.0,0.25,10,tt_lin
mushrooms,2,16,0.75,,,0.9909762100082035,1632,15,46,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.25,,,0.9909762100082035,1224,19,42,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.25,,,0.9909762100082035,1224,19,43,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.25,,,0.9909762100082035,1224,20,44,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.25,,,0.9909762100082035,1224,19,45,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.25,,,0.9909762100082035,1224,19,46,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.5,,,0.9909762100082035,1224,19,42,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.5,,,0.9909762100082035,1224,20,43,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.5,,,0.9909762100082035,1224,19,44,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.5,,,0.9909762100082035,1224,19,45,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.5,,,0.9909762100082035,1224,19,46,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.75,,,0.9909762100082035,1224,19,42,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.75,,,0.9909762100082035,1224,19,43,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.75,,,0.9909762100082035,1224,19,44,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.75,,,0.9909762100082035,1224,19,45,100,5.0,0.25,10,tt_lin
mushrooms,3,4,0.75,,,0.9909762100082035,1224,19,46,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.25,,,0.9909762100082035,4080,19,42,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.25,,,0.9909762100082035,4080,18,43,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.25,,,0.9909762100082035,4080,18,44,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.25,,,0.9909762100082035,4080,18,45,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.25,,,0.9909762100082035,4080,18,46,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.5,,,0.9909762100082035,4080,18,42,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.5,,,0.9909762100082035,4080,18,43,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.5,,,0.9909762100082035,4080,18,44,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.5,,,0.9909762100082035,4080,19,45,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.5,,,0.9909762100082035,4080,17,46,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.75,,,0.9909762100082035,4080,18,42,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.75,,,0.9909762100082035,4080,18,43,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.75,,,0.9909762100082035,4080,18,44,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.75,,,0.9909762100082035,4080,19,45,100,5.0,0.25,10,tt_lin
mushrooms,3,8,0.75,,,0.9909762100082035,4080,18,46,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.25,,,0.9909762100082035,8568,17,42,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.25,,,0.9909762100082035,8568,17,43,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.25,,,0.9909762100082035,8568,16,44,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.25,,,0.9909762100082035,8568,17,45,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.25,,,0.9909762100082035,8568,18,46,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.5,,,0.9909762100082035,8568,17,42,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.5,,,0.9909762100082035,8568,18,43,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.5,,,0.9909762100082035,8568,16,44,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.5,,,0.9909762100082035,8568,16,45,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.5,,,0.9909762100082035,8568,18,46,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.75,,,0.9909762100082035,8568,17,42,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.75,,,0.9909762100082035,8568,16,43,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.75,,,0.9909762100082035,8568,17,44,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.75,,,0.9909762100082035,8568,17,45,100,5.0,0.25,10,tt_lin
mushrooms,3,12,0.75,,,0.9909762100082035,8568,17,46,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.25,,,0.9909762100082035,14688,16,42,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.25,,,0.9909762100082035,14688,16,43,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.25,,,0.9909762100082035,14688,16,44,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.25,,,0.9909762100082035,14688,16,45,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.25,,,0.9909762100082035,14688,17,46,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.5,,,0.9909762100082035,14688,16,42,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.5,,,0.9909762100082035,14688,16,43,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.5,,,0.9909762100082035,14688,17,44,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.5,,,0.9909762100082035,14688,16,45,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.5,,,0.9909762100082035,14688,16,46,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.75,,,0.9909762100082035,14688,16,42,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.75,,,0.9909762100082035,14688,16,43,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.75,,,0.9909762100082035,14688,16,44,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.75,,,0.9909762100082035,14688,16,45,100,5.0,0.25,10,tt_lin
mushrooms,3,16,0.75,,,0.9909762100082035,14688,16,46,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.25,,,0.9909762100082035,2040,21,42,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.25,,,0.9909762100082035,2040,22,43,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.25,,,0.9909762100082035,2040,22,44,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.25,,,0.9909762100082035,2040,21,45,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.25,,,0.9909762100082035,2040,22,46,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.5,,,0.9909762100082035,2040,21,42,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.5,,,0.9909762100082035,2040,22,43,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.5,,,0.9909762100082035,2040,22,44,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.5,,,0.9909762100082035,2040,24,45,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.5,,,0.9909762100082035,2040,21,46,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.75,,,0.9909762100082035,2040,21,42,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.75,,,0.9909762100082035,2040,23,43,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.75,,,0.9909762100082035,2040,22,44,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.75,,,0.9909762100082035,2040,23,45,100,5.0,0.25,10,tt_lin
mushrooms,4,4,0.75,,,0.9942575881870386,2040,20,46,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.25,,,0.9909762100082035,7344,18,42,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.25,,,0.9909762100082035,7344,19,43,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.25,,,0.9909762100082035,7344,18,44,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.25,,,0.9909762100082035,7344,17,45,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.25,,,0.9909762100082035,7344,18,46,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.5,,,0.9909762100082035,7344,18,42,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.5,,,0.9909762100082035,7344,18,43,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.5,,,0.9909762100082035,7344,19,44,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.5,,,0.9909762100082035,7344,18,45,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.5,,,0.9909762100082035,7344,19,46,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.75,,,0.9909762100082035,7344,18,42,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.75,,,0.9909762100082035,7344,18,43,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.75,,,0.9909762100082035,7344,18,44,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.75,,,0.9909762100082035,7344,18,45,100,5.0,0.25,10,tt_lin
mushrooms,4,8,0.75,,,0.9909762100082035,7344,18,46,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.25,,,0.9909762100082035,15912,13,42,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.25,,,0.9909762100082035,15912,16,43,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.25,,,0.9909762100082035,15912,16,44,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.25,,,0.9909762100082035,15912,17,45,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.25,,,0.9950779327317474,15912,15,46,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.5,,,0.9909762100082035,15912,16,42,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.5,,,0.9909762100082035,15912,16,43,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.5,,,0.9909762100082035,15912,16,44,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.5,,,0.9909762100082035,15912,17,45,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.5,,,0.9909762100082035,15912,16,46,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.75,,,0.9909762100082035,15912,16,42,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.75,,,0.9950779327317474,15912,15,43,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.75,,,0.9909762100082035,15912,17,44,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.75,,,0.9950779327317474,15912,15,45,100,5.0,0.25,10,tt_lin
mushrooms,4,12,0.75,,,0.9909762100082035,15912,16,46,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.25,,,0.9909762100082035,27744,16,42,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.25,,,0.9909762100082035,27744,16,43,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.25,,,0.9909762100082035,27744,16,44,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.25,,,0.9909762100082035,27744,16,45,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.25,,,0.9909762100082035,27744,16,46,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.5,,,0.9909762100082035,27744,16,42,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.5,,,0.9909762100082035,27744,16,43,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.5,,,0.9909762100082035,27744,16,44,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.5,,,0.9909762100082035,27744,16,45,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.5,,,0.9909762100082035,27744,16,46,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.75,,,0.9909762100082035,27744,16,42,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.75,,,0.9909762100082035,27744,16,43,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.75,,,0.9909762100082035,27744,15,44,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.75,,,0.9909762100082035,27744,16,45,100,5.0,0.25,10,tt_lin
mushrooms,4,16,0.75,,,0.9909762100082035,27744,16,46,100,5.0,0.25,10,tt_lin
mushrooms,5,4,0.25,,,0.9909762100082035,2856,24,42,100,5.0,0.25,10,tt_lin
mushrooms,5,4,0.25,,,0.9909762100082035,2856,25,43,100,5.0,0.25,10,tt_lin
