dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
obesity,1,4,,1.430214309482647,0.4317007847813207,,1160,205,42,100,5.0,0.25,40,tnml_polynomial
obesity,1,4,,1.35617983719761,0.48901354868097724,,1160,218,43,100,5.0,0.25,40,tnml_polynomial
obesity,1,4,,1.4072445161599794,0.44980840904529296,,1160,220,44,100,5.0,0.25,40,tnml_polynomial
obesity,1,4,,1.4798981218417107,0.3915310004931868,,1160,231,45,100,5.0,0.25,40,tnml_polynomial
obesity,1,4,,1.4055052253891918,0.45116759257883443,,1160,205,46,100,5.0,0.25,40,tnml_polynomial
obesity,1,8,,1.42892812979753,0.43272245858088376,,4392,190,42,100,5.0,0.25,40,tnml_polynomial
obesity,1,8,,1.4330166735642527,0.4294715502520947,,4392,198,43,100,5.0,0.25,40,tnml_polynomial
obesity,1,8,,1.3471017549760633,0.4958315992419935,,4392,202,44,100,5.0,0.25,40,tnml_polynomial
obesity,1,8,,1.3947392168774901,0.45954337681689195,,4392,194,45,100,5.0,0.25,40,tnml_polynomial
obesity,1,8,,1.3723431458943087,0.47676082323127866,,4392,200,46,100,5.0,0.25,40,tnml_polynomial
obesity,1,12,,1.4381841115869,0.42534949642079645,,9480,130,42,100,5.0,0.25,40,tnml_polynomial
obesity,1,12,,1.4637107507073048,0.4047692708415266,,9480,140,43,100,5.0,0.25,40,tnml_polynomial
obesity,1,12,,1.5236553810865943,0.3550169255157726,,9480,127,44,100,5.0,0.25,40,tnml_polynomial
obesity,1,12,,1.4228035632379799,0.43757488366950326,,9480,139,45,100,5.0,0.25,40,tnml_polynomial
obesity,1,12,,1.3488987621120432,0.49448560069401026,,9480,195,46,100,5.0,0.25,40,tnml_polynomial
obesity,1,16,,1.3848493024548723,0.4671808176957061,,16552,180,42,100,5.0,0.25,40,tnml_polynomial
obesity,1,16,,1.451231633730869,0.4148754885437351,,16552,140,43,100,5.0,0.25,40,tnml_polynomial
obesity,1,16,,1.3997898068626262,0.4556221175661004,,16552,127,44,100,5.0,0.25,40,tnml_polynomial
obesity,1,16,,1.441298961267333,0.42285762034069696,,16552,127,45,100,5.0,0.25,40,tnml_polynomial
obesity,1,16,,1.333637062409059,0.5058598633541276,,16552,188,46,100,5.0,0.25,40,tnml_polynomial
obesity,2,4,,2.846606246378443,-1.2512805253989439,,1770,134,42,100,5.0,0.25,40,tnml_polynomial
obesity,2,4,,3.542296813432889,-2.486139128630257,,1770,66,43,100,5.0,0.25,40,tnml_polynomial
obesity,2,4,,1.848744448664,0.05042650389158965,,1770,200,44,100,5.0,0.25,40,tnml_polynomial
obesity,2,4,,1.763603588021265,0.13587460988726374,,1770,219,45,100,5.0,0.25,40,tnml_polynomial
obesity,2,4,,2.924388365184119,-1.375991667525275,,1770,130,46,100,5.0,0.25,40,tnml_polynomial
obesity,2,8,,3.40948105227108,-2.229619666601083,,6882,52,42,100,5.0,0.25,40,tnml_polynomial
obesity,2,8,,2.3354530742656894,-0.5153645022037057,,6882,140,43,100,5.0,0.25,40,tnml_polynomial
obesity,2,8,,1.8878566880642051,0.009822931764277176,,6882,204,44,100,5.0,0.25,40,tnml_polynomial
obesity,2,8,,2.416631497173638,-0.622541006878736,,6882,136,45,100,5.0,0.25,40,tnml_polynomial
obesity,2,8,,2.5559451800721957,-0.8150052608317409,,6882,125,46,100,5.0,0.25,40,tnml_polynomial
obesity,2,12,,2.455343363619027,-0.6749401238113437,,15084,130,42,100,5.0,0.25,40,tnml_polynomial
obesity,2,12,,2.286486174480769,-0.45248607646456995,,15084,127,43,100,5.0,0.25,40,tnml_polynomial
obesity,2,12,,2.350509385611194,-0.5349661332513052,,15084,133,44,100,5.0,0.25,40,tnml_polynomial
obesity,2,12,,2.3243598496797406,-0.5010029591145757,,15084,132,45,100,5.0,0.25,40,tnml_polynomial
obesity,2,12,,2.548141571023273,-0.8039393193470707,,15084,130,46,100,5.0,0.25,40,tnml_polynomial
obesity,2,16,,2.3191146715111524,-0.49423624029621926,,26388,125,42,100,5.0,0.25,40,tnml_polynomial
obesity,2,16,,2.507483253278156,-0.7468310417722497,,26388,124,43,100,5.0,0.25,40,tnml_polynomial
obesity,2,16,,2.236200416402349,-0.38930073837597723,,26388,130,44,100,5.0,0.25,40,tnml_polynomial
obesity,2,16,,2.358200184923724,-0.5450272966366279,,26388,127,45,100,5.0,0.25,40,tnml_polynomial
obesity,2,16,,2.3529549933250418,-0.5381619323753226,,26388,135,46,100,5.0,0.25,40,tnml_polynomial
