dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
obesity,2,4,,1.3048995311691827,0.5269261212534084,,320,17,42,100,5.0,0.25,10,tt
obesity,2,4,,1.2802399784829153,0.544637158571234,,320,17,43,100,5.0,0.25,10,tt
obesity,2,4,,1.3103931521771324,0.5229344587676874,,320,18,44,100,5.0,0.25,10,tt
obesity,2,4,,1.3158384479687126,0.5189613604053827,,320,17,45,100,5.0,0.25,10,tt
obesity,2,4,,1.2967030895899014,0.5328504769791551,,320,18,46,100,5.0,0.25,10,tt
obesity,2,8,,1.2475231401512497,0.5676135869347392,,640,16,42,100,5.0,0.25,10,tt
obesity,2,8,,1.2537035498673719,0.5633187652283145,,640,16,43,100,5.0,0.25,10,tt
obesity,2,8,,1.2523010586319563,0.5642952305846864,,640,16,44,100,5.0,0.25,10,tt
obesity,2,8,,1.2659493823525834,0.5547463370316434,,640,16,45,100,5.0,0.25,10,tt
obesity,2,8,,1.2523134968280594,0.5642865754641928,,640,16,46,100,5.0,0.25,10,tt
obesity,2,12,,1.2600009437179582,0.5589208191963977,,960,16,42,100,5.0,0.25,10,tt
obesity,2,12,,1.2527321878014668,0.5639951791413674,,960,16,43,100,5.0,0.25,10,tt
obesity,2,12,,1.2556655687378655,0.5619509024003309,,960,16,44,100,5.0,0.25,10,tt
obesity,2,12,,1.251436036413134,0.5648969455391472,,960,16,45,100,5.0,0.25,10,tt
obesity,2,12,,1.2588186551281977,0.5597481808351368,,960,16,46,100,5.0,0.25,10,tt
obesity,2,16,,1.2588864353562164,0.5597007694436164,,1280,15,42,100,5.0,0.25,10,tt
obesity,2,16,,1.2561105725015143,0.5616403610526259,,1280,16,43,100,5.0,0.25,10,tt
obesity,2,16,,1.2502582512139235,0.5657155519619457,,1280,15,44,100,5.0,0.25,10,tt
obesity,2,16,,1.2543380352419329,0.5628766543843078,,1280,16,45,100,5.0,0.25,10,tt
obesity,2,16,,1.2572001957461723,0.5608795139872725,,1280,15,46,100,5.0,0.25,10,tt
obesity,3,4,,1.1456581210772572,0.6353427147483302,,960,21,42,100,5.0,0.25,10,tt
obesity,3,4,,1.1319326045157785,0.644027902322565,,960,22,43,100,5.0,0.25,10,tt
obesity,3,4,,1.1376774723382148,0.640405421371046,,960,22,44,100,5.0,0.25,10,tt
