dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
obesity,2,4,,1.3039267562497354,0.5276311914304128,,352,22,42,100,5.0,0.25,10,tt_type1
obesity,2,4,,1.2390579946882756,0.5734616477225698,,352,25,43,100,5.0,0.25,10,tt_type1
obesity,2,4,,1.2797028823622718,0.5450191530676163,,352,26,44,100,5.0,0.25,10,tt_type1
obesity,2,4,,1.242173571894816,0.5713139130215991,,352,27,45,100,5.0,0.25,10,tt_type1
obesity,2,4,,1.246972987640794,0.5679948640610271,,352,24,46,100,5.0,0.25,10,tt_type1
obesity,2,8,,1.2520362392642022,0.5644794847797283,,664,22,42,100,5.0,0.25,10,tt_type1
obesity,2,8,,1.2419030366541883,0.5715006213321742,,664,21,43,100,5.0,0.25,10,tt_type1
obesity,2,8,,1.2563839375023844,0.561449541509931,,664,20,44,100,5.0,0.25,10,tt_type1
obesity,2,8,,1.244823266655382,0.569483091964955,,664,22,45,100,5.0,0.25,10,tt_type1
obesity,2,8,,1.2513166358034444,0.564979968706287,,664,22,46,100,5.0,0.25,10,tt_type1
obesity,2,12,,1.2526159509386738,0.5640760862687262,,976,20,42,100,5.0,0.25,10,tt_type1
obesity,2,12,,1.2370598812465143,0.5748362158685438,,976,20,43,100,5.0,0.25,10,tt_type1
obesity,2,12,,1.2394123367595435,0.5732176525339361,,976,20,44,100,5.0,0.25,10,tt_type1
obesity,2,12,,1.2301592586304961,0.5795663213018314,,976,20,45,100,5.0,0.25,10,tt_type1
obesity,2,12,,1.2320139014197746,0.578297636647856,,976,20,46,100,5.0,0.25,10,tt_type1
obesity,2,16,,1.2445024399835851,0.5697049764871112,,1288,20,42,100,5.0,0.25,10,tt_type1
obesity,2,16,,1.2329438831367399,0.5776607550287981,,1288,20,43,100,5.0,0.25,10,tt_type1
obesity,2,16,,1.242151569401725,0.5713290994324918,,1288,20,44,100,5.0,0.25,10,tt_type1
obesity,2,16,,1.228785639247244,0.5805047256811893,,1288,20,45,100,5.0,0.25,10,tt_type1
obesity,2,16,,1.2330442547855258,0.5775919885384073,,1288,20,46,100,5.0,0.25,10,tt_type1
obesity,3,4,,1.1094771834514234,0.6580114473635224,,1288,40,42,100,5.0,0.25,10,tt_type1
obesity,3,4,,1.1044466157354011,0.6611056908596011,,1288,29,43,100,5.0,0.25,10,tt_type1
obesity,3,4,,1.1420625048415511,0.6376280564215151,,1288,30,44,100,5.0,0.25,10,tt_type1
obesity,3,4,,1.1272887028499694,0.646942754995665,,1288,37,45,100,5.0,0.25,10,tt_type1
obesity,3,4,,1.1178555014599407,0.6528268295326625,,1288,30,46,100,5.0,0.25,10,tt_type1
obesity,3,8,,1.116136202613644,0.6538939359859597,,3784,26,42,100,5.0,0.25,10,tt_type1
obesity,3,8,,1.120400759133054,0.6512440647376425,,3784,27,43,100,5.0,0.25,10,tt_type1
obesity,3,8,,1.1121809117722994,0.6563426058592408,,3784,27,44,100,5.0,0.25,10,tt_type1
obesity,3,8,,1.1240245241209172,0.6489844208796918,,3784,32,45,100,5.0,0.25,10,tt_type1
obesity,3,8,,1.108731402990478,0.6584710560217744,,3784,32,46,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.1213492672281553,0.6506533156714522,,7528,26,42,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.0797233518872489,0.6761083089343365,,7528,27,43,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.143187708396792,0.6369136593388847,,7528,26,44,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.1010084354700038,0.6632123858992804,,7528,27,45,100,5.0,0.25,10,tt_type1
obesity,3,12,,1.1124776250458832,0.6561592160688583,,7528,26,46,100,5.0,0.25,10,tt_type1
obesity,3,16,,1.124126681508942,0.6489206136166452,,12520,26,42,100,5.0,0.25,10,tt_type1
obesity,3,16,,1.0994139462055208,0.6641871566110795,,12520,26,43,100,5.0,0.25,10,tt_type1
obesity,3,16,,1.1189721731454099,0.6521328720706174,,12520,23,44,100,5.0,0.25,10,tt_type1
obesity,3,16,,1.1012229580541246,0.6630811324311476,,12520,26,45,100,5.0,0.25,10,tt_type1
obesity,3,16,,1.0896117118659523,0.6701485907658535,,12520,26,46,100,5.0,0.25,10,tt_type1
obesity,4,4,,1.1087429164367566,0.658463962878106,,2848,45,42,100,5.0,0.25,10,tt_type1
obesity,4,4,,1.1128455121194185,0.655931767907627,,2848,45,43,100,5.0,0.25,10,tt_type1
obesity,4,4,,1.060183364541816,0.6877253075734453,,2848,55,44,100,5.0,0.25,10,tt_type1
obesity,4,4,,1.107407819151925,0.6592859916670779,,2848,39,45,100,5.0,0.25,10,tt_type1
obesity,4,4,,1.1090900851102072,0.6582500464245229,,2848,38,46,100,5.0,0.25,10,tt_type1
obesity,4,8,,1.0939314994510319,0.6675280012372724,,9400,37,42,100,5.0,0.25,10,tt_type1
obesity,4,8,,1.0347812644388452,0.7025103010233322,,9400,39,43,100,5.0,0.25,10,tt_type1
obesity,4,8,,1.0775477634130726,0.6774122449961764,,9400,39,44,100,5.0,0.25,10,tt_type1
obesity,4,8,,1.1035845109616496,0.6616345500548461,,9400,36,45,100,5.0,0.25,10,tt_type1
obesity,4,8,,1.0587495723652882,0.688569377129874,,9400,46,46,100,5.0,0.25,10,tt_type1
obesity,4,12,,1.1050406222895082,0.6607410565311551,,19696,25,42,100,5.0,0.25,10,tt_type1
obesity,4,12,,1.063928739568241,0.6855150262060554,,19696,38,43,100,5.0,0.25,10,tt_type1
obesity,4,12,,1.0687050687279338,0.6826850332359855,,19696,34,44,100,5.0,0.25,10,tt_type1
obesity,4,12,,1.0964299167266898,0.6660076092456344,,19696,34,45,100,5.0,0.25,10,tt_type1
obesity,4,12,,1.0956766053450528,0.6664663961383659,,19696,37,46,100,5.0,0.25,10,tt_type1
obesity,4,16,,1.0641122383210202,0.6854065366525584,,33736,34,42,100,5.0,0.25,10,tt_type1
obesity,4,16,,1.0933954084828392,0.6678537831768421,,33736,31,43,100,5.0,0.25,10,tt_type1
obesity,4,16,,1.0780503213709303,0.6771112711474523,,33736,31,44,100,5.0,0.25,10,tt_type1
obesity,4,16,,1.0920787029639456,0.6686532660061296,,33736,34,45,100,5.0,0.25,10,tt_type1
obesity,4,16,,1.084448487721718,0.6732672459753346,,33736,31,46,100,5.0,0.25,10,tt_type1
obesity,5,4,,1.1187469394366931,0.6522728997133316,,5032,54,42,100,5.0,0.25,10,tt_type1
