dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
popularity,2,4,,15242.43492132218,-0.0039830027768024134,,472,15,42,100,5.0,0.25,10,cpd
popularity,2,4,,15221.295027560041,-0.0012000647269114761,,472,15,43,100,5.0,0.25,10,cpd
popularity,2,4,,15221.344505680452,-0.0012065737102511243,,472,17,44,100,5.0,0.25,10,cpd
popularity,2,4,,15261.083072780106,-0.006441124467220227,,472,16,45,100,5.0,0.25,10,cpd
popularity,2,4,,15237.275214581381,-0.003303402554010182,,472,17,46,100,5.0,0.25,10,cpd
popularity,2,8,,15232.827067877804,-0.0027177086879119905,,944,14,42,100,5.0,0.25,10,cpd
popularity,2,8,,15234.122942494676,-0.002888320707779446,,944,14,43,100,5.0,0.25,10,cpd
popularity,2,8,,15234.704376184696,-0.0029648757135241066,,944,14,44,100,5.0,0.25,10,cpd
popularity,2,8,,15239.558956686851,-0.003604172593290711,,944,14,45,100,5.0,0.25,10,cpd
popularity,2,8,,15214.39105648228,-0.0002920357227556014,,944,14,46,100,5.0,0.25,10,cpd
popularity,2,12,,15234.139609521171,-0.0028905151465954404,,1416,14,42,100,5.0,0.25,10,cpd
popularity,2,12,,15216.862632718068,-0.0006170567935874782,,1416,14,43,100,5.0,0.25,10,cpd
popularity,2,12,,15216.975443229512,-0.000631893037178699,,1416,14,44,100,5.0,0.25,10,cpd
popularity,2,12,,15233.617698368444,-0.0028217996441470827,,1416,14,45,100,5.0,0.25,10,cpd
popularity,2,12,,15233.033086927266,-0.0027448317354272778,,1416,14,46,100,5.0,0.25,10,cpd
popularity,2,16,,15225.841436064724,-0.0017982456665917024,,1888,13,42,100,5.0,0.25,10,cpd
popularity,2,16,,15229.470153843704,-0.002275812217800821,,1888,13,43,100,5.0,0.25,10,cpd
popularity,2,16,,15223.532791393432,-0.001494469898216888,,1888,14,44,100,5.0,0.25,10,cpd
