dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
popularity,2,4,,15224.648962544,-0.001641332026658171,,523,19,42,100,5.0,0.25,10,cpd_type1
popularity,2,4,,15191.665715373196,0.0026939530760807795,,523,19,43,100,5.0,0.25,10,cpd_type1
popularity,2,4,,15221.01000986714,-0.0011625702745150512,,523,17,44,100,5.0,0.25,10,cpd_type1
popularity,2,4,,15215.07750196417,-0.0003823004512020223,,523,19,45,100,5.0,0.25,10,cpd_type1
popularity,2,4,,15193.029704135814,0.0025148581256632108,,523,19,46,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15215.200985098989,-0.0003985384025022576,,987,16,42,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15210.741739010491,0.00018776598598335692,,987,16,43,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15223.408779125552,-0.0014781534365488902,,987,16,44,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15195.017688880658,0.0022538022310627515,,987,16,45,100,5.0,0.25,10,cpd_type1
popularity,2,8,,15218.32929790746,-0.0008099534459169444,,987,16,46,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15218.109517398532,-0.0007810466022941664,,1451,15,42,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15217.321350338862,-0.0006773856018398305,,1451,16,43,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15203.963224917352,0.0010786799637889644,,1451,16,44,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15210.441392913111,0.00022724949612928924,,1451,15,45,100,5.0,0.25,10,cpd_type1
popularity,2,12,,15210.03251970804,0.000280998731151727,,1451,16,46,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15213.255187105986,-0.00014268256448479733,,1915,15,42,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15216.466045559711,-0.0005649006148076285,,1915,15,43,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15209.764447923757,0.0003162378530182641,,1915,15,44,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15202.223150102454,0.001307317502310834,,1915,15,45,100,5.0,0.25,10,cpd_type1
popularity,2,16,,15209.58942715764,0.00033924470652335614,,1915,15,46,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15228.241180075673,-0.002114057282277093,,7483,13,42,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15222.9302398857,-0.0014151926281251725,,7483,13,43,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15221.902620287221,-0.0012799966930097106,,7483,13,44,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15225.982395245801,-0.0018167948304685932,,7483,13,45,100,5.0,0.25,10,cpd_type1
popularity,2,64,,15221.472220181817,-0.001223375003292615,,7483,13,46,100,5.0,0.25,10,cpd_type1
popularity,2,144,,15206.609221480643,0.0007309584732586583,,16763,13,42,100,5.0,0.25,10,cpd_type1
popularity,2,144,,15198.966776643238,0.0017351191475448724,,16763,13,43,100,5.0,0.25,10,cpd_type1
popularity,2,144,,15205.363939486166,0.0008946137333635251,,16763,13,44,100,5.0,0.25,10,cpd_type1
popularity,2,144,,15205.949964734555,0.0008175998233656001,,16763,13,45,100,5.0,0.25,10,cpd_type1
popularity,2,144,,15202.566895804675,0.0012621530292875605,,16763,13,46,100,5.0,0.25,10,cpd_type1
popularity,2,256,,15214.814322766164,-0.0003476929988919242,,29755,13,42,100,5.0,0.25,10,cpd_type1
popularity,2,256,,15210.038424933038,0.00028022245841530236,,29755,13,43,100,5.0,0.25,10,cpd_type1
popularity,2,256,,15208.629653115897,0.00046540434757536,,29755,13,44,100,5.0,0.25,10,cpd_type1
popularity,2,256,,15209.279585999753,0.00037997333927364263,,29755,13,45,100,5.0,0.25,10,cpd_type1
popularity,2,256,,15206.837593122706,0.0007009443626659895,,29755,13,46,100,5.0,0.25,10,cpd_type1
popularity,3,4,,15218.551936855547,-0.0008392366741603041,,1219,26,42,100,5.0,0.25,10,cpd_type1
popularity,3,4,,15185.69020214519,0.003478362573308802,,1219,31,43,100,5.0,0.25,10,cpd_type1
popularity,3,4,,15211.247980414762,0.00012121370591966496,,1219,23,44,100,5.0,0.25,10,cpd_type1
popularity,3,4,,15220.787381511902,-0.0011332837099329307,,1219,22,45,100,5.0,0.25,10,cpd_type1
popularity,3,4,,15248.408626760587,-0.004770104575563039,,1219,24,46,100,5.0,0.25,10,cpd_type1
popularity,3,8,,15219.775306093885,-0.001000151477661415,,2379,22,42,100,5.0,0.25,10,cpd_type1
popularity,3,8,,15234.752062224206,-0.002971154469759041,,2379,25,43,100,5.0,0.25,10,cpd_type1
popularity,3,8,,15239.84234168232,-0.0036414976903000884,,2379,21,44,100,5.0,0.25,10,cpd_type1
popularity,3,8,,15233.921798491412,-0.0028618375763678205,,2379,25,45,100,5.0,0.25,10,cpd_type1
popularity,3,8,,15253.025972894739,-0.005378702350183007,,2379,25,46,100,5.0,0.25,10,cpd_type1
