dataset,num_channels,num_layers,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,early_stopping
popularity,16,1,15264.50977973123,-0.006893145594839556,,993,42,mlp,59
popularity,16,1,15263.762447388784,-0.006794555413616621,,993,43,mlp,59
popularity,16,1,15254.0739651902,-0.005516860553269165,,993,44,mlp,59
popularity,16,1,15276.65005465796,-0.008495400866400438,,993,45,mlp,59
popularity,16,1,15264.001866526613,-0.006826139733107528,,993,46,mlp,59
popularity,64,1,15100.963167742128,0.014567326077837506,,3969,42,mlp,59
popularity,64,1,15102.436587276085,0.014375016942376306,,3969,43,mlp,59
popularity,64,1,15101.093950036662,0.014550257271981226,,3969,44,mlp,59
popularity,64,1,15100.521750054035,0.014624935787931226,,3969,45,mlp,59
popularity,64,1,15098.682088252213,0.014865013114278236,,3969,46,mlp,59
popularity,256,1,15063.144155756318,0.01949700140955768,,15873,42,mlp,59
popularity,256,1,15063.797407748412,0.019411955496266065,,15873,43,mlp,59
popularity,256,1,15065.081724280128,0.019244741467968174,,15873,44,mlp,59
popularity,256,1,15070.296056748537,0.0185657051230097,,15873,45,mlp,59
popularity,256,1,15066.102223699516,0.01911186544525023,,15873,46,mlp,59
popularity,16,3,15279.174897876126,-0.008828785892982083,,1601,42,mlp,59
popularity,16,3,15263.437463466966,-0.0067516841279746664,,1601,43,mlp,59
popularity,16,3,15315.384443011038,-0.013616022943455652,,1601,44,mlp,59
popularity,16,3,15293.334358640353,-0.01069944848225024,,1601,45,mlp,59
popularity,16,3,15313.430156667036,-0.013357358908594685,,1601,46,mlp,59
popularity,64,3,15110.622317565645,0.013306282538935954,,12545,42,mlp,59
popularity,64,3,15124.058972320292,0.01155072844935301,,12545,43,mlp,59
popularity,64,3,15123.23837457271,0.011657987650412371,,12545,44,mlp,59
popularity,64,3,15128.391533465187,0.01098432887132994,,12545,45,mlp,59
popularity,64,3,15118.886689860054,0.01222669309877944,,12545,46,mlp,59
popularity,256,3,15303.144270292152,-0.011996490973013696,,148481,42,mlp,59
popularity,256,3,15188.49891212432,0.0031096998292462485,,148481,43,mlp,59
popularity,256,3,15294.903347911626,-0.010906840526229589,,148481,44,mlp,59
popularity,256,3,15303.536745236352,-0.012048400352226984,,148481,45,mlp,59
popularity,256,3,15230.696548698459,-0.002437240734816548,,148481,46,mlp,59
popularity,16,5,15339.347954459925,-0.016790452160331704,,2209,42,mlp,59
popularity,16,5,15295.597266684288,-0.010998570840711874,,2209,43,mlp,59
popularity,16,5,15315.465315554502,-0.013626727724991738,,2209,44,mlp,59
popularity,16,5,15294.97670932178,-0.010916538100320228,,2209,45,mlp,59
popularity,16,5,15315.195082184882,-0.013590958214372728,,2209,46,mlp,59
popularity,64,5,15117.177683592017,0.012449991996022924,,21121,42,mlp,59
popularity,64,5,15126.006996757265,0.011296081552535031,,21121,43,mlp,59
popularity,64,5,15127.289609780059,0.011128399719886772,,21121,44,mlp,59
popularity,64,5,15128.984069400829,0.010906853509686787,,21121,45,mlp,59
popularity,64,5,15125.049277090542,0.011421279327522793,,21121,46,mlp,59
popularity,256,5,15253.848097525104,-0.005487083319386077,,281089,42,mlp,59
popularity,256,5,15209.443114129368,0.0003584776634075748,,281089,43,mlp,59
popularity,256,5,15251.222791479617,-0.005141008788659862,,281089,44,mlp,59
popularity,256,5,15171.505726900343,0.0053391321156758265,,281089,45,mlp,59
popularity,256,5,15254.122679837088,-0.005523282900129267,,281089,46,mlp,59
