dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
popularity,2,4,,15196.364478366397,0.0020769266700068068,,523,19,42,100,5.0,0.25,10,tt_type1
popularity,2,4,,15195.685169877728,0.002166143069628368,,523,19,43,100,5.0,0.25,10,tt_type1
popularity,2,4,,15197.21365487816,0.0019653951899030186,,523,19,44,100,5.0,0.25,10,tt_type1
popularity,2,4,,15194.182090123997,0.0023635345888266546,,523,17,45,100,5.0,0.25,10,tt_type1
popularity,2,4,,15195.556039227411,0.002183101882072047,,523,19,46,100,5.0,0.25,10,tt_type1
popularity,2,8,,15200.001576096414,0.0015991837075512993,,987,16,42,100,5.0,0.25,10,tt_type1
popularity,2,8,,15213.527592804901,-0.0001784996203717526,,987,17,43,100,5.0,0.25,10,tt_type1
popularity,2,8,,15209.013794131404,0.00041491102997293083,,987,17,44,100,5.0,0.25,10,tt_type1
popularity,2,8,,15200.196154581245,0.0015736220573707715,,987,16,45,100,5.0,0.25,10,tt_type1
popularity,2,8,,15222.086106678911,-0.0013041359041905398,,987,15,46,100,5.0,0.25,10,tt_type1
popularity,3,4,,15221.822647633415,-0.0012694756943951724,,1915,26,42,100,5.0,0.25,10,tt_type1
popularity,3,4,,15181.265337684737,0.0040590185322093575,,1915,36,43,100,5.0,0.25,10,tt_type1
popularity,3,4,,15221.613708865736,-0.001241988503220437,,1915,26,44,100,5.0,0.25,10,tt_type1
popularity,3,4,,15179.151788342107,0.004336310817394828,,1915,35,45,100,5.0,0.25,10,tt_type1
popularity,3,4,,15193.45648907405,0.002458816951222742,,1915,24,46,100,5.0,0.25,10,tt_type1
popularity,3,8,,15326.030677189017,-0.015025709294604672,,5627,26,42,100,5.0,0.25,10,tt_type1
popularity,3,8,,15281.007380644,-0.009070784853832281,,5627,26,43,100,5.0,0.25,10,tt_type1
popularity,3,8,,15275.673393029942,-0.008366455414156926,,5627,26,44,100,5.0,0.25,10,tt_type1
popularity,3,8,,15226.175521416671,-0.0018422090551151182,,5627,26,45,100,5.0,0.25,10,tt_type1
popularity,3,8,,15269.622063195122,-0.007567701835263341,,5627,26,46,100,5.0,0.25,10,tt_type1
popularity,4,4,,15194.764471832274,0.002287055794473858,,4235,32,42,100,5.0,0.25,10,tt_type1
popularity,4,4,,15510.204742576034,-0.03956757010996936,,4235,17,43,100,5.0,0.25,10,tt_type1
popularity,4,4,,15522.301329851989,-0.041189743876113516,,4235,14,44,100,5.0,0.25,10,tt_type1
popularity,4,4,,15511.84684761314,-0.03978770511631402,,4235,16,45,100,5.0,0.25,10,tt_type1
popularity,4,4,,15466.142887926717,-0.03366949030612698,,4235,15,46,100,5.0,0.25,10,tt_type1
popularity,4,8,,15455.226275819388,-0.03221079610558464,,13979,18,42,100,5.0,0.25,10,tt_type1
popularity,4,8,,15402.754008650116,-0.025213745936035314,,13979,22,43,100,5.0,0.25,10,tt_type1
popularity,4,8,,15415.876255698104,-0.026961334539329807,,13979,19,44,100,5.0,0.25,10,tt_type1
popularity,4,8,,15331.287930404942,-0.01572219262119834,,13979,18,45,100,5.0,0.25,10,tt_type1
popularity,4,8,,15406.102088765547,-0.02565949360091202,,13979,22,46,100,5.0,0.25,10,tt_type1
popularity,5,4,,15544.088223217916,-0.04411459491762493,,7483,12,42,100,5.0,0.25,10,tt_type1
popularity,5,4,,15540.77529798703,-0.043669576217516104,,7483,12,43,100,5.0,0.25,10,tt_type1
popularity,5,4,,15531.658930512775,-0.04244548223829381,,7483,15,44,100,5.0,0.25,10,tt_type1
popularity,5,4,,15540.755800084598,-0.043666957383589056,,7483,12,45,100,5.0,0.25,10,tt_type1
popularity,5,4,,15532.834908250887,-0.042603345489727884,,7483,12,46,100,5.0,0.25,10,tt_type1
popularity,5,8,,15455.408253989755,-0.032235103862018555,,26043,33,42,100,5.0,0.25,10,tt_type1
popularity,5,8,,15475.27409214656,-0.03489040667381915,,26043,19,43,100,5.0,0.25,10,tt_type1
popularity,5,8,,15525.124057694149,-0.041568458661304764,,26043,21,44,100,5.0,0.25,10,tt_type1
popularity,5,8,,15532.935441490457,-0.042616841626361035,,26043,12,45,100,5.0,0.25,10,tt_type1
popularity,5,8,,15386.13141678411,-0.0230021266384286,,26043,23,46,100,5.0,0.25,10,tt_type1
popularity,6,4,,15549.707590763435,-0.04486965036070112,,11659,12,42,100,5.0,0.25,10,tt_type1
popularity,6,4,,15600.678674495999,-0.051730927557943174,,11659,12,43,100,5.0,0.25,10,tt_type1
popularity,6,4,,15535.851289046752,-0.04300831909391789,,11659,12,44,100,5.0,0.25,10,tt_type1
popularity,6,4,,15547.68636706958,-0.044598033930146164,,11659,12,45,100,5.0,0.25,10,tt_type1
popularity,6,4,,15528.608919886721,-0.042036104511178785,,11659,12,46,100,5.0,0.25,10,tt_type1
popularity,6,8,,15533.53516718238,-0.042697353926203,,41819,12,42,100,5.0,0.25,10,tt_type1
popularity,6,8,,15524.925570859428,-0.041541826177830865,,41819,12,43,100,5.0,0.25,10,tt_type1
popularity,6,8,,15524.482473341497,-0.041482373652923954,,41819,12,44,100,5.0,0.25,10,tt_type1
popularity,6,8,,15534.525836607316,-0.04283035666077217,,41819,12,45,100,5.0,0.25,10,tt_type1
popularity,6,8,,15517.128733094238,-0.040495934726207716,,41819,12,46,100,5.0,0.25,10,tt_type1
