dataset,n_estimators,max_depth,val_rmse,val_r2,val_accuracy,num_params,seed,model_type,learning_rate
popularity,50,3,15193.340699199995,0.002474021487188227,,,42,xgboost,0.1
popularity,50,3,15193.340699199995,0.002474021487188227,,,43,xgboost,0.1
popularity,50,3,15193.340699199995,0.002474021487188227,,,44,xgboost,0.1
popularity,50,3,15193.340699199995,0.002474021487188227,,,45,xgboost,0.1
popularity,50,3,15193.340699199995,0.002474021487188227,,,46,xgboost,0.1
popularity,50,6,15558.295571230305,-0.04602411555462038,,,42,xgboost,0.1
popularity,50,6,15558.295571230305,-0.04602411555462038,,,43,xgboost,0.1
popularity,50,6,15558.295571230305,-0.04602411555462038,,,44,xgboost,0.1
popularity,50,6,15558.295571230305,-0.04602411555462038,,,45,xgboost,0.1
popularity,50,6,15558.295571230305,-0.04602411555462038,,,46,xgboost,0.1
popularity,50,9,15752.401393795231,-0.072287395291734,,,42,xgboost,0.1
popularity,50,9,15752.401393795231,-0.072287395291734,,,43,xgboost,0.1
popularity,50,9,15752.401393795231,-0.072287395291734,,,44,xgboost,0.1
popularity,50,9,15752.401393795231,-0.072287395291734,,,45,xgboost,0.1
popularity,50,9,15752.401393795231,-0.072287395291734,,,46,xgboost,0.1
popularity,100,3,15249.788287111536,-0.004951933935188446,,,42,xgboost,0.1
popularity,100,3,15249.788287111536,-0.004951933935188446,,,43,xgboost,0.1
popularity,100,3,15249.788287111536,-0.004951933935188446,,,44,xgboost,0.1
popularity,100,3,15249.788287111536,-0.004951933935188446,,,45,xgboost,0.1
popularity,100,3,15249.788287111536,-0.004951933935188446,,,46,xgboost,0.1
popularity,100,6,15640.833485092886,-0.05715202595050073,,,42,xgboost,0.1
popularity,100,6,15640.833485092886,-0.05715202595050073,,,43,xgboost,0.1
popularity,100,6,15640.833485092886,-0.05715202595050073,,,44,xgboost,0.1
popularity,100,6,15640.833485092886,-0.05715202595050073,,,45,xgboost,0.1
popularity,100,6,15640.833485092886,-0.05715202595050073,,,46,xgboost,0.1
popularity,100,9,15792.996833115842,-0.07782129037865348,,,42,xgboost,0.1
popularity,100,9,15792.996833115842,-0.07782129037865348,,,43,xgboost,0.1
popularity,100,9,15792.996833115842,-0.07782129037865348,,,44,xgboost,0.1
popularity,100,9,15792.996833115842,-0.07782129037865348,,,45,xgboost,0.1
popularity,100,9,15792.996833115842,-0.07782129037865348,,,46,xgboost,0.1
popularity,200,3,15335.597016337271,-0.016293240444231083,,,42,xgboost,0.1
popularity,200,3,15335.597016337271,-0.016293240444231083,,,43,xgboost,0.1
popularity,200,3,15335.597016337271,-0.016293240444231083,,,44,xgboost,0.1
popularity,200,3,15335.597016337271,-0.016293240444231083,,,45,xgboost,0.1
popularity,200,3,15335.597016337271,-0.016293240444231083,,,46,xgboost,0.1
popularity,200,6,15732.062111202842,-0.06952013768959175,,,42,xgboost,0.1
popularity,200,6,15732.062111202842,-0.06952013768959175,,,43,xgboost,0.1
popularity,200,6,15732.062111202842,-0.06952013768959175,,,44,xgboost,0.1
popularity,200,6,15732.062111202842,-0.06952013768959175,,,45,xgboost,0.1
popularity,200,6,15732.062111202842,-0.06952013768959175,,,46,xgboost,0.1
popularity,200,9,15840.3620793809,-0.08429603688569731,,,42,xgboost,0.1
popularity,200,9,15840.3620793809,-0.08429603688569731,,,43,xgboost,0.1
popularity,200,9,15840.3620793809,-0.08429603688569731,,,44,xgboost,0.1
popularity,200,9,15840.3620793809,-0.08429603688569731,,,45,xgboost,0.1
popularity,200,9,15840.3620793809,-0.08429603688569731,,,46,xgboost,0.1
popularity,500,3,15644.111785498844,-0.05759522804947825,,,42,xgboost,0.1
popularity,500,3,15644.111785498844,-0.05759522804947825,,,43,xgboost,0.1
popularity,500,3,15644.111785498844,-0.05759522804947825,,,44,xgboost,0.1
popularity,500,3,15644.111785498844,-0.05759522804947825,,,45,xgboost,0.1
popularity,500,3,15644.111785498844,-0.05759522804947825,,,46,xgboost,0.1
popularity,500,6,15813.789487278427,-0.08066122231760398,,,42,xgboost,0.1
popularity,500,6,15813.789487278427,-0.08066122231760398,,,43,xgboost,0.1
popularity,500,6,15813.789487278427,-0.08066122231760398,,,44,xgboost,0.1
popularity,500,6,15813.789487278427,-0.08066122231760398,,,45,xgboost,0.1
popularity,500,6,15813.789487278427,-0.08066122231760398,,,46,xgboost,0.1
popularity,500,9,15864.590882793584,-0.08761556797822223,,,42,xgboost,0.1
popularity,500,9,15864.590882793584,-0.08761556797822223,,,43,xgboost,0.1
popularity,500,9,15864.590882793584,-0.08761556797822223,,,44,xgboost,0.1
popularity,500,9,15864.590882793584,-0.08761556797822223,,,45,xgboost,0.1
popularity,500,9,15864.590882793584,-0.08761556797822223,,,46,xgboost,0.1
