dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
realstate,2,4,,8.932196711151072,0.5217728288589538,,55,54,42,100,5.0,0.25,10,cpd_type1
realstate,2,4,,8.928331467616982,0.5221866272998907,,55,54,43,100,5.0,0.25,10,cpd_type1
realstate,2,4,,8.923548968266296,0.5226983758006805,,55,55,44,100,5.0,0.25,10,cpd_type1
realstate,2,4,,8.923960176826187,0.5226543854474213,,55,55,45,100,5.0,0.25,10,cpd_type1
realstate,2,4,,8.918661917162739,0.523221028549041,,55,54,46,100,5.0,0.25,10,cpd_type1
realstate,2,8,,8.862364221870958,0.5292212202556691,,103,53,42,100,5.0,0.25,10,cpd_type1
realstate,2,8,,8.862880785834815,0.5291663377358689,,103,54,43,100,5.0,0.25,10,cpd_type1
realstate,2,8,,8.862920557887731,0.5291621120075083,,103,53,44,100,5.0,0.25,10,cpd_type1
realstate,2,8,,8.862425194855886,0.5292147423259728,,103,53,45,100,5.0,0.25,10,cpd_type1
realstate,2,8,,8.86283763476259,0.529170922459143,,103,54,46,100,5.0,0.25,10,cpd_type1
realstate,2,12,,8.862409123700225,0.5292164497719895,,151,53,42,100,5.0,0.25,10,cpd_type1
realstate,2,12,,8.862182825047684,0.52924049206599,,151,53,43,100,5.0,0.25,10,cpd_type1
realstate,2,12,,8.86215278429797,0.5292436835922456,,151,53,44,100,5.0,0.25,10,cpd_type1
realstate,2,12,,8.862324838322769,0.5292254044433411,,151,53,45,100,5.0,0.25,10,cpd_type1
realstate,2,12,,8.86212790113735,0.5292463271685581,,151,53,46,100,5.0,0.25,10,cpd_type1
realstate,2,16,,8.862299195647362,0.5292281287629523,,199,53,42,100,5.0,0.25,10,cpd_type1
realstate,2,16,,8.862308151363338,0.5292271772939925,,199,53,43,100,5.0,0.25,10,cpd_type1
realstate,2,16,,8.862174787345438,0.5292413459917357,,199,53,44,100,5.0,0.25,10,cpd_type1
realstate,2,16,,8.862239285657925,0.529234493667111,,199,53,45,100,5.0,0.25,10,cpd_type1
realstate,2,16,,8.86211745716211,0.529247436729797,,199,53,46,100,5.0,0.25,10,cpd_type1
realstate,2,64,,8.864487921238831,0.5289955666123092,,775,51,42,100,5.0,0.25,10,cpd_type1
realstate,2,64,,8.864835898128202,0.528958587177964,,775,51,43,100,5.0,0.25,10,cpd_type1
realstate,2,64,,8.864805876700519,0.5289617776062872,,775,51,44,100,5.0,0.25,10,cpd_type1
realstate,2,64,,8.8651606198099,0.5289240777605497,,775,51,45,100,5.0,0.25,10,cpd_type1
realstate,2,64,,8.86469557742628,0.528973499205512,,775,51,46,100,5.0,0.25,10,cpd_type1
realstate,2,144,,8.865766379906585,0.5288596979353464,,1735,51,42,100,5.0,0.25,10,cpd_type1
realstate,2,144,,8.876142028572788,0.5277562971715583,,1735,49,43,100,5.0,0.25,10,cpd_type1
realstate,2,144,,8.865762220254346,0.5288601400357286,,1735,51,44,100,5.0,0.25,10,cpd_type1
realstate,2,144,,8.876288864806346,0.5277406725770033,,1735,49,45,100,5.0,0.25,10,cpd_type1
realstate,2,144,,8.865742483714051,0.5288622376919142,,1735,51,46,100,5.0,0.25,10,cpd_type1
realstate,2,256,,8.87690648246542,0.527674950099466,,3079,49,42,100,5.0,0.25,10,cpd_type1
realstate,2,256,,8.876931400378846,0.5276722984164177,,3079,49,43,100,5.0,0.25,10,cpd_type1
realstate,2,256,,8.876999683204753,0.5276650319427214,,3079,49,44,100,5.0,0.25,10,cpd_type1
realstate,2,256,,8.876999383304012,0.5276650638574696,,3079,49,45,100,5.0,0.25,10,cpd_type1
realstate,2,256,,8.8769641605443,0.5276688121751689,,3079,49,46,100,5.0,0.25,10,cpd_type1
realstate,3,4,,8.843519228725231,0.5312212261463131,,127,138,42,100,5.0,0.25,10,cpd_type1
realstate,3,4,,8.9962806498776,0.5148861426718956,,127,126,43,100,5.0,0.25,10,cpd_type1
realstate,3,4,,9.091874392325698,0.5045218080509577,,127,134,44,100,5.0,0.25,10,cpd_type1
realstate,3,4,,9.11809550337586,0.5016597528389928,,127,103,45,100,5.0,0.25,10,cpd_type1
realstate,3,4,,9.084511800348006,0.5053239587469915,,127,123,46,100,5.0,0.25,10,cpd_type1
realstate,3,8,,8.714126867531306,0.544838576732765,,247,131,42,100,5.0,0.25,10,cpd_type1
realstate,3,8,,8.554346875976606,0.5613769975503351,,247,131,43,100,5.0,0.25,10,cpd_type1
realstate,3,8,,8.79239884171521,0.5366251583949002,,247,131,44,100,5.0,0.25,10,cpd_type1
realstate,3,8,,8.672811252492593,0.5491443883038403,,247,131,45,100,5.0,0.25,10,cpd_type1
realstate,3,8,,8.71920395851961,0.5443080429933924,,247,102,46,100,5.0,0.25,10,cpd_type1
realstate,3,12,,9.591665969574764,0.4485504560784739,,367,112,42,100,5.0,0.25,10,cpd_type1
realstate,3,12,,9.762541464934213,0.4287272969230175,,367,122,43,100,5.0,0.25,10,cpd_type1
realstate,3,12,,8.895826860156804,0.5256593623210337,,367,122,44,100,5.0,0.25,10,cpd_type1
realstate,3,12,,8.752347011363602,0.5408371465320264,,367,128,45,100,5.0,0.25,10,cpd_type1
realstate,3,12,,9.452611695507196,0.464423730951243,,367,96,46,100,5.0,0.25,10,cpd_type1
realstate,3,16,,10.044320472436675,0.3952737632072404,,487,102,42,100,5.0,0.25,10,cpd_type1
realstate,3,16,,9.006752555320245,0.5137561149847578,,487,112,43,100,5.0,0.25,10,cpd_type1
realstate,3,16,,8.969567424294715,0.5177628239324656,,487,122,44,100,5.0,0.25,10,cpd_type1
realstate,3,16,,9.164213951632886,0.4966058902243773,,487,125,45,100,5.0,0.25,10,cpd_type1
realstate,3,16,,8.642514991371671,0.5522887855247338,,487,131,46,100,5.0,0.25,10,cpd_type1
realstate,3,64,,10.420425043870141,0.3491385374129924,,1927,92,42,100,5.0,0.25,10,cpd_type1
realstate,3,64,,13.932762506783808,-0.16356904373328618,,1927,32,43,100,5.0,0.25,10,cpd_type1
realstate,3,64,,10.648663090597696,0.3203147217531708,,1927,102,44,100,5.0,0.25,10,cpd_type1
realstate,3,64,,10.654821861548543,0.3195282875447182,,1927,102,45,100,5.0,0.25,10,cpd_type1
realstate,3,64,,10.643932293967653,0.32091850432093116,,1927,102,46,100,5.0,0.25,10,cpd_type1
realstate,3,144,,14.588612875261214,-0.2756915821080206,,4327,32,42,100,5.0,0.25,10,cpd_type1
realstate,3,144,,14.990859674718283,-0.3470098378028348,,4327,32,43,100,5.0,0.25,10,cpd_type1
realstate,3,144,,10.580518533363009,0.32898597991984124,,4327,102,44,100,5.0,0.25,10,cpd_type1
realstate,3,144,,10.630725538741531,0.3226026373855523,,4327,102,45,100,5.0,0.25,10,cpd_type1
realstate,3,144,,10.630344927910116,0.3226511421008712,,4327,102,46,100,5.0,0.25,10,cpd_type1
realstate,3,256,,10.818657133868156,0.29844067036351307,,7687,102,42,100,5.0,0.25,10,cpd_type1
realstate,3,256,,14.971856769132179,-0.343596974569639,,7687,33,43,100,5.0,0.25,10,cpd_type1
