dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
realstate,1,4,,8.157557240685357,0.6011239599819422,,104,78,42,100,5.0,0.25,10,tnml_polynomial
realstate,1,4,,8.207157155465936,0.5962586888195478,,104,78,43,100,5.0,0.25,10,tnml_polynomial
realstate,1,4,,8.207309187035188,0.5962437306574289,,104,78,44,100,5.0,0.25,10,tnml_polynomial
realstate,1,4,,8.205102203140656,0.5964608453670557,,104,78,45,100,5.0,0.25,10,tnml_polynomial
realstate,1,4,,8.195436103776675,0.5974110716703005,,104,78,46,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.382997755201025,0.5787728171222639,,168,55,42,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.385056210083006,0.5785659260715339,,168,55,43,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.386565113125979,0.5784142370770948,,168,55,44,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.396315949378547,0.5774333340608764,,168,55,45,100,5.0,0.25,10,tnml_polynomial
realstate,1,8,,8.38218886615812,0.5788541029878094,,168,55,46,100,5.0,0.25,10,tnml_polynomial
realstate,1,12,,8.382997755201025,0.5787728171222639,,168,55,42,100,5.0,0.25,10,tnml_polynomial
realstate,1,12,,8.385056210083006,0.5785659260715339,,168,55,43,100,5.0,0.25,10,tnml_polynomial
realstate,1,12,,8.386565113125979,0.5784142370770948,,168,55,44,100,5.0,0.25,10,tnml_polynomial
realstate,1,12,,8.396315949378547,0.5774333340608764,,168,55,45,100,5.0,0.25,10,tnml_polynomial
realstate,1,12,,8.38218886615812,0.5788541029878094,,168,55,46,100,5.0,0.25,10,tnml_polynomial
realstate,1,16,,8.382997755201025,0.5787728171222639,,168,55,42,100,5.0,0.25,10,tnml_polynomial
realstate,1,16,,8.385056210083006,0.5785659260715339,,168,55,43,100,5.0,0.25,10,tnml_polynomial
realstate,1,16,,8.386565113125979,0.5784142370770948,,168,55,44,100,5.0,0.25,10,tnml_polynomial
realstate,1,16,,8.396315949378547,0.5774333340608764,,168,55,45,100,5.0,0.25,10,tnml_polynomial
realstate,1,16,,8.38218886615812,0.5788541029878094,,168,55,46,100,5.0,0.25,10,tnml_polynomial
realstate,2,4,,9.02696446195149,0.5115713223468827,,186,59,42,100,5.0,0.25,10,tnml_polynomial
realstate,2,4,,10.463426602238272,0.3437556848589848,,186,48,43,100,5.0,0.25,10,tnml_polynomial
realstate,2,4,,10.16426206579943,0.3807451769477327,,186,47,44,100,5.0,0.25,10,tnml_polynomial
realstate,2,4,,9.212430584552669,0.49129483540785446,,186,53,45,100,5.0,0.25,10,tnml_polynomial
realstate,2,4,,38.01173982413191,-7.660703801887783,,186,13,46,100,5.0,0.25,10,tnml_polynomial
realstate,2,8,,12.1691758880404,0.11235353809585724,,546,48,42,100,5.0,0.25,10,tnml_polynomial
realstate,2,8,,32.640806712613156,-5.38615503096446,,546,14,43,100,5.0,0.25,10,tnml_polynomial
realstate,2,8,,12.511360891738939,0.06173224166305025,,546,48,44,100,5.0,0.25,10,tnml_polynomial
realstate,2,8,,11.194538496959602,0.24884410795495804,,546,51,45,100,5.0,0.25,10,tnml_polynomial
realstate,2,8,,11.712894406284304,0.17766997800613038,,546,56,46,100,5.0,0.25,10,tnml_polynomial
realstate,2,12,,14.494946405961523,-0.2593629653944802,,828,48,42,100,5.0,0.25,10,tnml_polynomial
realstate,2,12,,14.604387873258421,-0.27845194220684255,,828,48,43,100,5.0,0.25,10,tnml_polynomial
realstate,2,12,,14.538214561106793,-0.2668927124973086,,828,48,44,100,5.0,0.25,10,tnml_polynomial
realstate,2,12,,14.478783658792322,-0.2565559985753785,,828,48,45,100,5.0,0.25,10,tnml_polynomial
realstate,2,12,,35.7218728683606,-6.648673646837005,,828,13,46,100,5.0,0.25,10,tnml_polynomial
realstate,2,16,,14.87934596651398,-0.32704415532158637,,1044,51,42,100,5.0,0.25,10,tnml_polynomial
realstate,2,16,,14.68524989995173,-0.2926482796126355,,1044,51,43,100,5.0,0.25,10,tnml_polynomial
realstate,2,16,,14.711998913549921,-0.29736165630135125,,1044,51,44,100,5.0,0.25,10,tnml_polynomial
realstate,2,16,,14.760597056548555,-0.30594696182591163,,1044,51,45,100,5.0,0.25,10,tnml_polynomial
realstate,2,16,,14.535264500127271,-0.2663786147658045,,1044,51,46,100,5.0,0.25,10,tnml_polynomial
realstate,3,4,,38.445788648863775,-7.859622922026899,,288,11,42,100,5.0,0.25,10,tnml_polynomial
