dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
realstate,2,4,,8.975189400903457,0.5171581178992865,,56,17,42,100,5.0,0.25,10,tt
realstate,2,4,,8.931407112801308,0.5218573748463018,,56,17,43,100,5.0,0.25,10,tt
realstate,2,4,,8.944139909005738,0.5204931033087262,,56,19,44,100,5.0,0.25,10,tt
realstate,2,4,,8.948552710423979,0.5200198346173306,,56,17,45,100,5.0,0.25,10,tt
realstate,2,4,,8.948589866410135,0.5200158486826254,,56,17,46,100,5.0,0.25,10,tt
realstate,2,8,,8.69973949920728,0.5463403150399118,,112,15,42,100,5.0,0.25,10,tt
realstate,2,8,,8.737711940042153,0.5423714236439763,,112,15,43,100,5.0,0.25,10,tt
realstate,2,8,,8.778003403719703,0.5381412459302151,,112,15,44,100,5.0,0.25,10,tt
realstate,2,8,,8.749010466629118,0.5411871613071195,,112,15,45,100,5.0,0.25,10,tt
realstate,2,8,,8.737633460414937,0.542379644184785,,112,15,46,100,5.0,0.25,10,tt
realstate,2,12,,8.804879191631901,0.5353087521081071,,168,15,42,100,5.0,0.25,10,tt
realstate,2,12,,8.914708743088259,0.5236435969953992,,168,15,43,100,5.0,0.25,10,tt
realstate,2,12,,8.793783097798137,0.5364792414620263,,168,15,44,100,5.0,0.25,10,tt
realstate,2,12,,8.816725574492514,0.5340574882210869,,168,15,45,100,5.0,0.25,10,tt
realstate,2,12,,8.769973586536716,0.5389858446208142,,168,15,46,100,5.0,0.25,10,tt
realstate,2,16,,8.920873710453517,0.522984520583944,,224,15,42,100,5.0,0.25,10,tt
realstate,2,16,,8.879277487137879,0.5274226021757837,,224,15,43,100,5.0,0.25,10,tt
realstate,2,16,,8.956621229405558,0.5191538901152761,,224,15,44,100,5.0,0.25,10,tt
realstate,2,16,,8.958061803894148,0.5189992000089805,,224,15,45,100,5.0,0.25,10,tt
realstate,2,16,,8.86820226811297,0.5286007687655179,,224,15,46,100,5.0,0.25,10,tt
realstate,3,4,,8.593401103553902,0.5573628545983832,,168,19,42,100,5.0,0.25,10,tt
realstate,3,4,,8.485715901980265,0.5683868526796784,,168,31,43,100,5.0,0.25,10,tt
realstate,3,4,,8.594489631092257,0.5572507096553638,,168,21,44,100,5.0,0.25,10,tt
realstate,3,4,,8.486227883112148,0.5683347688115541,,168,21,45,100,5.0,0.25,10,tt
realstate,3,4,,8.68698831118785,0.5476691963540341,,168,21,46,100,5.0,0.25,10,tt
realstate,3,8,,8.762604051687305,0.5397603127268911,,560,19,42,100,5.0,0.25,10,tt
realstate,3,8,,8.499253239701451,0.5670086416678677,,560,19,43,100,5.0,0.25,10,tt
realstate,3,8,,8.747992079290412,0.5412939669838467,,560,21,44,100,5.0,0.25,10,tt
realstate,3,8,,8.634762611958894,0.553091623710309,,560,19,45,100,5.0,0.25,10,tt
realstate,3,8,,8.599710398040198,0.5567126456110723,,560,19,46,100,5.0,0.25,10,tt
realstate,3,12,,8.659734754523988,0.5505029254013042,,1176,19,42,100,5.0,0.25,10,tt
realstate,3,12,,8.531141374450064,0.5637534878336242,,1176,19,43,100,5.0,0.25,10,tt
realstate,3,12,,8.553914595183134,0.5614213267110534,,1176,19,44,100,5.0,0.25,10,tt
realstate,3,12,,8.533553853615569,0.5635067249722553,,1176,21,45,100,5.0,0.25,10,tt
realstate,3,12,,8.59087184162805,0.5576233755515343,,1176,19,46,100,5.0,0.25,10,tt
realstate,3,16,,8.6110226051657,0.5555456629442335,,2016,19,42,100,5.0,0.25,10,tt
realstate,3,16,,8.55590744331359,0.5612169471858959,,2016,19,43,100,5.0,0.25,10,tt
realstate,3,16,,8.586963492237366,0.558025795504614,,2016,19,44,100,5.0,0.25,10,tt
realstate,3,16,,8.530192449177873,0.5638505304916446,,2016,19,45,100,5.0,0.25,10,tt
realstate,3,16,,8.569912971433022,0.5597792462175681,,2016,19,46,100,5.0,0.25,10,tt
realstate,4,4,,8.279986643351481,0.5890613761195065,,280,39,42,100,5.0,0.25,10,tt
realstate,4,4,,8.515833687336286,0.5653176241238442,,280,33,43,100,5.0,0.25,10,tt
realstate,4,4,,8.29072721160817,0.5879945683568751,,280,33,44,100,5.0,0.25,10,tt
realstate,4,4,,8.446508235292674,0.5723661161588839,,280,34,45,100,5.0,0.25,10,tt
realstate,4,4,,8.36716720284398,0.5803622157974501,,280,34,46,100,5.0,0.25,10,tt
realstate,4,8,,8.209835071359471,0.5959951720758704,,1008,28,42,100,5.0,0.25,10,tt
