dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
seoulBike,2,4,,0.1438699943110125,0.4234399087701477,,152,21,42,100,5.0,0.25,10,cpd
seoulBike,2,4,,0.14335344584643855,0.42757262018168307,,152,19,43,100,5.0,0.25,10,cpd
seoulBike,2,4,,0.14241916551387218,0.43500969130707334,,152,19,44,100,5.0,0.25,10,cpd
seoulBike,2,4,,0.14419547696636476,0.4208282094237582,,152,19,45,100,5.0,0.25,10,cpd
seoulBike,2,4,,0.14218858750707472,0.43683765991032764,,152,19,46,100,5.0,0.25,10,cpd
seoulBike,2,8,,0.1451815911269132,0.4128795217558907,,304,18,42,100,5.0,0.25,10,cpd
seoulBike,2,8,,0.14540104064386872,0.41110325410350945,,304,18,43,100,5.0,0.25,10,cpd
seoulBike,2,8,,0.1457542397464576,0.4082387570013726,,304,18,44,100,5.0,0.25,10,cpd
seoulBike,2,8,,0.14510028459906057,0.41353695166925475,,304,18,45,100,5.0,0.25,10,cpd
seoulBike,2,8,,0.14500090967945947,0.41433997919473387,,304,18,46,100,5.0,0.25,10,cpd
seoulBike,2,12,,0.1439406711480867,0.4228732937089863,,456,18,42,100,5.0,0.25,10,cpd
seoulBike,2,12,,0.14439370070370403,0.41923475434149116,,456,18,43,100,5.0,0.25,10,cpd
seoulBike,2,12,,0.14465742455097577,0.41711137204563054,,456,18,44,100,5.0,0.25,10,cpd
seoulBike,2,12,,0.14390943495672634,0.42312374806731057,,456,18,45,100,5.0,0.25,10,cpd
seoulBike,2,12,,0.14428518601151377,0.4201073392339316,,456,18,46,100,5.0,0.25,10,cpd
seoulBike,2,16,,0.14540023688626766,0.411109764771183,,608,21,42,100,5.0,0.25,10,cpd
seoulBike,2,16,,0.14549338986649257,0.4103549592209358,,608,21,43,100,5.0,0.25,10,cpd
seoulBike,2,16,,0.1454595092644744,0.4106295449313083,,608,21,44,100,5.0,0.25,10,cpd
seoulBike,2,16,,0.14531595247896456,0.4117922929391612,,608,17,45,100,5.0,0.25,10,cpd
seoulBike,2,16,,0.1454076237398539,0.41104992777864247,,608,21,46,100,5.0,0.25,10,cpd
seoulBike,2,64,,0.14550762606507142,0.4102395627128047,,2432,19,42,100,5.0,0.25,10,cpd
seoulBike,2,64,,0.14547238205578553,0.4105252247858684,,2432,20,43,100,5.0,0.25,10,cpd
seoulBike,2,64,,0.14551633507389233,0.4101689632164378,,2432,20,44,100,5.0,0.25,10,cpd
seoulBike,2,64,,0.1454392657030079,0.41079357857723475,,2432,19,45,100,5.0,0.25,10,cpd
seoulBike,2,64,,0.1454845282063835,0.41042678481813755,,2432,20,46,100,5.0,0.25,10,cpd
seoulBike,2,144,,0.1454627310521015,0.410603436669592,,5472,19,42,100,5.0,0.25,10,cpd
seoulBike,2,144,,0.14548347751611493,0.4104353005910595,,5472,19,43,100,5.0,0.25,10,cpd
seoulBike,2,144,,0.1454386124015332,0.4107988719009821,,5472,19,44,100,5.0,0.25,10,cpd
seoulBike,2,144,,0.14545182346319796,0.4106918256930985,,5472,19,45,100,5.0,0.25,10,cpd
seoulBike,2,144,,0.14545139534055215,0.4106952948253165,,5472,19,46,100,5.0,0.25,10,cpd
seoulBike,2,256,,0.14533041263602703,0.41167522390616873,,9728,15,42,100,5.0,0.25,10,cpd
seoulBike,2,256,,0.14481379973475772,0.41585048159400906,,9728,15,43,100,5.0,0.25,10,cpd
seoulBike,2,256,,0.14485560572804537,0.4155131591025498,,9728,15,44,100,5.0,0.25,10,cpd
seoulBike,2,256,,0.14498076301939855,0.41450271298287344,,9728,15,45,100,5.0,0.25,10,cpd
seoulBike,2,256,,0.14496690134482823,0.4146146669373091,,9728,15,46,100,5.0,0.25,10,cpd
seoulBike,3,4,,0.13814319015405982,0.46842678822035455,,228,26,42,100,5.0,0.25,10,cpd
seoulBike,3,4,,0.12066471913231236,0.5944310134085798,,228,48,43,100,5.0,0.25,10,cpd
seoulBike,3,4,,0.12637355389010593,0.5551470009526054,,228,45,44,100,5.0,0.25,10,cpd
seoulBike,3,4,,0.12200005208479688,0.5854049075295835,,228,46,45,100,5.0,0.25,10,cpd
seoulBike,3,4,,0.12431222292272485,0.5695410025539219,,228,42,46,100,5.0,0.25,10,cpd
seoulBike,3,8,,0.12457460821232806,0.5677219488279278,,456,24,42,100,5.0,0.25,10,cpd
seoulBike,3,8,,0.12103162741693219,0.5919608156195596,,456,33,43,100,5.0,0.25,10,cpd
seoulBike,3,8,,0.12878512111967616,0.5380068817929036,,456,26,44,100,5.0,0.25,10,cpd
seoulBike,3,8,,0.13009864651198152,0.5285347568489485,,456,23,45,100,5.0,0.25,10,cpd
seoulBike,3,8,,0.12422845912840096,0.5701209090216086,,456,23,46,100,5.0,0.25,10,cpd
seoulBike,3,12,,0.12140573110623024,0.5894344531588682,,684,24,42,100,5.0,0.25,10,cpd
seoulBike,3,12,,0.12445480781386382,0.5685529718160927,,684,24,43,100,5.0,0.25,10,cpd
seoulBike,3,12,,0.12856200840001025,0.53960624751347,,684,25,44,100,5.0,0.25,10,cpd
seoulBike,3,12,,0.12616302249825453,0.5566279675900709,,684,25,45,100,5.0,0.25,10,cpd
seoulBike,3,12,,0.13063503918587507,0.5246390693986258,,684,22,46,100,5.0,0.25,10,cpd
seoulBike,3,16,,0.12301907424013332,0.5784500580005799,,912,25,42,100,5.0,0.25,10,cpd
seoulBike,3,16,,0.13096335454461008,0.5222466881069044,,912,21,43,100,5.0,0.25,10,cpd
seoulBike,3,16,,0.12267758536438257,0.5807871722198508,,912,27,44,100,5.0,0.25,10,cpd
seoulBike,3,16,,0.12170151149433507,0.5874314972151591,,912,24,45,100,5.0,0.25,10,cpd
seoulBike,3,16,,0.12228288367419497,0.5834803753835407,,912,36,46,100,5.0,0.25,10,cpd
seoulBike,3,64,,0.13041770035799471,0.5262194791497594,,3648,20,42,100,5.0,0.25,10,cpd
seoulBike,3,64,,0.12517530545853237,0.5635430186718584,,3648,22,43,100,5.0,0.25,10,cpd
seoulBike,3,64,,0.12089663382961562,0.5928705275021727,,3648,21,44,100,5.0,0.25,10,cpd
seoulBike,3,64,,0.12270877129546999,0.5805740085186712,,3648,21,45,100,5.0,0.25,10,cpd
seoulBike,3,64,,0.125375518931146,0.562145707088392,,3648,21,46,100,5.0,0.25,10,cpd
seoulBike,3,144,,0.12488778923042039,0.5655457195525471,,8208,18,42,100,5.0,0.25,10,cpd
seoulBike,3,144,,0.12407143283391131,0.571206967068661,,8208,18,43,100,5.0,0.25,10,cpd
seoulBike,3,144,,0.1258306984067112,0.558960650300508,,8208,18,44,100,5.0,0.25,10,cpd
seoulBike,3,144,,0.12707104744544778,0.5502228952306621,,8208,18,45,100,5.0,0.25,10,cpd
seoulBike,3,144,,0.12823946535251585,0.5419134691813775,,8208,18,46,100,5.0,0.25,10,cpd
seoulBike,3,256,,0.13017211732199357,0.5280021038954397,,14592,18,42,100,5.0,0.25,10,cpd
seoulBike,3,256,,0.1227109677130316,0.5805589934085279,,14592,18,43,100,5.0,0.25,10,cpd
seoulBike,3,256,,0.12679322488098532,0.552187491094122,,14592,18,44,100,5.0,0.25,10,cpd
seoulBike,3,256,,0.12331532368776123,0.5764172950586657,,14592,18,45,100,5.0,0.25,10,cpd
seoulBike,3,256,,0.1345650859498636,0.4956071621518313,,14592,18,46,100,5.0,0.25,10,cpd
seoulBike,4,4,,0.13973056665514605,0.45614019147959095,,304,41,42,100,5.0,0.25,10,cpd
seoulBike,4,4,,0.1334695987439405,0.5037862040279879,,304,85,43,100,5.0,0.25,10,cpd
seoulBike,4,4,,0.1545506079950139,0.3346570480650485,,304,84,44,100,5.0,0.25,10,cpd
seoulBike,4,4,,0.1686087447559573,0.20811099084346874,,304,34,45,100,5.0,0.25,10,cpd
seoulBike,4,4,,0.5878724219500749,-8.626541764032282,,304,83,46,100,5.0,0.25,10,cpd
seoulBike,4,8,,0.159471550816553,0.29161303657582427,,608,25,42,100,5.0,0.25,10,cpd
seoulBike,4,8,,0.15219761724827302,0.354762155719218,,608,34,43,100,5.0,0.25,10,cpd
seoulBike,4,8,,0.11394986148252935,0.6383139754341625,,608,68,44,100,5.0,0.25,10,cpd
seoulBike,4,8,,0.11406336497672802,0.6375930781383821,,608,81,45,100,5.0,0.25,10,cpd
seoulBike,4,8,,0.11269004648464558,0.6462672739668645,,608,82,46,100,5.0,0.25,10,cpd
seoulBike,4,12,,0.1696875913418194,0.19794473322773554,,912,27,42,100,5.0,0.25,10,cpd
seoulBike,4,12,,0.11660711194156212,0.6212486380770099,,912,50,43,100,5.0,0.25,10,cpd
seoulBike,4,12,,0.10657381385887205,0.6836228274856259,,912,66,44,100,5.0,0.25,10,cpd
seoulBike,4,12,,0.13797565836379974,0.4697153267460493,,912,33,45,100,5.0,0.25,10,cpd
seoulBike,4,12,,0.15294692735997734,0.34839315455558306,,912,28,46,100,5.0,0.25,10,cpd
seoulBike,4,16,,0.11657481473445352,0.6214584180280576,,1216,72,42,100,5.0,0.25,10,cpd
seoulBike,4,16,,0.12575599094601997,0.5594841974026985,,1216,53,43,100,5.0,0.25,10,cpd
seoulBike,4,16,,0.14426452798647807,0.42027337955806443,,1216,36,44,100,5.0,0.25,10,cpd
seoulBike,4,16,,0.11007550544465412,0.6624908885832641,,1216,82,45,100,5.0,0.25,10,cpd
seoulBike,4,16,,0.11051859116134982,0.659768276540272,,1216,50,46,100,5.0,0.25,10,cpd
seoulBike,4,64,,0.12609224302705746,0.5571253056305867,,4864,29,42,100,5.0,0.25,10,cpd
seoulBike,4,64,,0.11692720952038628,0.6191663671764203,,4864,35,43,100,5.0,0.25,10,cpd
seoulBike,4,64,,0.10864096547142481,0.6712306236736321,,4864,36,44,100,5.0,0.25,10,cpd
seoulBike,4,64,,0.10977855296544023,0.6643094399277418,,4864,43,45,100,5.0,0.25,10,cpd
seoulBike,4,64,,0.1102559453764327,0.6613834662610435,,4864,41,46,100,5.0,0.25,10,cpd
seoulBike,4,144,,0.11401635123459536,0.6378917646493172,,10944,48,42,100,5.0,0.25,10,cpd
seoulBike,4,144,,0.10519896717775375,0.6917329709065793,,10944,36,43,100,5.0,0.25,10,cpd
seoulBike,4,144,,0.12173178732913327,0.5872262013340701,,10944,31,44,100,5.0,0.25,10,cpd
seoulBike,4,144,,0.1087303118210917,0.6706896413238845,,10944,36,45,100,5.0,0.25,10,cpd
seoulBike,4,144,,0.14086023750818452,0.4473108262445986,,10944,25,46,100,5.0,0.25,10,cpd
seoulBike,4,256,,0.11956229281812752,0.6018079412488496,,19456,27,42,100,5.0,0.25,10,cpd
seoulBike,4,256,,0.10525966483028114,0.6913771407406304,,19456,35,43,100,5.0,0.25,10,cpd
seoulBike,4,256,,0.17448370134017568,0.15196484587296277,,19456,19,44,100,5.0,0.25,10,cpd
seoulBike,4,256,,0.10849062732609542,0.6721399009363542,,19456,33,45,100,5.0,0.25,10,cpd
seoulBike,4,256,,0.1316497796634283,0.517225416247735,,19456,22,46,100,5.0,0.25,10,cpd
seoulBike,5,4,,0.15895773544189598,0.29617051082662715,,380,112,42,100,5.0,0.25,10,cpd
seoulBike,5,4,,0.1612241282217116,0.2759572662446871,,380,111,43,100,5.0,0.25,10,cpd
seoulBike,5,4,,0.5841623177418482,-8.505417620941088,,380,96,44,100,5.0,0.25,10,cpd
seoulBike,5,4,,0.9916221756808908,-26.39028717110357,,380,11,45,100,5.0,0.25,10,cpd
seoulBike,5,4,,0.36749624042868834,-2.7619232067875266,,380,114,46,100,5.0,0.25,10,cpd
seoulBike,5,8,,0.1414857898379517,0.442391003540923,,760,105,42,100,5.0,0.25,10,cpd
seoulBike,5,8,,0.1018523695148329,0.7110342311705815,,760,111,43,100,5.0,0.25,10,cpd
seoulBike,5,8,,0.10596155034153601,0.6872475411964286,,760,110,44,100,5.0,0.25,10,cpd
seoulBike,5,8,,0.4956482722242307,-5.843075287582762,,760,109,45,100,5.0,0.25,10,cpd
seoulBike,5,8,,0.11343452870787593,0.6415779933677859,,760,110,46,100,5.0,0.25,10,cpd
seoulBike,5,12,,0.11333029548051698,0.6422363875694257,,1140,92,42,100,5.0,0.25,10,cpd
seoulBike,5,12,,0.1305331341697671,0.5253804136742097,,1140,108,43,100,5.0,0.25,10,cpd
seoulBike,5,12,,0.1297400453982003,0.5311302481654502,,1140,105,44,100,5.0,0.25,10,cpd
seoulBike,5,12,,0.13551827086692464,0.48843617227816316,,1140,106,45,100,5.0,0.25,10,cpd
seoulBike,5,12,,0.1289295689968455,0.5369699397977337,,1140,111,46,100,5.0,0.25,10,cpd
seoulBike,5,16,,0.12438831544744346,0.5690138663504785,,1520,109,42,100,5.0,0.25,10,cpd
seoulBike,5,16,,0.17703206071317693,0.12701260229021427,,1520,44,43,100,5.0,0.25,10,cpd
seoulBike,5,16,,0.15154710836342297,0.3602659995555445,,1520,50,44,100,5.0,0.25,10,cpd
seoulBike,5,16,,0.11313993381407143,0.6434372541054363,,1520,108,45,100,5.0,0.25,10,cpd
seoulBike,5,16,,0.18703214119696354,0.02560147800110746,,1520,43,46,100,5.0,0.25,10,cpd
seoulBike,5,64,,0.10496360957974189,0.6931107758310091,,6080,105,42,100,5.0,0.25,10,cpd
seoulBike,5,64,,0.12170704997755315,0.587393945410013,,6080,49,43,100,5.0,0.25,10,cpd
seoulBike,5,64,,0.11835176539344368,0.609830240585739,,6080,43,44,100,5.0,0.25,10,cpd
seoulBike,5,64,,0.14628409272976503,0.403928537685437,,6080,37,45,100,5.0,0.25,10,cpd
seoulBike,5,64,,0.1416560529284547,0.44104814986819385,,6080,47,46,100,5.0,0.25,10,cpd
seoulBike,5,144,,0.20697260936150602,-0.19324569132359581,,13680,38,42,100,5.0,0.25,10,cpd
seoulBike,5,144,,0.11630876974947169,0.6231842482850726,,13680,39,43,100,5.0,0.25,10,cpd
seoulBike,5,144,,0.13440855171722838,0.4967799600257905,,13680,62,44,100,5.0,0.25,10,cpd
seoulBike,5,144,,0.13240087959397207,0.5117009655406131,,13680,100,45,100,5.0,0.25,10,cpd
seoulBike,5,144,,0.15307462614947484,0.34730461824407255,,13680,33,46,100,5.0,0.25,10,cpd
seoulBike,5,256,,0.24427525420017454,-0.6621226690041113,,24320,38,42,100,5.0,0.25,10,cpd
seoulBike,5,256,,0.28221022355658026,-1.218449823969614,,24320,27,43,100,5.0,0.25,10,cpd
seoulBike,5,256,,0.137269963503434,0.4751258777955846,,24320,33,44,100,5.0,0.25,10,cpd
seoulBike,5,256,,0.10009474291770354,0.7209213189182321,,24320,73,45,100,5.0,0.25,10,cpd
seoulBike,5,256,,0.1150893995671344,0.6310438332742301,,24320,47,46,100,5.0,0.25,10,cpd
seoulBike,6,4,,1.0183794102044317,-27.888390434893527,,456,11,42,100,5.0,0.25,10,cpd
seoulBike,6,4,,1.0021140042623249,-26.972957631497287,,456,11,43,100,5.0,0.25,10,cpd
seoulBike,6,4,,0.9953195940592229,-26.594925914422117,,456,11,44,100,5.0,0.25,10,cpd
seoulBike,6,4,,1.0491811025979692,-29.662322293905365,,456,15,45,100,5.0,0.25,10,cpd
seoulBike,6,4,,1.0236520507251634,-28.188303038231886,,456,11,46,100,5.0,0.25,10,cpd
seoulBike,6,8,,0.15472245756878797,0.33317659486387663,,912,132,42,100,5.0,0.25,10,cpd
seoulBike,6,8,,1.0204007590002757,-28.003183535273006,,912,11,43,100,5.0,0.25,10,cpd
seoulBike,6,8,,1.0861041068215038,-31.858447247639262,,912,11,44,100,5.0,0.25,10,cpd
seoulBike,6,8,,0.9962393812516986,-26.645951107226193,,912,11,45,100,5.0,0.25,10,cpd
seoulBike,6,8,,0.9892423527698386,-26.25897543560961,,912,13,46,100,5.0,0.25,10,cpd
seoulBike,6,12,,0.13555974284662303,0.488123021722321,,1368,137,42,100,5.0,0.25,10,cpd
seoulBike,6,12,,0.12631081921320866,0.555588561410401,,1368,132,43,100,5.0,0.25,10,cpd
seoulBike,6,12,,1.0444051369076572,-29.38380242742744,,1368,11,44,100,5.0,0.25,10,cpd
seoulBike,6,12,,0.1263660831680776,0.5551995954197939,,1368,137,45,100,5.0,0.25,10,cpd
seoulBike,6,12,,0.18308030300966469,0.06634297344338769,,1368,51,46,100,5.0,0.25,10,cpd
seoulBike,6,16,,1.0196951560560723,-27.963086238452615,,1824,13,42,100,5.0,0.25,10,cpd
seoulBike,6,16,,0.5935743895313067,-8.814189376584702,,1824,29,43,100,5.0,0.25,10,cpd
seoulBike,6,16,,0.14597227659191764,0.4064669764879656,,1824,134,44,100,5.0,0.25,10,cpd
seoulBike,6,16,,0.9898277868179878,-26.291248729139614,,1824,12,45,100,5.0,0.25,10,cpd
seoulBike,6,16,,0.10699218275324646,0.6811339952740445,,1824,136,46,100,5.0,0.25,10,cpd
seoulBike,6,64,,0.1082672419804868,0.6734886578305934,,7296,113,42,100,5.0,0.25,10,cpd
seoulBike,6,64,,0.3078309024812697,-1.6395418737593723,,7296,43,43,100,5.0,0.25,10,cpd
seoulBike,6,64,,0.4029579766787755,-3.522969293065133,,7296,36,44,100,5.0,0.25,10,cpd
seoulBike,6,64,,0.9424469366831216,-23.741039303702387,,7296,21,45,100,5.0,0.25,10,cpd
seoulBike,6,64,,0.4225929490571347,-3.974490640708826,,7296,83,46,100,5.0,0.25,10,cpd
seoulBike,6,144,,0.11540079677398617,0.6290445639819253,,16416,64,42,100,5.0,0.25,10,cpd
seoulBike,6,144,,0.25525096540304,-0.8148423769688402,,16416,42,43,100,5.0,0.25,10,cpd
seoulBike,6,144,,0.40603447886341104,-3.592296838517309,,16416,35,44,100,5.0,0.25,10,cpd
seoulBike,6,144,,0.8667884525951823,-19.9281268442914,,16416,26,45,100,5.0,0.25,10,cpd
seoulBike,6,144,,0.4320088811083332,-4.198636778101064,,16416,29,46,100,5.0,0.25,10,cpd
seoulBike,6,256,,0.25318580415513925,-0.7855944531641723,,29184,33,42,100,5.0,0.25,10,cpd
seoulBike,6,256,,0.248205338226978,-0.7160358654489798,,29184,37,43,100,5.0,0.25,10,cpd
seoulBike,6,256,,0.9846187060262804,-26.004757990499655,,29184,17,44,100,5.0,0.25,10,cpd
seoulBike,6,256,,0.32442802480318583,-1.9318439430361827,,29184,34,45,100,5.0,0.25,10,cpd
seoulBike,6,256,,0.1351318495961862,0.4913493928895345,,29184,51,46,100,5.0,0.25,10,cpd
