dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
seoulBike,1,4,,0.1488884012663081,0.3825157878002644,,488,163,42,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,4,,0.1575194236259157,0.30884993540096783,,488,133,43,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,4,,0.15797994118974845,0.3048027899514755,,488,129,44,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,4,,0.15570282895709048,0.32469940629879357,,488,159,45,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,4,,0.14729499556939074,0.39566171430957386,,488,187,46,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.14093379999565234,0.4467334055687491,,1704,185,42,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.15030706706971764,0.37069247344763023,,1704,131,43,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.150067171832174,0.3726996632165932,,1704,126,44,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.14917852616189786,0.3801069757626032,,1704,129,45,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,8,,0.15328960215119605,0.3454700572262658,,1704,116,46,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.14745156620853694,0.394376240605373,,3432,129,42,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.1511129406294381,0.363926300280245,,3432,116,43,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.16198247653481193,0.26912990194335007,,3432,94,44,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.16067971466540712,0.28083883282575917,,3432,95,45,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,12,,0.15017156252901406,0.37182662623191565,,3432,116,46,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.16238346951719587,0.26550683673834297,,5800,94,42,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.14215863356377997,0.4370749103994481,,5800,127,43,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.16825902186527722,0.21139260594519704,,5800,95,44,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.16070362330123888,0.28062479906667803,,5800,94,45,100,5.0,0.25,19,tnml_polynomial
seoulBike,1,16,,0.15854385175850086,0.2998309090093727,,5800,94,46,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.980439237974083,-25.775987240609798,,762,57,42,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.9810602807322593,-25.80991958239144,,762,23,43,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.9804362831425695,-25.775825846800537,,762,58,44,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.18967811247121869,-0.0021634589316288366,,762,225,45,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,4,,0.1445273355851072,0.4181592724028106,,762,231,46,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.8389573465216791,-18.60576928614644,,2850,122,42,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.9804041411616863,-25.774070273307057,,2850,24,43,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.9802753783461592,-25.7670379115794,,2850,30,44,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.9769090126386915,-25.583512096101416,,2850,56,45,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,8,,0.9606504903600359,-24.70602599936975,,2850,94,46,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.9764023571636598,-25.555945169938095,,6012,57,42,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.9771616635657804,-25.597264077892728,,6012,57,43,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.9802572915305422,-25.76605017685969,,6012,23,44,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.98029664094561,-25.768199101568626,,6012,34,45,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,12,,0.9801514694372792,-25.76027151732437,,6012,31,46,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.9802502609138306,-25.7656662344673,,10260,31,42,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.9772040778479855,-25.599573068082492,,10260,56,43,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.9802559212009533,-25.765975342864138,,10260,24,44,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.9748465289019242,-25.47138254623319,,10260,57,45,100,5.0,0.25,19,tnml_polynomial
seoulBike,2,16,,0.9755216557950551,-25.508060587679577,,10260,57,46,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9811683204279993,-25.815824815948467,,1056,24,42,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9811716788343307,-25.816008390138737,,1056,21,43,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9811768061839193,-25.81628865792839,,1056,20,44,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9811652396070353,-25.815656415432798,,1056,23,45,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,4,,0.9811051275136048,-25.81237073876991,,1056,20,46,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,8,,0.9811575666277264,-25.815237005604583,,3872,28,42,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,8,,0.9811571044885893,-25.81521174489623,,3872,20,43,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,8,,0.9811018777894527,-25.812193117306084,,3872,22,44,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,8,,0.9811541390428746,-25.81504965274152,,3872,22,45,100,5.0,0.25,19,tnml_polynomial
seoulBike,3,8,,0.9811550335559165,-25.815098547041835,,3872,20,46,100,5.0,0.25,19,tnml_polynomial
