dataset,N,r,lin_dim,val_rmse,val_r2,val_accuracy,num_params,converged_epoch,seed,num_swipes,eps_start,eps_decay,early_stopping,model_type
seoulBike,2,4,,0.1471684051276514,0.39670004660846736,,152,21,42,100,5.0,0.25,10,tt_cumsum
seoulBike,2,4,,0.14622145874255135,0.404438864392768,,152,21,43,100,5.0,0.25,10,tt_cumsum
seoulBike,2,4,,0.14673978251595737,0.4002091073660726,,152,21,44,100,5.0,0.25,10,tt_cumsum
seoulBike,2,4,,0.14528049661901857,0.41207929330565074,,152,20,45,100,5.0,0.25,10,tt_cumsum
seoulBike,2,4,,0.14959732390018804,0.37662156519818757,,152,19,46,100,5.0,0.25,10,tt_cumsum
seoulBike,2,8,,0.14513605606470892,0.41324775542446446,,304,27,42,100,5.0,0.25,10,tt_cumsum
seoulBike,2,8,,0.14507260021739915,0.4137607185356751,,304,26,43,100,5.0,0.25,10,tt_cumsum
seoulBike,2,8,,0.1456067783142923,0.4094355361622728,,304,24,44,100,5.0,0.25,10,tt_cumsum
seoulBike,2,8,,0.145401505317641,0.41109949009592806,,304,28,45,100,5.0,0.25,10,tt_cumsum
seoulBike,2,8,,0.1454583453885948,0.41063897643999403,,304,24,46,100,5.0,0.25,10,tt_cumsum
seoulBike,2,12,,0.14547228363237044,0.4105260224369418,,456,22,42,100,5.0,0.25,10,tt_cumsum
seoulBike,2,12,,0.14545839377820882,0.41063858431457656,,456,22,43,100,5.0,0.25,10,tt_cumsum
seoulBike,2,12,,0.14543985971097467,0.4107887656538274,,456,22,44,100,5.0,0.25,10,tt_cumsum
seoulBike,2,12,,0.1454889329746252,0.41039108380278566,,456,22,45,100,5.0,0.25,10,tt_cumsum
seoulBike,2,12,,0.14550126113430834,0.4102911572903658,,456,22,46,100,5.0,0.25,10,tt_cumsum
seoulBike,2,16,,0.14542011975144364,0.41094869727958383,,608,22,42,100,5.0,0.25,10,tt_cumsum
seoulBike,2,16,,0.14551917201434766,0.41014596467348474,,608,22,43,100,5.0,0.25,10,tt_cumsum
seoulBike,2,16,,0.14553872936473491,0.4099874047107307,,608,22,44,100,5.0,0.25,10,tt_cumsum
seoulBike,2,16,,0.14547733465473697,0.4104850868324187,,608,22,45,100,5.0,0.25,10,tt_cumsum
seoulBike,2,16,,0.1454580929263836,0.41064102226634647,,608,22,46,100,5.0,0.25,10,tt_cumsum
seoulBike,3,4,,0.12843675946598446,0.5405028691288359,,456,22,42,100,5.0,0.25,10,tt_cumsum
seoulBike,3,4,,0.12432422707230392,0.569457864410944,,456,33,43,100,5.0,0.25,10,tt_cumsum
seoulBike,3,4,,0.13130618531556174,0.5197421261790562,,456,23,44,100,5.0,0.25,10,tt_cumsum
seoulBike,3,4,,0.11864861408072465,0.607870546422923,,456,33,45,100,5.0,0.25,10,tt_cumsum
seoulBike,3,4,,0.11766078496820852,0.6143728455090338,,456,42,46,100,5.0,0.25,10,tt_cumsum
seoulBike,3,8,,0.1277198497123145,0.5456182052956076,,1520,21,42,100,5.0,0.25,10,tt_cumsum
seoulBike,3,8,,0.13174562862351283,0.5165221824580388,,1520,21,43,100,5.0,0.25,10,tt_cumsum
seoulBike,3,8,,0.12678888190698598,0.552218167887411,,1520,21,44,100,5.0,0.25,10,tt_cumsum
seoulBike,3,8,,0.12678359630227534,0.5522555015777433,,1520,21,45,100,5.0,0.25,10,tt_cumsum
seoulBike,3,8,,0.13982450850151915,0.4554086640795475,,1520,21,46,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.13874071245283667,0.463818326867966,,3192,21,42,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.13794081343161008,0.469983133408166,,3192,20,43,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.13263497313417122,0.5099727489040189,,3192,19,44,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.13852521220377556,0.4654826912010581,,3192,20,45,100,5.0,0.25,10,tt_cumsum
seoulBike,3,12,,0.140195936092983,0.4525115337824135,,3192,21,46,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.12749534279968824,0.5472142327809227,,5472,18,42,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.12814218122583718,0.5426082263584842,,5472,18,43,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.13044988715736386,0.5259855943274305,,5472,19,44,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.1418138586537663,0.43980210451811796,,5472,18,45,100,5.0,0.25,10,tt_cumsum
seoulBike,3,16,,0.137462488528803,0.4736525435738079,,5472,20,46,100,5.0,0.25,10,tt_cumsum
seoulBike,4,4,,0.1433902827785424,0.4272783938706126,,760,30,42,100,5.0,0.25,10,tt_cumsum
seoulBike,4,4,,0.13324171719921898,0.505479195310286,,760,38,43,100,5.0,0.25,10,tt_cumsum
seoulBike,4,4,,0.1747227067338171,0.14964000072314765,,760,29,44,100,5.0,0.25,10,tt_cumsum
seoulBike,4,4,,0.10649979876140744,0.6840621203102462,,760,47,45,100,5.0,0.25,10,tt_cumsum
seoulBike,4,4,,0.13382275039521024,0.5011568328743634,,760,30,46,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.12853725966932197,0.5397834859437113,,2736,30,42,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.11769570373103504,0.6141439226562757,,2736,32,43,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.1070033276495858,0.6810675621278959,,2736,36,44,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.12855788526935158,0.5396357777484098,,2736,29,45,100,5.0,0.25,10,tt_cumsum
seoulBike,4,8,,0.1166454737437535,0.6209993912758529,,2736,32,46,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.12022897144956275,0.5973549276891487,,5928,27,42,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.12276357823440937,0.5801992579927255,,5928,34,43,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.14056312445271454,0.44963991483253685,,5928,30,44,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.12678580230604453,0.5522399201512329,,5928,26,45,100,5.0,0.25,10,tt_cumsum
seoulBike,4,12,,0.12270210389706462,0.5806195864212722,,5928,25,46,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.11464616007289183,0.6338802549676524,,10336,33,42,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.12302077713646634,0.5784383872767784,,10336,35,43,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.12232624326914253,0.5831849403465748,,10336,33,44,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.12890328370531506,0.5371587194478318,,10336,28,45,100,5.0,0.25,10,tt_cumsum
seoulBike,4,16,,0.12829853216673437,0.541491384711536,,10336,33,46,100,5.0,0.25,10,tt_cumsum
seoulBike,5,4,,0.9943128042290693,-26.539128279751083,,1064,15,42,100,5.0,0.25,10,tt_cumsum
seoulBike,5,4,,1.020489412260265,-28.00822339523576,,1064,15,43,100,5.0,0.25,10,tt_cumsum
seoulBike,5,4,,0.10144602684473444,0.7133353047600286,,1064,65,44,100,5.0,0.25,10,tt_cumsum
seoulBike,5,4,,0.14780475839614826,0.39147145273180883,,1064,42,45,100,5.0,0.25,10,tt_cumsum
seoulBike,5,4,,0.9949012129536332,-26.571731818417646,,1064,11,46,100,5.0,0.25,10,tt_cumsum
seoulBike,5,8,,0.13337517889123587,0.5044880246920742,,3952,40,42,100,5.0,0.25,10,tt_cumsum
seoulBike,5,8,,0.12586156047535046,0.5587442793184703,,3952,39,43,100,5.0,0.25,10,tt_cumsum
seoulBike,5,8,,0.12795923328444345,0.5439133258759075,,3952,42,44,100,5.0,0.25,10,tt_cumsum
seoulBike,5,8,,0.11944595802239026,0.6025824505722759,,3952,37,45,100,5.0,0.25,10,tt_cumsum
seoulBike,5,8,,0.2906756902585776,-1.3535398155475917,,3952,35,46,100,5.0,0.25,10,tt_cumsum
seoulBike,5,12,,0.12385903265180732,0.5726738278777483,,8664,40,42,100,5.0,0.25,10,tt_cumsum
seoulBike,5,12,,0.21062052534498152,-0.2356785511288193,,8664,30,43,100,5.0,0.25,10,tt_cumsum
seoulBike,5,12,,0.15819784556349012,0.30288367306257735,,8664,41,44,100,5.0,0.25,10,tt_cumsum
seoulBike,5,12,,0.21036908209459185,-0.2327299537032872,,8664,28,45,100,5.0,0.25,10,tt_cumsum
seoulBike,5,12,,0.15390335325259144,0.34021826348172335,,8664,39,46,100,5.0,0.25,10,tt_cumsum
seoulBike,5,16,,0.1987204644485478,-0.0999914562613271,,15200,35,42,100,5.0,0.25,10,tt_cumsum
seoulBike,5,16,,0.11371052119545626,0.6398317504305264,,15200,37,43,100,5.0,0.25,10,tt_cumsum
seoulBike,5,16,,0.19478462789208847,-0.056850324217040615,,15200,33,44,100,5.0,0.25,10,tt_cumsum
seoulBike,5,16,,0.22651226715570486,-0.42918213490322765,,15200,35,45,100,5.0,0.25,10,tt_cumsum
seoulBike,5,16,,0.1499842878885379,0.37339240323296097,,15200,38,46,100,5.0,0.25,10,tt_cumsum
seoulBike,6,4,,1.0366674140735452,-28.935258981606275,,1368,16,42,100,5.0,0.25,10,tt_cumsum
seoulBike,6,4,,1.0495863670328764,-29.686014578551333,,1368,16,43,100,5.0,0.25,10,tt_cumsum
seoulBike,6,4,,1.0503239607616055,-29.729158745713438,,1368,16,44,100,5.0,0.25,10,tt_cumsum
seoulBike,6,4,,1.0618492742643189,-30.40724729015889,,1368,15,45,100,5.0,0.25,10,tt_cumsum
seoulBike,6,4,,1.0243339758354797,-28.227204668031682,,1368,12,46,100,5.0,0.25,10,tt_cumsum
seoulBike,6,8,,1.0581425771809208,-30.18835754639491,,5168,12,42,100,5.0,0.25,10,tt_cumsum
